# eps=0.3: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   4.000     2.327e-02     2.314e-02     2.297e-02     2.276e-02     2.249e-02     2.214e-02     2.170e-02     2.115e-02     2.047e-02     1.965e-02     1.865e-02     1.746e-02     1.608e-02  
   4.500     1.927e-02     1.908e-02     1.884e-02     1.854e-02     1.818e-02     1.773e-02     1.719e-02     1.655e-02     1.580e-02     1.492e-02     1.392e-02     1.281e-02     1.159e-02  
   5.000     1.621e-02     1.595e-02     1.563e-02     1.525e-02     1.480e-02     1.427e-02     1.366e-02     1.296e-02     1.218e-02     1.132e-02     1.040e-02     9.423e-03     8.419e-03  
   5.500     1.382e-02     1.349e-02     1.310e-02     1.265e-02     1.214e-02     1.156e-02     1.092e-02     1.022e-02     9.470e-03     8.691e-03     7.893e-03     7.090e-03     6.294e-03  
   6.000     1.179e-02     1.141e-02     1.097e-02     1.048e-02     9.945e-03     9.361e-03     8.740e-03     8.093e-03     7.432e-03     6.770e-03     6.115e-03     5.474e-03     4.846e-03  
   6.500     1.067e-02     1.024e-02     9.757e-03     9.238e-03     8.684e-03     8.104e-03     7.508e-03     6.908e-03     6.315e-03     5.733e-03     5.166e-03     4.612e-03     4.061e-03  
   7.000     8.856e-03     8.430e-03     7.974e-03     7.493e-03     6.995e-03     6.491e-03     5.989e-03     5.497e-03     5.018e-03     4.554e-03     4.100e-03     3.647e-03     3.184e-03  
   7.500     7.214e-03     6.825e-03     6.420e-03     6.004e-03     5.585e-03     5.172e-03     4.769e-03     4.378e-03     4.000e-03     3.630e-03     3.260e-03     2.880e-03     2.475e-03  
   8.000     5.784e-03     5.452e-03     5.113e-03     4.773e-03     4.439e-03     4.113e-03     3.798e-03     3.492e-03     3.193e-03     2.892e-03     2.583e-03     2.252e-03     1.887e-03  
   8.500     4.590e-03     4.320e-03     4.050e-03     3.783e-03     3.524e-03     3.273e-03     3.028e-03     2.788e-03     2.546e-03     2.296e-03     2.028e-03     1.732e-03     1.396e-03  
