# eps=0.1: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  13.000     5.450e-04     5.104e-04     4.733e-04     4.342e-04     3.937e-04     3.524e-04     3.108e-04     2.691e-04     2.275e-04     1.861e-04     1.453e-04     1.061e-04     7.089e-05     4.238e-05     2.140e-05     7.955e-06     2.019e-06     3.628e-07     4.684e-08     4.190e-09     2.425e-10  
  13.500     4.745e-04     4.425e-04     4.080e-04     3.714e-04     3.331e-04     2.939e-04     2.542e-04     2.145e-04     1.753e-04     1.372e-04     1.016e-04     7.032e-05     4.502e-05     2.535e-05     1.099e-05     3.303e-06     7.021e-07     1.088e-07     1.206e-08     9.059e-10     4.248e-11  
  14.000     4.231e-04     3.918e-04     3.576e-04     3.209e-04     2.823e-04     2.424e-04     2.022e-04     1.628e-04     1.254e-04     9.201e-05     6.480e-05     4.410e-05     2.758e-05     1.395e-05     5.044e-06     1.277e-06     2.354e-07     3.170e-08     3.005e-09     1.879e-10     6.943e-12  
  14.500     3.832e-04     3.503e-04     3.138e-04     2.739e-04     2.315e-04     1.881e-04     1.458e-04     1.076e-04     7.695e-05     5.548e-05     4.049e-05     2.788e-05     1.623e-05     7.084e-06     2.167e-06     4.750e-07     7.666e-08     8.958e-09     7.211e-10     3.699e-11     8.468e-13  
  15.000     3.476e-04     3.099e-04     2.668e-04     2.191e-04     1.690e-04     1.214e-04     8.339e-05     5.924e-05     4.541e-05     3.570e-05     2.664e-05     1.742e-05     9.042e-06     3.383e-06     8.911e-07     1.712e-07     2.422e-08     2.443e-09     1.657e-10     6.760e-12     0.000e+00  
  15.500     3.081e-04     2.595e-04     2.025e-04     1.413e-04     8.890e-05     5.818e-05     4.436e-05     3.693e-05     3.082e-05     2.443e-05     1.748e-05     1.049e-05     4.779e-06     1.538e-06     3.535e-07     5.981e-08     7.397e-09     6.406e-10     3.621e-11     1.005e-12     0.000e+00  
  16.000     2.503e-04     1.781e-04     1.026e-04     5.619e-05     4.020e-05     3.421e-05     3.020e-05     2.622e-05     2.173e-05     1.663e-05     1.118e-05     6.059e-06     2.405e-06     6.706e-07     1.355e-07     2.021e-08     2.177e-09     1.609e-10     7.390e-12     0.000e+00     0.000e+00  
  16.500     1.408e-04     5.991e-05     3.533e-05     2.980e-05     2.714e-05     2.472e-05     2.201e-05     1.886e-05     1.520e-05     1.112e-05     6.926e-06     3.349e-06     1.154e-06     2.810e-07     5.016e-08     6.589e-09     6.160e-10     3.852e-11     1.275e-12     0.000e+00     0.000e+00  
  17.000     3.222e-05     2.509e-05     2.320e-05     2.173e-05     2.013e-05     1.827e-05     1.605e-05     1.346e-05     1.048e-05     7.255e-06     4.142e-06     1.768e-06     5.291e-07     1.134e-07     1.793e-08     2.070e-09     1.672e-10     8.657e-12     3.619e-14     0.000e+00     0.000e+00  
  17.500     1.924e-05     1.833e-05     1.739e-05     1.629e-05     1.499e-05     1.345e-05     1.161e-05     9.484e-06     7.095e-06     4.605e-06     2.380e-06     8.888e-07     2.325e-07     4.411e-08     6.179e-09     6.254e-10     4.332e-11     1.690e-12     0.000e+00     0.000e+00     0.000e+00  
  18.000     1.450e-05     1.385e-05     1.310e-05     1.219e-05     1.111e-05     9.824e-06     8.316e-06     6.589e-06     4.703e-06     2.831e-06     1.308e-06     4.267e-07     9.814e-08     1.654e-08     2.052e-09     1.814e-10     1.058e-11     1.289e-13     0.000e+00     0.000e+00     0.000e+00  
  18.500     1.098e-05     1.046e-05     9.827e-06     9.073e-06     8.174e-06     7.113e-06     5.882e-06     4.499e-06     3.039e-06     1.679e-06     6.870e-07     1.959e-07     3.985e-08     5.979e-09     6.560e-10     5.034e-11     2.286e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  19.000     8.301e-06     7.862e-06     7.336e-06     6.708e-06     5.964e-06     5.095e-06     4.102e-06     3.014e-06     1.911e-06     9.576e-07     3.443e-07     8.620e-08     1.559e-08     2.084e-09     2.017e-10     1.321e-11     2.613e-13     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  19.500     6.248e-06     5.881e-06     5.442e-06     4.922e-06     4.312e-06     3.608e-06     2.818e-06     1.976e-06     1.164e-06     5.231e-07     1.649e-07     3.643e-08     5.881e-09     7.002e-10     5.943e-11     3.109e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  20.000     4.678e-06     4.372e-06     4.009e-06     3.581e-06     3.085e-06     2.521e-06     1.902e-06     1.263e-06     6.842e-07     2.731e-07     7.551e-08     1.481e-08     2.139e-09     2.265e-10     1.661e-11     4.494e-13     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  20.500     3.483e-06     3.229e-06     2.930e-06     2.582e-06     2.183e-06     1.737e-06     1.259e-06     7.859e-07     3.871e-07     1.362e-07     3.314e-08     5.801e-09     7.501e-10     7.026e-11     4.191e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  21.000     2.576e-06     2.367e-06     2.124e-06     1.843e-06     1.526e-06     1.178e-06     8.155e-07     4.739e-07     2.097e-07     6.484e-08     1.396e-08     2.188e-09     2.532e-10     2.083e-11     8.620e-13     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  21.500     1.893e-06     1.722e-06     1.526e-06     1.302e-06     1.053e-06     7.850e-07     5.154e-07     2.759e-07     1.086e-07     2.949e-08     5.646e-09     7.945e-10     8.199e-11     5.683e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  22.000     1.380e-06     1.243e-06     1.085e-06     9.087e-07     7.154e-07     5.129e-07     3.166e-07     1.542e-07     5.362e-08     1.282e-08     2.193e-09     2.770e-10     2.523e-11     1.204e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  22.500     9.988e-07     8.884e-07     7.640e-07     6.262e-07     4.782e-07     3.275e-07     1.882e-07     8.253e-08     2.519e-08     5.324e-09     8.169e-10     9.255e-11     7.289e-12     5.640e-14     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  23.000     7.166e-07     6.291e-07     5.317e-07     4.255e-07     3.137e-07     2.037e-07     1.079e-07     4.202e-08     1.124e-08     2.111e-09     2.910e-10     2.930e-11     1.731e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  23.500     5.096e-07     4.409e-07     3.653e-07     2.844e-07     2.014e-07     1.228e-07     5.912e-08     2.028e-08     4.763e-09     7.981e-10     9.878e-11     8.689e-12     2.124e-13     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  24.000     3.588e-07     3.054e-07     2.474e-07     1.866e-07     1.260e-07     7.142e-08     3.083e-08     9.237e-09     1.910e-09     2.863e-10     3.156e-11     2.163e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  24.500     2.499e-07     2.087e-07     1.648e-07     1.198e-07     7.648e-08     3.973e-08     1.516e-08     3.953e-09     7.223e-10     9.696e-11     9.368e-12     3.243e-13     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  25.000     1.719e-07     1.405e-07     1.077e-07     7.492e-08     4.471e-08     2.096e-08     6.964e-09     1.580e-09     2.561e-10     3.053e-11     2.311e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
