# eps=0.4: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  15.500     3.022e-04     2.564e-04     2.180e-04     1.899e-04     1.696e-04     1.520e-04     1.336e-04     1.124e-04     8.780e-05     6.079e-05     3.449e-05     1.455e-05     4.330e-06     9.310e-07     1.477e-07     1.700e-08     1.350e-09  
  16.000     1.869e-04     1.618e-04     1.472e-04     1.362e-04     1.252e-04     1.127e-04     9.772e-05     8.006e-05     5.988e-05     3.859e-05     1.962e-05     7.180e-06     1.858e-06     3.514e-07     4.897e-08     4.878e-09     3.280e-10  
  16.500     1.231e-04     1.163e-04     1.099e-04     1.026e-04     9.388e-05     8.335e-05     7.077e-05     5.607e-05     3.979e-05     2.360e-05     1.061e-05     3.369e-06     7.637e-07     1.275e-07     1.559e-08     1.340e-09     7.534e-11  
  17.000     9.261e-05     8.844e-05     8.344e-05     7.736e-05     6.996e-05     6.105e-05     5.053e-05     3.851e-05     2.571e-05     1.384e-05     5.456e-06     1.509e-06     3.016e-07     4.452e-08     4.763e-09     3.515e-10     1.586e-11  
  17.500     7.086e-05     6.738e-05     6.311e-05     5.792e-05     5.165e-05     4.419e-05     3.551e-05     2.587e-05     1.607e-05     7.762e-06     2.670e-06     6.470e-07     1.146e-07     1.495e-08     1.396e-09     8.752e-11     2.495e-12  
  18.000     5.403e-05     5.104e-05     4.740e-05     4.300e-05     3.774e-05     3.156e-05     2.453e-05     1.695e-05     9.692e-06     4.154e-06     1.247e-06     2.663e-07     4.190e-08     4.831e-09     3.919e-10     2.014e-11     0.000e+00  
  18.500     4.095e-05     3.840e-05     3.532e-05     3.163e-05     2.726e-05     2.222e-05     1.660e-05     1.080e-05     5.617e-06     2.118e-06     5.568e-07     1.055e-07     1.476e-08     1.500e-09     1.048e-10     3.670e-12     0.000e+00  
  19.000     3.085e-05     2.869e-05     2.610e-05     2.304e-05     1.946e-05     1.540e-05     1.100e-05     6.666e-06     3.118e-06     1.031e-06     2.385e-07     4.023e-08     5.009e-09     4.469e-10     2.606e-11     0.000e+00     0.000e+00  
  19.500     2.308e-05     2.127e-05     1.912e-05     1.660e-05     1.371e-05     1.049e-05     7.118e-06     3.975e-06     1.655e-06     4.792e-07     9.819e-08     1.479e-08     1.637e-09     1.272e-10     5.324e-12     0.000e+00     0.000e+00  
  20.000     1.714e-05     1.564e-05     1.388e-05     1.183e-05     9.524e-06     7.011e-06     4.480e-06     2.282e-06     8.387e-07     2.133e-07     3.893e-08     5.245e-09     5.141e-10     3.382e-11     0.000e+00     0.000e+00     0.000e+00  
  20.500     1.264e-05     1.141e-05     9.971e-06     8.332e-06     6.512e-06     4.587e-06     2.736e-06     1.256e-06     4.059e-07     9.113e-08     1.487e-08     1.791e-09     1.544e-10     7.549e-12     0.000e+00     0.000e+00     0.000e+00  
  21.000     9.251e-06     8.245e-06     7.091e-06     5.792e-06     4.378e-06     2.932e-06     1.616e-06     6.617e-07     1.876e-07     3.740e-08     5.471e-09     5.885e-10     4.401e-11     9.554e-13     0.000e+00     0.000e+00     0.000e+00  
  21.500     6.714e-06     5.903e-06     4.984e-06     3.968e-06     2.888e-06     1.823e-06     9.176e-07     3.325e-07     8.294e-08     1.476e-08     1.937e-09     1.850e-10     1.104e-11     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  22.000     4.831e-06     4.184e-06     3.461e-06     2.676e-06     1.865e-06     1.100e-06     4.997e-07     1.593e-07     3.509e-08     5.592e-09     6.582e-10     5.474e-11     1.492e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  22.500     3.443e-06     2.933e-06     2.372e-06     1.773e-06     1.175e-06     6.403e-07     2.597e-07     7.263e-08     1.420e-08     2.033e-09     2.139e-10     1.490e-11     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  23.000     2.430e-06     2.031e-06     1.600e-06     1.152e-06     7.190e-07     3.582e-07     1.283e-07     3.150e-08     5.492e-09     7.062e-10     6.540e-11     2.732e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  23.500     1.696e-06     1.388e-06     1.061e-06     7.303e-07     4.255e-07     1.910e-07     6.005e-08     1.298e-08     2.025e-09     2.335e-10     1.843e-11     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  24.000     1.169e-06     9.342e-07     6.897e-07     4.505e-07     2.421e-07     9.662e-08     2.651e-08     5.067e-09     7.087e-10     7.219e-11     3.789e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  24.500     7.951e-07     6.179e-07     4.380e-07     2.688e-07     1.313e-07     4.600e-08     1.100e-08     1.867e-09     2.338e-10     2.042e-11     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
  25.000     5.321e-07     4.002e-07     2.705e-07     1.540e-07     6.722e-08     2.045e-08     4.272e-09     6.450e-10     7.120e-11     4.222e-12     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
