# eps=0.8: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   9.500     5.574e-03     5.427e-03     5.279e-03     5.130e-03     4.977e-03     4.819e-03     4.650e-03     4.465e-03     4.256e-03     4.012e-03     3.720e-03     3.361e-03     2.916e-03  
  10.000     4.596e-03     4.482e-03     4.366e-03     4.247e-03     4.122e-03     3.989e-03     3.844e-03     3.679e-03     3.487e-03     3.257e-03     2.977e-03     2.630e-03     2.202e-03  
  10.500     3.786e-03     3.696e-03     3.603e-03     3.505e-03     3.401e-03     3.286e-03     3.156e-03     3.006e-03     2.827e-03     2.609e-03     2.341e-03     2.010e-03     1.605e-03  
  11.000     3.116e-03     3.043e-03     2.966e-03     2.884e-03     2.793e-03     2.691e-03     2.573e-03     2.434e-03     2.266e-03     2.060e-03     1.806e-03     1.495e-03     1.125e-03  
  11.500     2.563e-03     2.502e-03     2.437e-03     2.365e-03     2.284e-03     2.191e-03     2.083e-03     1.953e-03     1.794e-03     1.600e-03     1.363e-03     1.077e-03     7.531e-04  
  12.000     2.108e-03     2.055e-03     1.997e-03     1.933e-03     1.859e-03     1.774e-03     1.672e-03     1.550e-03     1.402e-03     1.222e-03     1.004e-03     7.496e-04     4.793e-04  
  12.500     1.734e-03     1.686e-03     1.634e-03     1.574e-03     1.506e-03     1.426e-03     1.331e-03     1.217e-03     1.079e-03     9.136e-04     7.183e-04     5.012e-04     2.892e-04  
  13.000     1.426e-03     1.382e-03     1.333e-03     1.277e-03     1.213e-03     1.138e-03     1.048e-03     9.423e-04     8.157e-04     6.666e-04     4.973e-04     3.205e-04     1.636e-04  
  13.500     1.172e-03     1.130e-03     1.083e-03     1.030e-03     9.684e-04     8.970e-04     8.135e-04     7.155e-04     6.014e-04     4.718e-04     3.316e-04     1.943e-04     8.581e-05  
  14.000     9.611e-04     9.193e-04     8.727e-04     8.203e-04     7.608e-04     6.929e-04     6.155e-04     5.279e-04     4.304e-04     3.241e-04     2.127e-04     1.108e-04     4.186e-05  
  14.500     7.791e-04     7.359e-04     6.884e-04     6.361e-04     5.789e-04     5.170e-04     4.509e-04     3.803e-04     3.026e-04     2.170e-04     1.303e-04     5.935e-05     1.921e-05  
  15.000     6.128e-04     5.668e-04     5.188e-04     4.704e-04     4.233e-04     3.771e-04     3.283e-04     2.730e-04     2.096e-04     1.408e-04     7.588e-05     2.993e-05     8.357e-06  
  15.500     4.506e-04     4.083e-04     3.725e-04     3.418e-04     3.120e-04     2.789e-04     2.399e-04     1.939e-04     1.417e-04     8.776e-05     4.191e-05     1.428e-05     3.466e-06  
  16.000     3.142e-04     2.939e-04     2.760e-04     2.566e-04     2.339e-04     2.064e-04     1.735e-04     1.351e-04     9.303e-05     5.243e-05     2.194e-05     6.469e-06     1.377e-06  
  16.500     2.339e-04     2.228e-04     2.098e-04     1.939e-04     1.746e-04     1.512e-04     1.235e-04     9.206e-05     5.910e-05     2.990e-05     1.089e-05     2.798e-06     5.250e-07  
  17.000     1.793e-04     1.702e-04     1.591e-04     1.455e-04     1.290e-04     1.093e-04     8.638e-05     6.115e-05     3.620e-05     1.625e-05     5.144e-06     1.160e-06     1.925e-07  
  17.500     1.372e-04     1.294e-04     1.198e-04     1.082e-04     9.426e-05     7.785e-05     5.924e-05     3.951e-05     2.128e-05     8.394e-06     2.319e-06     4.616e-07     6.790e-08  
  18.000     1.043e-04     9.761e-05     8.945e-05     7.964e-05     6.802e-05     5.458e-05     3.973e-05     2.471e-05     1.197e-05     4.131e-06     1.001e-06     1.768e-07     2.305e-08  
  18.500     7.879e-05     7.308e-05     6.619e-05     5.801e-05     4.844e-05     3.762e-05     2.602e-05     1.492e-05     6.430e-06     1.940e-06     4.146e-07     6.519e-08     7.526e-09  
  19.000     5.909e-05     5.427e-05     4.853e-05     4.178e-05     3.402e-05     2.542e-05     1.657e-05     8.671e-06     3.296e-06     8.710e-07     1.653e-07     2.317e-08     2.364e-09  
  19.500     4.399e-05     3.996e-05     3.522e-05     2.972e-05     2.351e-05     1.682e-05     1.024e-05     4.831e-06     1.612e-06     3.752e-07     6.350e-08     7.934e-09     7.125e-10  
  20.000     3.249e-05     2.917e-05     2.530e-05     2.088e-05     1.598e-05     1.088e-05     6.117e-06     2.574e-06     7.534e-07     1.554e-07     2.351e-08     2.616e-09     2.047e-10  
  20.500     2.381e-05     2.109e-05     1.797e-05     1.446e-05     1.067e-05     6.849e-06     3.522e-06     1.311e-06     3.370e-07     6.191e-08     8.390e-09     8.286e-10     5.438e-11  
  21.000     1.730e-05     1.510e-05     1.261e-05     9.865e-06     6.967e-06     4.185e-06     1.944e-06     6.371e-07     1.445e-07     2.375e-08     2.883e-09     2.515e-10     1.269e-11  
  21.500     1.246e-05     1.070e-05     8.738e-06     6.615e-06     4.446e-06     2.472e-06     1.027e-06     2.954e-07     5.949e-08     8.769e-09     9.515e-10     7.132e-11     7.169e-13  
  22.000     8.884e-06     7.496e-06     5.969e-06     4.352e-06     2.763e-06     1.406e-06     5.174e-07     1.308e-07     2.350e-08     3.111e-09     2.995e-10     1.717e-11     0.000e+00  
  22.500     6.272e-06     5.186e-06     4.013e-06     2.803e-06     1.665e-06     7.666e-07     2.481e-07     5.533e-08     8.898e-09     1.058e-09     8.915e-11     2.546e-12     0.000e+00  
  23.000     4.378e-06     3.538e-06     2.649e-06     1.760e-06     9.687e-07     3.981e-07     1.130e-07     2.232e-08     3.223e-09     3.418e-10     2.313e-11     0.000e+00     0.000e+00  
  23.500     3.019e-06     2.377e-06     1.713e-06     1.074e-06     5.399e-07     1.962e-07     4.877e-08     8.579e-09     1.113e-09     1.041e-10     4.348e-12     0.000e+00     0.000e+00  
  24.000     2.053e-06     1.568e-06     1.081e-06     6.335e-07     2.870e-07     9.125e-08     1.992e-08     3.130e-09     3.627e-10     2.785e-11     0.000e+00     0.000e+00     0.000e+00  
  24.500     1.374e-06     1.014e-06     6.632e-07     3.578e-07     1.441e-07     3.987e-08     7.669e-09     1.078e-09     1.104e-10     5.613e-12     0.000e+00     0.000e+00     0.000e+00  
  25.000     9.025e-07     6.389e-07     3.923e-07     1.922e-07     6.771e-08     1.627e-08     2.767e-09     3.464e-10     2.917e-11     0.000e+00     0.000e+00     0.000e+00     0.000e+00  
