# eps=0.7: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     2.612e-02     2.605e-02     2.595e-02     2.583e-02     2.567e-02     2.546e-02     2.520e-02     2.486e-02     2.444e-02     2.392e-02     2.327e-02     2.249e-02     2.156e-02     2.046e-02     1.919e-02     1.774e-02     1.614e-02  
   4.500     2.332e-02     2.320e-02     2.305e-02     2.287e-02     2.264e-02     2.235e-02     2.200e-02     2.158e-02     2.107e-02     2.047e-02     1.976e-02     1.895e-02     1.804e-02     1.703e-02     1.593e-02     1.476e-02     1.353e-02  
   5.000     2.072e-02     2.055e-02     2.034e-02     2.009e-02     1.978e-02     1.942e-02     1.899e-02     1.849e-02     1.792e-02     1.727e-02     1.655e-02     1.577e-02     1.494e-02     1.406e-02     1.315e-02     1.222e-02     1.126e-02  
   5.500     1.848e-02     1.825e-02     1.798e-02     1.766e-02     1.729e-02     1.687e-02     1.638e-02     1.584e-02     1.525e-02     1.461e-02     1.393e-02     1.323e-02     1.250e-02     1.176e-02     1.102e-02     1.026e-02     9.481e-03  
   6.000     1.644e-02     1.616e-02     1.585e-02     1.548e-02     1.507e-02     1.461e-02     1.411e-02     1.358e-02     1.301e-02     1.242e-02     1.182e-02     1.121e-02     1.060e-02     9.989e-03     9.367e-03     8.726e-03     8.046e-03  
   6.500     1.549e-02     1.516e-02     1.479e-02     1.438e-02     1.393e-02     1.345e-02     1.294e-02     1.241e-02     1.187e-02     1.133e-02     1.078e-02     1.023e-02     9.678e-03     9.120e-03     8.541e-03     7.922e-03     7.237e-03  
   7.000     1.341e-02     1.307e-02     1.271e-02     1.231e-02     1.189e-02     1.145e-02     1.099e-02     1.053e-02     1.007e-02     9.615e-03     9.159e-03     8.703e-03     8.240e-03     7.757e-03     7.239e-03     6.662e-03     5.995e-03  
   7.500     1.141e-02     1.109e-02     1.075e-02     1.039e-02     1.002e-02     9.642e-03     9.260e-03     8.880e-03     8.503e-03     8.128e-03     7.753e-03     7.371e-03     6.973e-03     6.543e-03     6.063e-03     5.506e-03     4.841e-03  
   8.000     9.557e-03     9.276e-03     8.982e-03     8.678e-03     8.369e-03     8.059e-03     7.751e-03     7.445e-03     7.141e-03     6.837e-03     6.526e-03     6.200e-03     5.848e-03     5.454e-03     4.996e-03     4.448e-03     3.780e-03  
   8.500     7.915e-03     7.680e-03     7.439e-03     7.193e-03     6.946e-03     6.701e-03     6.457e-03     6.214e-03     5.970e-03     5.720e-03     5.457e-03     5.172e-03     4.853e-03     4.481e-03     4.037e-03     3.494e-03     2.831e-03  
   9.000     6.508e-03     6.320e-03     6.129e-03     5.936e-03     5.744e-03     5.552e-03     5.360e-03     5.167e-03     4.968e-03     4.758e-03     4.530e-03     4.274e-03     3.976e-03     3.621e-03     3.187e-03     2.654e-03     2.013e-03  
   9.500     5.332e-03     5.186e-03     5.037e-03     4.888e-03     4.739e-03     4.589e-03     4.437e-03     4.280e-03     4.113e-03     3.932e-03     3.729e-03     3.493e-03     3.212e-03     2.870e-03     2.448e-03     1.935e-03     1.344e-03  
  10.000     4.364e-03     4.251e-03     4.136e-03     4.021e-03     3.904e-03     3.785e-03     3.662e-03     3.530e-03     3.387e-03     3.227e-03     3.041e-03     2.821e-03     2.553e-03     2.224e-03     1.822e-03     1.344e-03     8.324e-04  
  10.500     3.572e-03     3.484e-03     3.396e-03     3.305e-03     3.212e-03     3.115e-03     3.011e-03     2.898e-03     2.772e-03     2.627e-03     2.454e-03     2.247e-03     1.992e-03     1.680e-03     1.304e-03     8.809e-04     4.761e-04  
  11.000     2.927e-03     2.858e-03     2.787e-03     2.714e-03     2.638e-03     2.556e-03     2.467e-03     2.367e-03     2.253e-03     2.119e-03     1.958e-03     1.762e-03     1.522e-03     1.232e-03     8.932e-04     5.412e-04     2.528e-04  
  11.500     2.402e-03     2.347e-03     2.289e-03     2.228e-03     2.163e-03     2.092e-03     2.013e-03     1.923e-03     1.818e-03     1.693e-03     1.543e-03     1.359e-03     1.136e-03     8.725e-04     5.819e-04     3.117e-04     1.260e-04  
  12.000     1.975e-03     1.929e-03     1.880e-03     1.827e-03     1.770e-03     1.707e-03     1.635e-03     1.552e-03     1.455e-03     1.339e-03     1.198e-03     1.028e-03     8.256e-04     5.946e-04     3.595e-04     1.686e-04     5.776e-05  
  12.500     1.629e-03     1.588e-03     1.545e-03     1.498e-03     1.446e-03     1.388e-03     1.322e-03     1.245e-03     1.154e-03     1.046e-03     9.160e-04     7.610e-04     5.816e-04     3.883e-04     2.098e-04     8.432e-05     2.407e-05  
  13.000     1.347e-03     1.311e-03     1.271e-03     1.228e-03     1.179e-03     1.125e-03     1.063e-03     9.905e-04     9.055e-04     8.050e-04     6.862e-04     5.482e-04     3.951e-04     2.414e-04     1.141e-04     3.854e-05     9.324e-06  
  13.500     1.118e-03     1.084e-03     1.046e-03     1.004e-03     9.579e-04     9.058e-04     8.465e-04     7.780e-04     6.986e-04     6.064e-04     5.004e-04     3.822e-04     2.579e-04     1.416e-04     5.720e-05     1.639e-05     3.419e-06  
