# z=11.5: redshift
# eps=0.9: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   5.418e-02  
   6.1   4.513e-02  
   6.2   3.761e-02  
   6.3   3.138e-02  
   6.4   2.620e-02  
   6.5   2.189e-02  
   6.6   1.830e-02  
   6.7   1.532e-02  
   6.8   1.283e-02  
   6.9   1.076e-02  
   7.0   9.026e-03  
   7.1   7.577e-03  
   7.2   6.364e-03  
   7.3   5.348e-03  
   7.4   4.495e-03  
   7.5   3.780e-03  
   7.6   3.178e-03  
   7.7   2.673e-03  
   7.8   2.247e-03  
   7.9   1.888e-03  
   8.0   1.587e-03  
   8.1   1.332e-03  
   8.2   1.117e-03  
   8.3   9.362e-04  
   8.4   7.834e-04  
   8.5   6.544e-04  
   8.6   5.454e-04  
   8.7   4.533e-04  
   8.8   3.755e-04  
   8.9   3.096e-04  
   9.0   2.538e-04  
   9.1   2.065e-04  
   9.2   1.665e-04  
   9.3   1.327e-04  
   9.4   1.043e-04  
   9.5   8.048e-05  
   9.6   6.082e-05  
   9.7   4.482e-05  
   9.8   3.208e-05  
   9.9   2.220e-05  
  10.0   1.479e-05  
  10.1   9.450e-06  
  10.2   5.764e-06  
  10.3   3.345e-06  
  10.4   1.841e-06  
  10.5   9.578e-07  
  10.6   4.704e-07  
  10.7   2.177e-07  
  10.8   9.493e-08  
  10.9   3.900e-08  
  11.0   1.511e-08  
  11.1   5.531e-09  
  11.2   1.919e-09  
  11.3   6.325e-10  
  11.4   1.988e-10  
  11.5   5.974e-11  
  11.6   1.720e-11  
  11.7   4.746e-12  
  11.8   1.256e-12  
  11.9   3.180e-13  
  12.0   7.696e-14  
  12.1   1.775e-14  
  12.2   3.889e-15  
  12.3   8.077e-16  
  12.4   1.585e-16  
  12.5   2.928e-17  
  12.6   5.077e-18  
  12.7   8.232e-19  
  12.8   1.243e-19  
  12.9   1.743e-20  
  13.0   2.258e-21  
