# z=18.5: redshift
# eps=0.9: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.221e-03  
   6.1   1.830e-03  
   6.2   1.513e-03  
   6.3   1.255e-03  
   6.4   1.042e-03  
   6.5   8.655e-04  
   6.6   7.187e-04  
   6.7   5.964e-04  
   6.8   4.942e-04  
   6.9   4.089e-04  
   7.0   3.377e-04  
   7.1   2.783e-04  
   7.2   2.287e-04  
   7.3   1.873e-04  
   7.4   1.528e-04  
   7.5   1.241e-04  
   7.6   1.002e-04  
   7.7   8.033e-05  
   7.8   6.381e-05  
   7.9   5.011e-05  
   8.0   3.879e-05  
   8.1   2.951e-05  
   8.2   2.198e-05  
   8.3   1.597e-05  
   8.4   1.127e-05  
   8.5   7.695e-06  
   8.6   5.066e-06  
   8.7   3.205e-06  
   8.8   1.943e-06  
   8.9   1.126e-06  
   9.0   6.228e-07  
   9.1   3.284e-07  
   9.2   1.649e-07  
   9.3   7.891e-08  
   9.4   3.595e-08  
   9.5   1.561e-08  
   9.6   6.463e-09  
   9.7   2.554e-09  
   9.8   9.636e-10  
   9.9   3.475e-10  
  10.0   1.198e-10  
  10.1   3.952e-11  
  10.2   1.247e-11  
  10.3   3.760e-12  
  10.4   1.083e-12  
  10.5   2.978e-13  
  10.6   7.797e-14  
  10.7   1.939e-14  
  10.8   4.563e-15  
  10.9   1.013e-15  
  11.0   2.109e-16  
  11.1   4.104e-17  
  11.2   7.426e-18  
  11.3   1.243e-18  
  11.4   1.918e-19  
  11.5   2.716e-20  
  11.6   3.517e-21  
  11.7   4.153e-22  
  11.8   4.459e-23  
  11.9   4.344e-24  
  12.0   3.833e-25  
  12.1   3.058e-26  
  12.2   2.203e-27  
  12.3   1.432e-28  
  12.4   8.384e-30  
  12.5   4.421e-31  
  12.6   2.097e-32  
  12.7   8.946e-34  
  12.8   3.430e-35  
  12.9   1.181e-36  
  13.0   3.654e-38  
