# z=20.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   1.098e-04  
   6.1   8.949e-05  
   6.2   7.261e-05  
   6.3   5.860e-05  
   6.4   4.697e-05  
   6.5   3.733e-05  
   6.6   2.936e-05  
   6.7   2.279e-05  
   6.8   1.741e-05  
   6.9   1.305e-05  
   7.0   9.554e-06  
   7.1   6.809e-06  
   7.2   4.706e-06  
   7.3   3.141e-06  
   7.4   2.018e-06  
   7.5   1.245e-06  
   7.6   7.346e-07  
   7.7   4.141e-07  
   7.8   2.226e-07  
   7.9   1.140e-07  
   8.0   5.561e-08  
   8.1   2.582e-08  
   8.2   1.141e-08  
   8.3   4.806e-09  
   8.4   1.930e-09  
   8.5   7.392e-10  
   8.6   2.704e-10  
   8.7   9.451e-11  
   8.8   3.158e-11  
   8.9   1.009e-11  
   9.0   3.078e-12  
   9.1   8.965e-13  
   9.2   2.487e-13  
   9.3   6.557e-14  
   9.4   1.636e-14  
   9.5   3.848e-15  
   9.6   8.489e-16  
   9.7   1.748e-16  
   9.8   3.342e-17  
   9.9   5.905e-18  
  10.0   9.600e-19  
  10.1   1.430e-19  
  10.2   1.947e-20  
  10.3   2.413e-21  
  10.4   2.717e-22  
  10.5   2.774e-23  
  10.6   2.563e-24  
  10.7   2.139e-25  
  10.8   1.611e-26  
  10.9   1.094e-27  
  11.0   6.694e-29  
  11.1   3.685e-30  
  11.2   1.825e-31  
  11.3   8.123e-33  
  11.4   3.249e-34  
  11.5   1.167e-35  
  11.6   3.764e-37  
  11.7   1.090e-38  
  11.8   2.831e-40  
  11.9   6.599e-42  
  12.0   1.379e-43  
  12.1   2.586e-45  
  12.2   4.346e-47  
  12.3   6.549e-49  
  12.4   8.846e-51  
  12.5   1.071e-52  
  12.6   1.162e-54  
  12.7   1.130e-56  
  12.8   9.841e-59  
  12.9   7.681e-61  
  13.0   5.371e-63  
