# z=23.5: redshift
# eps=0.6: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   7.174e-05  
   6.1   5.891e-05  
   6.2   4.822e-05  
   6.3   3.933e-05  
   6.4   3.195e-05  
   6.5   2.583e-05  
   6.6   2.077e-05  
   6.7   1.659e-05  
   6.8   1.315e-05  
   6.9   1.031e-05  
   7.0   7.996e-06  
   7.1   6.107e-06  
   7.2   4.583e-06  
   7.3   3.366e-06  
   7.4   2.412e-06  
   7.5   1.679e-06  
   7.6   1.131e-06  
   7.7   7.349e-07  
   7.8   4.590e-07  
   7.9   2.748e-07  
   8.0   1.573e-07  
   8.1   8.589e-08  
   8.2   4.471e-08  
   8.3   2.215e-08  
   8.4   1.045e-08  
   8.5   4.689e-09  
   8.6   2.003e-09  
   8.7   8.152e-10  
   8.8   3.163e-10  
   8.9   1.170e-10  
   9.0   4.134e-11  
   9.1   1.394e-11  
   9.2   4.489e-12  
   9.3   1.378e-12  
   9.4   4.024e-13  
   9.5   1.115e-13  
   9.6   2.918e-14  
   9.7   7.184e-15  
   9.8   1.655e-15  
   9.9   3.547e-16  
  10.0   7.041e-17  
  10.1   1.288e-17  
  10.2   2.163e-18  
  10.3   3.321e-19  
  10.4   4.648e-20  
  10.5   5.915e-21  
  10.6   6.826e-22  
  10.7   7.132e-23  
  10.8   6.735e-24  
  10.9   5.741e-25  
  11.0   4.413e-26  
  11.1   3.056e-27  
  11.2   1.904e-28  
  11.3   1.068e-29  
  11.4   5.381e-31  
  11.5   2.437e-32  
  11.6   9.912e-34  
  11.7   3.620e-35  
  11.8   1.187e-36  
  11.9   3.490e-38  
  12.0   9.209e-40  
  12.1   2.179e-41  
  12.2   4.625e-43  
  12.3   8.801e-45  
  12.4   1.501e-46  
  12.5   2.296e-48  
  12.6   3.146e-50  
  12.7   3.863e-52  
  12.8   4.251e-54  
  12.9   4.191e-56  
  13.0   3.702e-58  
