# z=7.0: redshift
# eps=0.4: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.556e-01  
   6.1   2.155e-01  
   6.2   1.814e-01  
   6.3   1.525e-01  
   6.4   1.280e-01  
   6.5   1.073e-01  
   6.6   8.976e-02  
   6.7   7.497e-02  
   6.8   6.251e-02  
   6.9   5.203e-02  
   7.0   4.324e-02  
   7.1   3.587e-02  
   7.2   2.970e-02  
   7.3   2.456e-02  
   7.4   2.027e-02  
   7.5   1.670e-02  
   7.6   1.375e-02  
   7.7   1.130e-02  
   7.8   9.272e-03  
   7.9   7.602e-03  
   8.0   6.228e-03  
   8.1   5.098e-03  
   8.2   4.171e-03  
   8.3   3.412e-03  
   8.4   2.790e-03  
   8.5   2.282e-03  
   8.6   1.866e-03  
   8.7   1.527e-03  
   8.8   1.250e-03  
   8.9   1.024e-03  
   9.0   8.385e-04  
   9.1   6.872e-04  
   9.2   5.633e-04  
   9.3   4.618e-04  
   9.4   3.784e-04  
   9.5   3.097e-04  
   9.6   2.532e-04  
   9.7   2.064e-04  
   9.8   1.676e-04  
   9.9   1.354e-04  
  10.0   1.087e-04  
  10.1   8.636e-05  
  10.2   6.782e-05  
  10.3   5.247e-05  
  10.4   3.986e-05  
  10.5   2.962e-05  
  10.6   2.146e-05  
  10.7   1.509e-05  
  10.8   1.026e-05  
  10.9   6.718e-06  
  11.0   4.221e-06  
  11.1   2.535e-06  
  11.2   1.451e-06  
  11.3   7.891e-07  
  11.4   4.067e-07  
  11.5   1.983e-07  
  11.6   9.134e-08  
  11.7   3.971e-08  
  11.8   1.629e-08  
  11.9   6.306e-09  
  12.0   2.305e-09  
  12.1   7.966e-10  
  12.2   2.605e-10  
  12.3   8.068e-11  
  12.4   2.368e-11  
  12.5   6.587e-12  
  12.6   1.736e-12  
  12.7   4.331e-13  
  12.8   1.021e-13  
  12.9   2.272e-14  
  13.0   4.764e-15  
