# z=10.5: redshift
# eps=0.5: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   7.370e-02  
   6.1   6.067e-02  
   6.2   4.992e-02  
   6.3   4.106e-02  
   6.4   3.378e-02  
   6.5   2.779e-02  
   6.6   2.288e-02  
   6.7   1.884e-02  
   6.8   1.552e-02  
   6.9   1.280e-02  
   7.0   1.057e-02  
   7.1   8.728e-03  
   7.2   7.218e-03  
   7.3   5.974e-03  
   7.4   4.950e-03  
   7.5   4.104e-03  
   7.6   3.407e-03  
   7.7   2.830e-03  
   7.8   2.352e-03  
   7.9   1.956e-03  
   8.0   1.627e-03  
   8.1   1.354e-03  
   8.2   1.126e-03  
   8.3   9.364e-04  
   8.4   7.781e-04  
   8.5   6.458e-04  
   8.6   5.351e-04  
   8.7   4.424e-04  
   8.8   3.645e-04  
   8.9   2.990e-04  
   9.0   2.439e-04  
   9.1   1.975e-04  
   9.2   1.584e-04  
   9.3   1.255e-04  
   9.4   9.800e-05  
   9.5   7.517e-05  
   9.6   5.644e-05  
   9.7   4.133e-05  
   9.8   2.940e-05  
   9.9   2.024e-05  
  10.0   1.343e-05  
  10.1   8.552e-06  
  10.2   5.209e-06  
  10.3   3.024e-06  
  10.4   1.668e-06  
  10.5   8.713e-07  
  10.6   4.303e-07  
  10.7   2.005e-07  
  10.8   8.806e-08  
  10.9   3.643e-08  
  11.0   1.419e-08  
  11.1   5.215e-09  
  11.2   1.810e-09  
  11.3   5.941e-10  
  11.4   1.851e-10  
  11.5   5.482e-11  
  11.6   1.548e-11  
  11.7   4.173e-12  
  11.8   1.075e-12  
  11.9   2.645e-13  
  12.0   6.208e-14  
  12.1   1.388e-14  
  12.2   2.948e-15  
  12.3   5.933e-16  
  12.4   1.129e-16  
  12.5   2.022e-17  
  12.6   3.404e-18  
  12.7   5.363e-19  
  12.8   7.881e-20  
  12.9   1.076e-20  
  13.0   1.361e-21  
