# z=7.0: redshift
# eps=0.3: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.549e-01  
   6.1   2.148e-01  
   6.2   1.807e-01  
   6.3   1.518e-01  
   6.4   1.274e-01  
   6.5   1.066e-01  
   6.6   8.914e-02  
   6.7   7.437e-02  
   6.8   6.194e-02  
   6.9   5.149e-02  
   7.0   4.272e-02  
   7.1   3.537e-02  
   7.2   2.923e-02  
   7.3   2.411e-02  
   7.4   1.985e-02  
   7.5   1.631e-02  
   7.6   1.338e-02  
   7.7   1.095e-02  
   7.8   8.952e-03  
   7.9   7.306e-03  
   8.0   5.955e-03  
   8.1   4.848e-03  
   8.2   3.943e-03  
   8.3   3.205e-03  
   8.4   2.603e-03  
   8.5   2.113e-03  
   8.6   1.716e-03  
   8.7   1.393e-03  
   8.8   1.131e-03  
   8.9   9.183e-04  
   9.0   7.458e-04  
   9.1   6.058e-04  
   9.2   4.921e-04  
   9.3   3.995e-04  
   9.4   3.241e-04  
   9.5   2.625e-04  
   9.6   2.121e-04  
   9.7   1.707e-04  
   9.8   1.366e-04  
   9.9   1.085e-04  
  10.0   8.539e-05  
  10.1   6.634e-05  
  10.2   5.072e-05  
  10.3   3.804e-05  
  10.4   2.788e-05  
  10.5   1.989e-05  
  10.6   1.376e-05  
  10.7   9.191e-06  
  10.8   5.906e-06  
  10.9   3.638e-06  
  11.0   2.141e-06  
  11.1   1.200e-06  
  11.2   6.393e-07  
  11.3   3.231e-07  
  11.4   1.547e-07  
  11.5   7.009e-08  
  11.6   3.007e-08  
  11.7   1.221e-08  
  11.8   4.699e-09  
  11.9   1.715e-09  
  12.0   5.940e-10  
  12.1   1.953e-10  
  12.2   6.100e-11  
  12.3   1.807e-11  
  12.4   5.074e-12  
  12.5   1.348e-12  
  12.6   3.383e-13  
  12.7   8.000e-14  
  12.8   1.780e-14  
  12.9   3.718e-15  
  13.0   7.284e-16  
