# z=15.5: redshift
# eps=0.6: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   1.280e-02  
   6.1   1.031e-02  
   6.2   8.295e-03  
   6.3   6.677e-03  
   6.4   5.376e-03  
   6.5   4.332e-03  
   6.6   3.495e-03  
   6.7   2.823e-03  
   6.8   2.284e-03  
   6.9   1.851e-03  
   7.0   1.503e-03  
   7.1   1.222e-03  
   7.2   9.953e-04  
   7.3   8.116e-04  
   7.4   6.623e-04  
   7.5   5.405e-04  
   7.6   4.409e-04  
   7.7   3.591e-04  
   7.8   2.918e-04  
   7.9   2.362e-04  
   8.0   1.902e-04  
   8.1   1.520e-04  
   8.2   1.203e-04  
   8.3   9.404e-05  
   8.4   7.230e-05  
   8.5   5.449e-05  
   8.6   4.007e-05  
   8.7   2.864e-05  
   8.8   1.981e-05  
   8.9   1.321e-05  
   9.0   8.457e-06  
   9.1   5.184e-06  
   9.2   3.035e-06  
   9.3   1.694e-06  
   9.4   9.005e-07  
   9.5   4.555e-07  
   9.6   2.193e-07  
   9.7   1.006e-07  
   9.8   4.394e-08  
   9.9   1.832e-08  
  10.0   7.292e-09  
  10.1   2.775e-09  
  10.2   1.010e-09  
  10.3   3.521e-10  
  10.4   1.175e-10  
  10.5   3.751e-11  
  10.6   1.146e-11  
  10.7   3.350e-12  
  10.8   9.348e-13  
  10.9   2.489e-13  
  11.0   6.308e-14  
  11.1   1.520e-14  
  11.2   3.470e-15  
  11.3   7.485e-16  
  11.4   1.521e-16  
  11.5   2.897e-17  
  11.6   5.152e-18  
  11.7   8.520e-19  
  11.8   1.304e-19  
  11.9   1.841e-20  
  12.0   2.386e-21  
  12.1   2.830e-22  
  12.2   3.063e-23  
  12.3   3.017e-24  
  12.4   2.699e-25  
  12.5   2.187e-26  
  12.6   1.604e-27  
  12.7   1.063e-28  
  12.8   6.356e-30  
  12.9   3.426e-31  
  13.0   1.663e-32  
