# z=23.5: redshift
# eps=0.5: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   6.139e-05  
   6.1   5.029e-05  
   6.2   4.105e-05  
   6.3   3.337e-05  
   6.4   2.701e-05  
   6.5   2.175e-05  
   6.6   1.740e-05  
   6.7   1.381e-05  
   6.8   1.086e-05  
   6.9   8.441e-06  
   7.0   6.469e-06  
   7.1   4.873e-06  
   7.2   3.596e-06  
   7.3   2.591e-06  
   7.4   1.815e-06  
   7.5   1.231e-06  
   7.6   8.065e-07  
   7.7   5.080e-07  
   7.8   3.069e-07  
   7.9   1.773e-07  
   8.0   9.780e-08  
   8.1   5.142e-08  
   8.2   2.574e-08  
   8.3   1.227e-08  
   8.4   5.562e-09  
   8.5   2.401e-09  
   8.6   9.869e-10  
   8.7   3.867e-10  
   8.8   1.445e-10  
   8.9   5.154e-11  
   9.0   1.755e-11  
   9.1   5.706e-12  
   9.2   1.769e-12  
   9.3   5.221e-13  
   9.4   1.463e-13  
   9.5   3.876e-14  
   9.6   9.669e-15  
   9.7   2.259e-15  
   9.8   4.918e-16  
   9.9   9.924e-17  
  10.0   1.847e-17  
  10.1   3.159e-18  
  10.2   4.943e-19  
  10.3   7.055e-20  
  10.4   9.158e-21  
  10.5   1.079e-21  
  10.6   1.151e-22  
  10.7   1.110e-23  
  10.8   9.667e-25  
  10.9   7.593e-26  
  11.0   5.374e-27  
  11.1   3.423e-28  
  11.2   1.962e-29  
  11.3   1.011e-30  
  11.4   4.682e-32  
  11.5   1.948e-33  
  11.6   7.275e-35  
  11.7   2.439e-36  
  11.8   7.337e-38  
  11.9   1.980e-39  
  12.0   4.794e-41  
  12.1   1.041e-42  
  12.2   2.026e-44  
  12.3   3.536e-46  
  12.4   5.531e-48  
  12.5   7.754e-50  
  12.6   9.742e-52  
  12.7   1.097e-53  
  12.8   1.106e-55  
  12.9   9.998e-58  
  13.0   8.095e-60  
