# z=11.0: redshift
# eps=0.9: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   6.562e-02  
   6.1   5.461e-02  
   6.2   4.547e-02  
   6.3   3.789e-02  
   6.4   3.159e-02  
   6.5   2.637e-02  
   6.6   2.202e-02  
   6.7   1.841e-02  
   6.8   1.540e-02  
   6.9   1.290e-02  
   7.0   1.081e-02  
   7.1   9.068e-03  
   7.2   7.611e-03  
   7.3   6.392e-03  
   7.4   5.371e-03  
   7.5   4.516e-03  
   7.6   3.797e-03  
   7.7   3.194e-03  
   7.8   2.687e-03  
   7.9   2.260e-03  
   8.0   1.900e-03  
   8.1   1.598e-03  
   8.2   1.342e-03  
   8.3   1.127e-03  
   8.4   9.452e-04  
   8.5   7.918e-04  
   8.6   6.622e-04  
   8.7   5.526e-04  
   8.8   4.600e-04  
   8.9   3.816e-04  
   9.0   3.151e-04  
   9.1   2.588e-04  
   9.2   2.111e-04  
   9.3   1.706e-04  
   9.4   1.364e-04  
   9.5   1.075e-04  
   9.6   8.334e-05  
   9.7   6.329e-05  
   9.8   4.692e-05  
   9.9   3.382e-05  
  10.0   2.360e-05  
  10.1   1.588e-05  
  10.2   1.026e-05  
  10.3   6.339e-06  
  10.4   3.730e-06  
  10.5   2.084e-06  
  10.6   1.102e-06  
  10.7   5.506e-07  
  10.8   2.592e-07  
  10.9   1.149e-07  
  11.0   4.794e-08  
  11.1   1.883e-08  
  11.2   6.977e-09  
  11.3   2.442e-09  
  11.4   8.097e-10  
  11.5   2.552e-10  
  11.6   7.666e-11  
  11.7   2.201e-11  
  11.8   6.053e-12  
  11.9   1.595e-12  
  12.0   4.023e-13  
  12.1   9.704e-14  
  12.2   2.233e-14  
  12.3   4.888e-15  
  12.4   1.015e-15  
  12.5   1.994e-16  
  12.6   3.693e-17  
  12.7   6.426e-18  
  12.8   1.047e-18  
  12.9   1.592e-19  
  13.0   2.250e-20  
