# z=8.0: redshift
# eps=0.5: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   1.968e-01  
   6.1   1.644e-01  
   6.2   1.371e-01  
   6.3   1.141e-01  
   6.4   9.485e-02  
   6.5   7.873e-02  
   6.6   6.525e-02  
   6.7   5.401e-02  
   6.8   4.464e-02  
   6.9   3.686e-02  
   7.0   3.040e-02  
   7.1   2.505e-02  
   7.2   2.062e-02  
   7.3   1.697e-02  
   7.4   1.395e-02  
   7.5   1.147e-02  
   7.6   9.432e-03  
   7.7   7.755e-03  
   7.8   6.378e-03  
   7.9   5.247e-03  
   8.0   4.320e-03  
   8.1   3.559e-03  
   8.2   2.934e-03  
   8.3   2.421e-03  
   8.4   1.999e-03  
   8.5   1.652e-03  
   8.6   1.366e-03  
   8.7   1.131e-03  
   8.8   9.365e-04  
   8.9   7.757e-04  
   9.0   6.426e-04  
   9.1   5.321e-04  
   9.2   4.403e-04  
   9.3   3.638e-04  
   9.4   3.000e-04  
   9.5   2.465e-04  
   9.6   2.018e-04  
   9.7   1.641e-04  
   9.8   1.325e-04  
   9.9   1.059e-04  
  10.0   8.355e-05  
  10.1   6.492e-05  
  10.2   4.952e-05  
  10.3   3.694e-05  
  10.4   2.685e-05  
  10.5   1.895e-05  
  10.6   1.293e-05  
  10.7   8.501e-06  
  10.8   5.362e-06  
  10.9   3.234e-06  
  11.0   1.859e-06  
  11.1   1.015e-06  
  11.2   5.248e-07  
  11.3   2.566e-07  
  11.4   1.184e-07  
  11.5   5.146e-08  
  11.6   2.107e-08  
  11.7   8.127e-09  
  11.8   2.953e-09  
  11.9   1.012e-09  
  12.0   3.274e-10  
  12.1   1.002e-10  
  12.2   2.903e-11  
  12.3   7.978e-12  
  12.4   2.081e-12  
  12.5   5.151e-13  
  12.6   1.210e-13  
  12.7   2.692e-14  
  12.8   5.670e-15  
  12.9   1.128e-15  
  13.0   2.115e-16  
