# z=19.0: redshift
# eps=0.2: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   5.127e-04  
   6.1   4.196e-04  
   6.2   3.438e-04  
   6.3   2.817e-04  
   6.4   2.307e-04  
   6.5   1.885e-04  
   6.6   1.537e-04  
   6.7   1.249e-04  
   6.8   1.010e-04  
   6.9   8.120e-05  
   7.0   6.480e-05  
   7.1   5.122e-05  
   7.2   4.000e-05  
   7.3   3.077e-05  
   7.4   2.324e-05  
   7.5   1.717e-05  
   7.6   1.236e-05  
   7.7   8.629e-06  
   7.8   5.825e-06  
   7.9   3.788e-06  
   8.0   2.365e-06  
   8.1   1.414e-06  
   8.2   8.078e-07  
   8.3   4.402e-07  
   8.4   2.287e-07  
   8.5   1.131e-07  
   8.6   5.329e-08  
   8.7   2.391e-08  
   8.8   1.022e-08  
   8.9   4.169e-09  
   9.0   1.622e-09  
   9.1   6.030e-10  
   9.2   2.142e-10  
   9.3   7.275e-11  
   9.4   2.363e-11  
   9.5   7.342e-12  
   9.6   2.180e-12  
   9.7   6.180e-13  
   9.8   1.670e-13  
   9.9   4.291e-14  
  10.0   1.045e-14  
  10.1   2.404e-15  
  10.2   5.198e-16  
  10.3   1.052e-16  
  10.4   1.982e-17  
  10.5   3.460e-18  
  10.6   5.573e-19  
  10.7   8.247e-20  
  10.8   1.117e-20  
  10.9   1.381e-21  
  11.0   1.553e-22  
  11.1   1.586e-23  
  11.2   1.468e-24  
  11.3   1.228e-25  
  11.4   9.287e-27  
  11.5   6.334e-28  
  11.6   3.894e-29  
  11.7   2.156e-30  
  11.8   1.074e-31  
  11.9   4.812e-33  
  12.0   1.938e-34  
  12.1   7.012e-36  
  12.2   2.279e-37  
  12.3   6.648e-39  
  12.4   1.741e-40  
  12.5   4.090e-42  
  12.6   8.621e-44  
  12.7   1.630e-45  
  12.8   2.763e-47  
  12.9   4.200e-49  
  13.0   5.723e-51  
