# z=5.5: redshift
# eps=0.9: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.702e-01  
   6.1   2.332e-01  
   6.2   2.010e-01  
   6.3   1.731e-01  
   6.4   1.489e-01  
   6.5   1.279e-01  
   6.6   1.097e-01  
   6.7   9.401e-02  
   6.8   8.045e-02  
   6.9   6.875e-02  
   7.0   5.867e-02  
   7.1   4.999e-02  
   7.2   4.254e-02  
   7.3   3.614e-02  
   7.4   3.066e-02  
   7.5   2.597e-02  
   7.6   2.196e-02  
   7.7   1.854e-02  
   7.8   1.563e-02  
   7.9   1.316e-02  
   8.0   1.106e-02  
   8.1   9.279e-03  
   8.2   7.776e-03  
   8.3   6.507e-03  
   8.4   5.438e-03  
   8.5   4.540e-03  
   8.6   3.786e-03  
   8.7   3.154e-03  
   8.8   2.625e-03  
   8.9   2.183e-03  
   9.0   1.815e-03  
   9.1   1.508e-03  
   9.2   1.253e-03  
   9.3   1.040e-03  
   9.4   8.635e-04  
   9.5   7.167e-04  
   9.6   5.949e-04  
   9.7   4.937e-04  
   9.8   4.097e-04  
   9.9   3.399e-04  
  10.0   2.819e-04  
  10.1   2.337e-04  
  10.2   1.936e-04  
  10.3   1.602e-04  
  10.4   1.323e-04  
  10.5   1.091e-04  
  10.6   8.962e-05  
  10.7   7.333e-05  
  10.8   5.966e-05  
  10.9   4.818e-05  
  11.0   3.854e-05  
  11.1   3.044e-05  
  11.2   2.368e-05  
  11.3   1.808e-05  
  11.4   1.349e-05  
  11.5   9.801e-06  
  11.6   6.902e-06  
  11.7   4.691e-06  
  11.8   3.065e-06  
  11.9   1.916e-06  
  12.0   1.142e-06  
  12.1   6.472e-07  
  12.2   3.473e-07  
  12.3   1.761e-07  
  12.4   8.421e-08  
  12.5   3.791e-08  
  12.6   1.605e-08  
  12.7   6.389e-09  
  12.8   2.390e-09  
  12.9   8.404e-10  
  13.0   2.778e-10  
