# z=5.0: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.603e-01  
   6.1   2.262e-01  
   6.2   1.963e-01  
   6.3   1.703e-01  
   6.4   1.476e-01  
   6.5   1.277e-01  
   6.6   1.104e-01  
   6.7   9.538e-02  
   6.8   8.229e-02  
   6.9   7.090e-02  
   7.0   6.102e-02  
   7.1   5.244e-02  
   7.2   4.501e-02  
   7.3   3.858e-02  
   7.4   3.302e-02  
   7.5   2.822e-02  
   7.6   2.408e-02  
   7.7   2.051e-02  
   7.8   1.745e-02  
   7.9   1.482e-02  
   8.0   1.256e-02  
   8.1   1.063e-02  
   8.2   8.986e-03  
   8.3   7.580e-03  
   8.4   6.385e-03  
   8.5   5.369e-03  
   8.6   4.508e-03  
   8.7   3.779e-03  
   8.8   3.164e-03  
   8.9   2.646e-03  
   9.0   2.209e-03  
   9.1   1.843e-03  
   9.2   1.535e-03  
   9.3   1.278e-03  
   9.4   1.063e-03  
   9.5   8.836e-04  
   9.6   7.339e-04  
   9.7   6.093e-04  
   9.8   5.055e-04  
   9.9   4.193e-04  
  10.0   3.475e-04  
  10.1   2.880e-04  
  10.2   2.384e-04  
  10.3   1.973e-04  
  10.4   1.631e-04  
  10.5   1.347e-04  
  10.6   1.111e-04  
  10.7   9.140e-05  
  10.8   7.500e-05  
  10.9   6.131e-05  
  11.0   4.986e-05  
  11.1   4.029e-05  
  11.2   3.227e-05  
  11.3   2.556e-05  
  11.4   1.997e-05  
  11.5   1.532e-05  
  11.6   1.151e-05  
  11.7   8.430e-06  
  11.8   5.992e-06  
  11.9   4.115e-06  
  12.0   2.718e-06  
  12.1   1.720e-06  
  12.2   1.038e-06  
  12.3   5.954e-07  
  12.4   3.234e-07  
  12.5   1.658e-07  
  12.6   7.997e-08  
  12.7   3.622e-08  
  12.8   1.536e-08  
  12.9   6.087e-09  
  13.0   2.249e-09  
