# z=23.0: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   1.530e-04  
   6.1   1.267e-04  
   6.2   1.047e-04  
   6.3   8.634e-05  
   6.4   7.097e-05  
   6.5   5.816e-05  
   6.6   4.749e-05  
   6.7   3.862e-05  
   6.8   3.126e-05  
   6.9   2.516e-05  
   7.0   2.012e-05  
   7.1   1.595e-05  
   7.2   1.253e-05  
   7.3   9.718e-06  
   7.4   7.427e-06  
   7.5   5.575e-06  
   7.6   4.096e-06  
   7.7   2.934e-06  
   7.8   2.041e-06  
   7.9   1.374e-06  
   8.0   8.923e-07  
   8.1   5.567e-07  
   8.2   3.328e-07  
   8.3   1.902e-07  
   8.4   1.037e-07  
   8.5   5.390e-08  
   8.6   2.667e-08  
   8.7   1.256e-08  
   8.8   5.626e-09  
   8.9   2.400e-09  
   9.0   9.754e-10  
   9.1   3.779e-10  
   9.2   1.397e-10  
   9.3   4.929e-11  
   9.4   1.661e-11  
   9.5   5.342e-12  
   9.6   1.639e-12  
   9.7   4.785e-13  
   9.8   1.326e-13  
   9.9   3.473e-14  
  10.0   8.559e-15  
  10.1   1.975e-15  
  10.2   4.244e-16  
  10.3   8.452e-17  
  10.4   1.552e-17  
  10.5   2.617e-18  
  10.6   4.038e-19  
  10.7   5.681e-20  
  10.8   7.269e-21  
  10.9   8.438e-22  
  11.0   8.871e-23  
  11.1   8.431e-24  
  11.2   7.235e-25  
  11.3   5.599e-26  
  11.4   3.904e-27  
  11.5   2.450e-28  
  11.6   1.384e-29  
  11.7   7.026e-31  
  11.8   3.206e-32  
  11.9   1.314e-33  
  12.0   4.836e-35  
  12.1   1.598e-36  
  12.2   4.737e-38  
  12.3   1.260e-39  
  12.4   3.006e-41  
  12.5   6.432e-43  
  12.6   1.234e-44  
  12.7   2.123e-46  
  12.8   3.274e-48  
  12.9   4.524e-50  
  13.0   5.604e-52  
