# z=14.5: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   1.801e-02  
   6.1   1.481e-02  
   6.2   1.218e-02  
   6.3   1.002e-02  
   6.4   8.253e-03  
   6.5   6.798e-03  
   6.6   5.603e-03  
   6.7   4.619e-03  
   6.8   3.810e-03  
   6.9   3.144e-03  
   7.0   2.595e-03  
   7.1   2.143e-03  
   7.2   1.769e-03  
   7.3   1.461e-03  
   7.4   1.206e-03  
   7.5   9.957e-04  
   7.6   8.214e-04  
   7.7   6.770e-04  
   7.8   5.573e-04  
   7.9   4.580e-04  
   8.0   3.755e-04  
   8.1   3.068e-04  
   8.2   2.495e-04  
   8.3   2.018e-04  
   8.4   1.618e-04  
   8.5   1.284e-04  
   8.6   1.004e-04  
   8.7   7.720e-05  
   8.8   5.807e-05  
   8.9   4.256e-05  
   9.0   3.025e-05  
   9.1   2.075e-05  
   9.2   1.369e-05  
   9.3   8.648e-06  
   9.4   5.217e-06  
   9.5   2.998e-06  
   9.6   1.638e-06  
   9.7   8.499e-07  
   9.8   4.188e-07  
   9.9   1.961e-07  
  10.0   8.731e-08  
  10.1   3.702e-08  
  10.2   1.497e-08  
  10.3   5.780e-09  
  10.4   2.135e-09  
  10.5   7.553e-10  
  10.6   2.560e-10  
  10.7   8.312e-11  
  10.8   2.585e-11  
  10.9   7.697e-12  
  11.0   2.191e-12  
  11.1   5.956e-13  
  11.2   1.544e-13  
  11.3   3.806e-14  
  11.4   8.912e-15  
  11.5   1.976e-15  
  11.6   4.135e-16  
  11.7   8.140e-17  
  11.8   1.501e-17  
  11.9   2.583e-18  
  12.0   4.130e-19  
  12.1   6.109e-20  
  12.2   8.327e-21  
  12.3   1.042e-21  
  12.4   1.193e-22  
  12.5   1.246e-23  
  12.6   1.184e-24  
  12.7   1.022e-25  
  12.8   7.992e-27  
  12.9   5.654e-28  
  13.0   3.614e-29  
