# z=18.5: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.390e-03  
   6.1   1.972e-03  
   6.2   1.633e-03  
   6.3   1.356e-03  
   6.4   1.127e-03  
   6.5   9.376e-04  
   6.6   7.795e-04  
   6.7   6.476e-04  
   6.8   5.374e-04  
   6.9   4.452e-04  
   7.0   3.681e-04  
   7.1   3.038e-04  
   7.2   2.500e-04  
   7.3   2.051e-04  
   7.4   1.677e-04  
   7.5   1.365e-04  
   7.6   1.106e-04  
   7.7   8.894e-05  
   7.8   7.096e-05  
   7.9   5.604e-05  
   8.0   4.369e-05  
   8.1   3.352e-05  
   8.2   2.522e-05  
   8.3   1.854e-05  
   8.4   1.327e-05  
   8.5   9.201e-06  
   8.6   6.163e-06  
   8.7   3.972e-06  
   8.8   2.456e-06  
   8.9   1.453e-06  
   9.0   8.214e-07  
   9.1   4.427e-07  
   9.2   2.274e-07  
   9.3   1.112e-07  
   9.4   5.182e-08  
   9.5   2.300e-08  
   9.6   9.732e-09  
   9.7   3.928e-09  
   9.8   1.514e-09  
   9.9   5.572e-10  
  10.0   1.961e-10  
  10.1   6.601e-11  
  10.2   2.125e-11  
  10.3   6.543e-12  
  10.4   1.925e-12  
  10.5   5.410e-13  
  10.6   1.449e-13  
  10.7   3.689e-14  
  10.8   8.908e-15  
  10.9   2.032e-15  
  11.0   4.359e-16  
  11.1   8.756e-17  
  11.2   1.639e-17  
  11.3   2.845e-18  
  11.4   4.559e-19  
  11.5   6.716e-20  
  11.6   9.063e-21  
  11.7   1.117e-21  
  11.8   1.253e-22  
  11.9   1.276e-23  
  12.0   1.179e-24  
  12.1   9.848e-26  
  12.2   7.435e-27  
  12.3   5.066e-28  
  12.4   3.112e-29  
  12.5   1.722e-30  
  12.6   8.572e-32  
  12.7   3.839e-33  
  12.8   1.546e-34  
  12.9   5.592e-36  
  13.0   1.817e-37  
