# z=15.5: redshift
# eps=0.5: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   1.222e-02  
   6.1   9.784e-03  
   6.2   7.826e-03  
   6.3   6.258e-03  
   6.4   5.005e-03  
   6.5   4.006e-03  
   6.6   3.209e-03  
   6.7   2.575e-03  
   6.8   2.070e-03  
   6.9   1.667e-03  
   7.0   1.346e-03  
   7.1   1.088e-03  
   7.2   8.819e-04  
   7.3   7.156e-04  
   7.4   5.811e-04  
   7.5   4.721e-04  
   7.6   3.832e-04  
   7.7   3.105e-04  
   7.8   2.509e-04  
   7.9   2.018e-04  
   8.0   1.613e-04  
   8.1   1.277e-04  
   8.2   9.996e-05  
   8.3   7.705e-05  
   8.4   5.827e-05  
   8.5   4.306e-05  
   8.6   3.096e-05  
   8.7   2.156e-05  
   8.8   1.448e-05  
   8.9   9.350e-06  
   9.0   5.783e-06  
   9.1   3.419e-06  
   9.2   1.927e-06  
   9.3   1.035e-06  
   9.4   5.288e-07  
   9.5   2.572e-07  
   9.6   1.191e-07  
   9.7   5.256e-08  
   9.8   2.212e-08  
   9.9   8.888e-09  
  10.0   3.414e-09  
  10.1   1.254e-09  
  10.2   4.409e-10  
  10.3   1.484e-10  
  10.4   4.783e-11  
  10.5   1.475e-11  
  10.6   4.351e-12  
  10.7   1.226e-12  
  10.8   3.296e-13  
  10.9   8.440e-14  
  11.0   2.055e-14  
  11.1   4.746e-15  
  11.2   1.036e-15  
  11.3   2.132e-16  
  11.4   4.117e-17  
  11.5   7.432e-18  
  11.6   1.248e-18  
  11.7   1.942e-19  
  11.8   2.789e-20  
  11.9   3.680e-21  
  12.0   4.448e-22  
  12.1   4.908e-23  
  12.2   4.931e-24  
  12.3   4.501e-25  
  12.4   3.725e-26  
  12.5   2.790e-27  
  12.6   1.888e-28  
  12.7   1.154e-29  
  12.8   6.354e-31  
  12.9   3.153e-32  
  13.0   1.409e-33  
