# z=23.0: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   2.012e-05  
   6.1   1.596e-05  
   6.2   1.253e-05  
   6.3   9.720e-06  
   6.4   7.429e-06  
   6.5   5.576e-06  
   6.6   4.096e-06  
   6.7   2.934e-06  
   6.8   2.042e-06  
   6.9   1.375e-06  
   7.0   8.924e-07  
   7.1   5.567e-07  
   7.2   3.328e-07  
   7.3   1.902e-07  
   7.4   1.037e-07  
   7.5   5.390e-08  
   7.6   2.667e-08  
   7.7   1.256e-08  
   7.8   5.626e-09  
   7.9   2.400e-09  
   8.0   9.755e-10  
   8.1   3.779e-10  
   8.2   1.397e-10  
   8.3   4.929e-11  
   8.4   1.661e-11  
   8.5   5.342e-12  
   8.6   1.639e-12  
   8.7   4.785e-13  
   8.8   1.326e-13  
   8.9   3.473e-14  
   9.0   8.559e-15  
   9.1   1.975e-15  
   9.2   4.245e-16  
   9.3   8.452e-17  
   9.4   1.552e-17  
   9.5   2.618e-18  
   9.6   4.038e-19  
   9.7   5.681e-20  
   9.8   7.269e-21  
   9.9   8.438e-22  
  10.0   8.871e-23  
  10.1   8.431e-24  
  10.2   7.235e-25  
  10.3   5.599e-26  
  10.4   3.904e-27  
  10.5   2.450e-28  
  10.6   1.384e-29  
  10.7   7.026e-31  
  10.8   3.206e-32  
  10.9   1.314e-33  
  11.0   4.836e-35  
  11.1   1.598e-36  
  11.2   4.737e-38  
  11.3   1.260e-39  
  11.4   3.006e-41  
  11.5   6.433e-43  
  11.6   1.234e-44  
  11.7   2.123e-46  
  11.8   3.274e-48  
  11.9   4.525e-50  
  12.0   5.604e-52  
  12.1   6.221e-54  
  12.2   6.187e-56  
  12.3   5.514e-58  
  12.4   4.402e-60  
  12.5   3.148e-62  
  12.6   2.017e-64  
  12.7   1.158e-66  
  12.8   5.950e-69  
  12.9   2.740e-71  
  13.0   1.130e-73  
