# eps=1.0: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  15.500     7.657e+04     7.305e+04     6.930e+04     6.526e+04     6.091e+04     5.620e+04     5.107e+04     4.551e+04     3.949e+04     3.305e+04     2.633e+04     1.959e+04     1.328e+04     7.965e+03     4.103e+03     1.769e+03     6.269e+02  
  16.000     5.556e+04     5.269e+04     4.969e+04     4.652e+04     4.314e+04     3.950e+04     3.557e+04     3.132e+04     2.675e+04     2.192e+04     1.697e+04     1.216e+04     7.846e+03     4.430e+03     2.127e+03     8.495e+02     2.781e+02  
  16.500     3.973e+04     3.751e+04     3.522e+04     3.283e+04     3.028e+04     2.754e+04     2.456e+04     2.136e+04     1.794e+04     1.437e+04     1.080e+04     7.434e+03     4.560e+03     2.422e+03     1.084e+03     4.015e+02     1.216e+02  
  17.000     2.807e+04     2.645e+04     2.479e+04     2.303e+04     2.114e+04     1.908e+04     1.686e+04     1.446e+04     1.193e+04     9.337e+03     6.794e+03     4.485e+03     2.610e+03     1.302e+03     5.432e+02     1.866e+02     5.234e+01  
  17.500     1.972e+04     1.859e+04     1.740e+04     1.611e+04     1.470e+04     1.317e+04     1.151e+04     9.734e+03     7.880e+03     6.010e+03     4.226e+03     2.668e+03     1.470e+03     6.873e+02     2.671e+02     8.511e+01     2.212e+01  
  18.000     1.386e+04     1.306e+04     1.219e+04     1.124e+04     1.019e+04     9.046e+03     7.815e+03     6.511e+03     5.165e+03     3.831e+03     2.596e+03     1.563e+03     8.129e+02     3.559e+02     1.287e+02     3.804e+01     9.162e+00  
  18.500     9.755e+03     9.171e+03     8.526e+03     7.815e+03     7.035e+03     6.188e+03     5.281e+03     4.327e+03     3.356e+03     2.415e+03     1.572e+03     9.004e+02     4.410e+02     1.804e+02     6.068e+01     1.664e+01     3.717e+00  
  19.000     6.858e+03     6.426e+03     5.946e+03     5.417e+03     4.839e+03     4.213e+03     3.546e+03     2.853e+03     2.158e+03     1.502e+03     9.371e+02     5.089e+02     2.342e+02     8.946e+01     2.797e+01     7.122e+00     1.477e+00  
  19.500     4.811e+03     4.489e+03     4.133e+03     3.740e+03     3.312e+03     2.851e+03     2.364e+03     1.864e+03     1.372e+03     9.211e+02     5.487e+02     2.818e+02     1.217e+02     4.335e+01     1.260e+01     2.979e+00     5.738e-01  
  20.000     3.364e+03     3.125e+03     2.860e+03     2.569e+03     2.253e+03     1.916e+03     1.562e+03     1.204e+03     8.602e+02     5.554e+02     3.151e+02     1.527e+02     6.176e+01     2.050e+01     5.542e+00     1.218e+00     2.180e-01  
