# eps=0.9: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  13.500     2.459e+05     2.415e+05     2.366e+05     2.311e+05     2.252e+05     2.186e+05     2.112e+05     2.030e+05     1.938e+05     1.835e+05     1.720e+05     1.592e+05     1.449e+05     1.292e+05     1.119e+05     9.326e+04     7.369e+04     5.405e+04     3.581e+04     2.072e+04     1.012e+04  
  14.000     1.873e+05     1.834e+05     1.792e+05     1.746e+05     1.696e+05     1.640e+05     1.578e+05     1.509e+05     1.433e+05     1.348e+05     1.254e+05     1.150e+05     1.035e+05     9.084e+04     7.715e+04     6.261e+04     4.767e+04     3.323e+04     2.058e+04     1.094e+04     4.843e+03  
  14.500     1.422e+05     1.388e+05     1.352e+05     1.312e+05     1.269e+05     1.221e+05     1.169e+05     1.112e+05     1.049e+05     9.801e+04     9.038e+04     8.199e+04     7.282e+04     6.285e+04     5.217e+04     4.103e+04     2.993e+04     1.971e+04     1.135e+04     5.534e+03     2.229e+03  
  15.000     1.075e+05     1.045e+05     1.013e+05     9.789e+04     9.418e+04     9.016e+04     8.582e+04     8.110e+04     7.598e+04     7.039e+04     6.430e+04     5.766e+04     5.046e+04     4.272e+04     3.456e+04     2.624e+04     1.826e+04     1.131e+04     6.049e+03     2.714e+03     1.001e+03  
  15.500     8.082e+04     7.816e+04     7.534e+04     7.234e+04     6.916e+04     6.579e+04     6.221e+04     5.840e+04     5.431e+04     4.991e+04     4.514e+04     3.999e+04     3.445e+04     2.856e+04     2.246e+04     1.641e+04     1.087e+04     6.328e+03     3.146e+03     1.303e+03     4.424e+02  
  16.000     6.026e+04     5.785e+04     5.534e+04     5.275e+04     5.009e+04     4.734e+04     4.450e+04     4.152e+04     3.836e+04     3.497e+04     3.133e+04     2.741e+04     2.322e+04     1.882e+04     1.436e+04     1.009e+04     6.343e+03     3.469e+03     1.605e+03     6.151e+02     1.930e+02  
  16.500     4.433e+04     4.216e+04     3.998e+04     3.784e+04     3.572e+04     3.360e+04     3.145e+04     2.921e+04     2.684e+04     2.430e+04     2.156e+04     1.862e+04     1.550e+04     1.227e+04     9.065e+03     6.105e+03     3.641e+03     1.869e+03     8.051e+02     2.859e+02     8.300e+01  
  17.000     3.195e+04     3.008e+04     2.833e+04     2.670e+04     2.515e+04     2.363e+04     2.207e+04     2.044e+04     1.869e+04     1.679e+04     1.475e+04     1.256e+04     1.026e+04     7.917e+03     5.656e+03     3.645e+03     2.058e+03     9.902e+02     3.970e+02     1.307e+02     3.513e+01  
  17.500     2.244e+04     2.102e+04     1.979e+04     1.868e+04     1.762e+04     1.657e+04     1.546e+04     1.426e+04     1.297e+04     1.156e+04     1.003e+04     8.418e+03     6.740e+03     5.062e+03     3.488e+03     2.145e+03     1.144e+03     5.152e+02     1.922e+02     5.868e+01     1.461e+01  
  18.000     1.545e+04     1.454e+04     1.378e+04     1.307e+04     1.236e+04     1.162e+04     1.081e+04     9.930e+03     8.966e+03     7.919e+03     6.794e+03     5.609e+03     4.393e+03     3.204e+03     2.123e+03     1.242e+03     6.243e+02     2.628e+02     9.115e+01     2.581e+01     5.955e+00  
  18.500     1.062e+04     1.011e+04     9.644e+03     9.180e+03     8.685e+03     8.144e+03     7.549e+03     6.894e+03     6.178e+03     5.403e+03     4.576e+03     3.711e+03     2.838e+03     2.004e+03     1.273e+03     7.071e+02     3.340e+02     1.313e+02     4.231e+01     1.111e+01     2.378e+00  
  19.000     7.385e+03     7.088e+03     6.785e+03     6.458e+03     6.098e+03     5.699e+03     5.257e+03     4.771e+03     4.240e+03     3.669e+03     3.062e+03     2.436e+03     1.814e+03     1.237e+03     7.510e+02     3.947e+02     1.750e+02     6.412e+01     1.920e+01     4.681e+00     9.299e-01  
  19.500     5.189e+03     4.993e+03     4.778e+03     4.539e+03     4.273e+03     3.977e+03     3.648e+03     3.288e+03     2.896e+03     2.476e+03     2.034e+03     1.583e+03     1.145e+03     7.515e+02     4.349e+02     2.158e+02     8.960e+01     3.060e+01     8.517e+00     1.928e+00     3.558e-01  
  20.000     3.657e+03     3.517e+03     3.359e+03     3.182e+03     2.985e+03     2.764e+03     2.521e+03     2.254e+03     1.966e+03     1.658e+03     1.338e+03     1.017e+03     7.128e+02     4.489e+02     2.469e+02     1.154e+02     4.482e+01     1.426e+01     3.688e+00     7.760e-01     1.331e-01  
  20.500     2.575e+03     2.471e+03     2.354e+03     2.223e+03     2.076e+03     1.912e+03     1.732e+03     1.536e+03     1.324e+03     1.101e+03     8.709e+02     6.448e+02     4.366e+02     2.632e+02     1.372e+02     6.028e+01     2.187e+01     6.477e+00     1.558e+00     3.050e-01     4.866e-02  
  21.000     1.806e+03     1.730e+03     1.643e+03     1.545e+03     1.436e+03     1.315e+03     1.182e+03     1.038e+03     8.842e+02     7.231e+02     5.600e+02     4.029e+02     2.628e+02     1.512e+02     7.451e+01     3.071e+01     1.040e+01     2.868e+00     6.419e-01     1.169e-01     1.737e-02  
  21.500     1.262e+03     1.205e+03     1.140e+03     1.068e+03     9.871e+02     8.980e+02     8.006e+02     6.957e+02     5.845e+02     4.696e+02     3.552e+02     2.477e+02     1.552e+02     8.491e+01     3.947e+01     1.524e+01     4.815e+00     1.236e+00     2.574e-01     4.364e-02     6.027e-03  
  22.000     8.763e+02     8.339e+02     7.861e+02     7.327e+02     6.733e+02     6.081e+02     5.373e+02     4.616e+02     3.821e+02     3.010e+02     2.218e+02     1.495e+02     8.970e+01     4.656e+01     2.037e+01     7.354e+00     2.165e+00     5.171e-01     1.003e-01     1.583e-02     2.027e-03  
  22.500     6.044e+02     5.731e+02     5.379e+02     4.986e+02     4.553e+02     4.080e+02     3.569e+02     3.028e+02     2.466e+02     1.901e+02     1.361e+02     8.842e+01     5.064e+01     2.487e+01     1.021e+01     3.443e+00     9.438e-01     2.098e-01     3.789e-02     5.566e-03     6.610e-04  
  23.000     4.136e+02     3.906e+02     3.648e+02     3.362e+02     3.049e+02     2.709e+02     2.344e+02     1.961e+02     1.568e+02     1.181e+02     8.195e+01     5.112e+01     2.785e+01     1.290e+01     4.959e+00     1.559e+00     3.977e-01     8.227e-02     1.382e-02     1.882e-03     2.051e-04  
  23.500     2.804e+02     2.636e+02     2.450e+02     2.244e+02     2.019e+02     1.777e+02     1.520e+02     1.252e+02     9.815e+01     7.196e+01     4.825e+01     2.880e+01     1.488e+01     6.476e+00     2.326e+00     6.808e-01     1.615e-01     3.106e-02     4.852e-03     6.120e-04     6.114e-05  
  24.000     1.882e+02     1.761e+02     1.627e+02     1.480e+02     1.320e+02     1.150e+02     9.708e+01     7.864e+01     6.028e+01     4.291e+01     2.770e+01     1.576e+01     7.688e+00     3.135e+00     1.049e+00     2.854e-01     6.287e-02     1.123e-02     1.622e-03     1.873e-04     1.676e-05  
  24.500     1.248e+02     1.161e+02     1.066e+02     9.629e+01     8.514e+01     7.331e+01     6.098e+01     4.846e+01     3.623e+01     2.496e+01     1.544e+01     8.339e+00     3.825e+00     1.456e+00     4.530e-01     1.143e-01     2.335e-02     3.865e-03     5.155e-04     5.431e-05     4.355e-06  
  25.000     8.164e+01     7.555e+01     6.889e+01     6.169e+01     5.400e+01     4.590e+01     3.756e+01     2.921e+01     2.123e+01     1.409e+01     8.315e+00     4.241e+00     1.821e+00     6.446e-01     1.858e-01     4.336e-02     8.188e-03     1.248e-03     1.513e-04     1.416e-05     9.777e-07  
