# eps=0.1: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     1.128e+07     1.125e+07     1.122e+07     1.118e+07     1.113e+07     1.107e+07     1.100e+07     1.090e+07     1.079e+07     1.064e+07     1.047e+07     1.026e+07     1.001e+07     9.705e+06     9.347e+06     8.927e+06     8.441e+06     7.884e+06     7.255e+06     6.556e+06     5.793e+06  
   4.500     7.934e+06     7.905e+06     7.869e+06     7.824e+06     7.769e+06     7.702e+06     7.620e+06     7.520e+06     7.399e+06     7.253e+06     7.080e+06     6.874e+06     6.633e+06     6.352e+06     6.030e+06     5.663e+06     5.251e+06     4.796e+06     4.301e+06     3.773e+06     3.221e+06  
   5.000     5.759e+06     5.727e+06     5.687e+06     5.638e+06     5.579e+06     5.508e+06     5.422e+06     5.319e+06     5.198e+06     5.055e+06     4.888e+06     4.695e+06     4.474e+06     4.224e+06     3.944e+06     3.635e+06     3.300e+06     2.943e+06     2.567e+06     2.181e+06     1.793e+06  
   5.500     4.278e+06     4.243e+06     4.200e+06     4.149e+06     4.088e+06     4.015e+06     3.930e+06     3.829e+06     3.712e+06     3.577e+06     3.423e+06     3.248e+06     3.054e+06     2.840e+06     2.607e+06     2.357e+06     2.095e+06     1.823e+06     1.547e+06     1.272e+06     1.005e+06  
   6.000     3.222e+06     3.186e+06     3.142e+06     3.091e+06     3.030e+06     2.959e+06     2.877e+06     2.782e+06     2.673e+06     2.551e+06     2.414e+06     2.263e+06     2.099e+06     1.922e+06     1.736e+06     1.541e+06     1.342e+06     1.141e+06     9.420e+05     7.493e+05     5.674e+05  
   6.500     2.632e+06     2.591e+06     2.544e+06     2.489e+06     2.426e+06     2.354e+06     2.272e+06     2.180e+06     2.077e+06     1.963e+06     1.839e+06     1.704e+06     1.561e+06     1.410e+06     1.254e+06     1.095e+06     9.358e+05     7.780e+05     6.247e+05     4.789e+05     3.450e+05  
   7.000     1.998e+06     1.960e+06     1.916e+06     1.866e+06     1.808e+06     1.744e+06     1.671e+06     1.591e+06     1.503e+06     1.407e+06     1.304e+06     1.195e+06     1.081e+06     9.646e+05     8.460e+05     7.274e+05     6.103e+05     4.962e+05     3.870e+05     2.852e+05     1.946e+05  
   7.500     1.513e+06     1.478e+06     1.438e+06     1.394e+06     1.343e+06     1.287e+06     1.225e+06     1.157e+06     1.083e+06     1.005e+06     9.228e+05     8.373e+05     7.497e+05     6.611e+05     5.726e+05     4.852e+05     3.999e+05     3.175e+05     2.397e+05     1.688e+05     1.084e+05  
   8.000     1.140e+06     1.110e+06     1.075e+06     1.036e+06     9.927e+05     9.451e+05     8.933e+05     8.376e+05     7.785e+05     7.164e+05     6.522e+05     5.865e+05     5.203e+05     4.542e+05     3.888e+05     3.247e+05     2.624e+05     2.028e+05     1.474e+05     9.857e+04     5.909e+04  
   8.500     8.560e+05     8.294e+05     7.997e+05     7.667e+05     7.306e+05     6.914e+05     6.493e+05     6.047e+05     5.581e+05     5.100e+05     4.608e+05     4.113e+05     3.618e+05     3.127e+05     2.645e+05     2.173e+05     1.717e+05     1.285e+05     8.938e+04     5.635e+04     3.140e+04  
   9.000     6.402e+05     6.177e+05     5.929e+05     5.656e+05     5.361e+05     5.045e+05     4.711e+05     4.361e+05     4.001e+05     3.633e+05     3.261e+05     2.890e+05     2.522e+05     2.158e+05     1.801e+05     1.452e+05     1.116e+05     8.049e+04     5.320e+04     3.146e+04     1.626e+04  
   9.500     4.780e+05     4.593e+05     4.389e+05     4.168e+05     3.931e+05     3.681e+05     3.419e+05     3.149e+05     2.873e+05     2.594e+05     2.315e+05     2.038e+05     1.763e+05     1.492e+05     1.225e+05     9.653e+04     7.192e+04     4.967e+04     3.107e+04     1.720e+04     8.263e+03  
  10.000     3.569e+05     3.416e+05     3.251e+05     3.074e+05     2.886e+05     2.690e+05     2.487e+05     2.280e+05     2.070e+05     1.860e+05     1.650e+05     1.441e+05     1.235e+05     1.031e+05     8.306e+04     6.377e+04     4.583e+04     3.020e+04     1.784e+04     9.250e+03     4.140e+03  
  10.500     2.670e+05     2.547e+05     2.414e+05     2.273e+05     2.126e+05     1.973e+05     1.817e+05     1.658e+05     1.498e+05     1.339e+05     1.180e+05     1.022e+05     8.660e+04     7.116e+04     5.610e+04     4.180e+04     2.889e+04     1.813e+04     1.011e+04     4.906e+03     2.036e+03  
  11.000     2.006e+05     1.906e+05     1.800e+05     1.689e+05     1.573e+05     1.455e+05     1.334e+05     1.212e+05     1.090e+05     9.680e+04     8.469e+04     7.265e+04     6.073e+04     4.900e+04     3.769e+04     2.719e+04     1.803e+04     1.075e+04     5.643e+03     2.544e+03     9.612e+02  
  11.500     1.515e+05     1.435e+05     1.350e+05     1.262e+05     1.171e+05     1.079e+05     9.846e+04     8.903e+04     7.962e+04     7.024e+04     6.092e+04     5.167e+04     4.253e+04     3.363e+04     2.518e+04     1.754e+04     1.113e+04     6.279e+03     3.066e+03     1.258e+03     4.206e+02  
  12.000     1.152e+05     1.088e+05     1.020e+05     9.494e+04     8.774e+04     8.042e+04     7.306e+04     6.569e+04     5.835e+04     5.106e+04     4.383e+04     3.669e+04     2.969e+04     2.295e+04     1.668e+04     1.118e+04     6.741e+03     3.549e+03     1.578e+03     5.725e+02     1.648e+02  
  12.500     8.829e+04     8.301e+04     7.751e+04     7.184e+04     6.607e+04     6.024e+04     5.440e+04     4.858e+04     4.280e+04     3.709e+04     3.145e+04     2.593e+04     2.057e+04     1.550e+04     1.089e+04     6.960e+03     3.925e+03     1.884e+03     7.418e+02     2.324e+02     5.689e+01  
  13.000     6.811e+04     6.375e+04     5.924e+04     5.461e+04     4.992e+04     4.520e+04     4.051e+04     3.586e+04     3.128e+04     2.678e+04     2.238e+04     1.812e+04     1.405e+04     1.026e+04     6.895e+03     4.134e+03     2.130e+03     9.086e+02     3.107e+02     8.357e+01     1.762e+01  
  13.500     5.285e+04     4.919e+04     4.542e+04     4.157e+04     3.770e+04     3.383e+04     3.001e+04     2.627e+04     2.262e+04     1.908e+04     1.567e+04     1.241e+04     9.341e+03     6.540e+03     4.134e+03     2.274e+03     1.048e+03     3.921e+02     1.166e+02     2.740e+01     5.144e+00  
  14.000     4.115e+04     3.802e+04     3.480e+04     3.155e+04     2.829e+04     2.508e+04     2.195e+04     1.892e+04     1.602e+04     1.327e+04     1.066e+04     8.206e+03     5.936e+03     3.926e+03     2.293e+03     1.141e+03     4.678e+02     1.546e+02     4.083e+01     8.665e+00     1.497e+00  
  14.500     3.205e+04     2.931e+04     2.651e+04     2.370e+04     2.093e+04     1.824e+04     1.567e+04     1.325e+04     1.100e+04     8.905e+03     6.962e+03     5.168e+03     3.556e+03     2.198e+03     1.179e+03     5.309e+02     1.959e+02     5.842e+01     1.408e+01     2.763e+00     4.457e-01  
  15.000     2.486e+04     2.240e+04     1.992e+04     1.747e+04     1.509e+04     1.285e+04     1.079e+04     8.922e+03     7.239e+03     5.718e+03     4.338e+03     3.094e+03     2.019e+03     1.167e+03     5.774e+02     2.381e+02     8.031e+01     2.201e+01     4.910e+00     8.980e-01     1.352e-01  
