# z=14.5: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.577e-06   1.315e-05  
   6.1   4.806e-06   1.640e-05  
   6.2   6.458e-06   2.045e-05  
   6.3   8.677e-06   2.550e-05  
   6.4   1.166e-05   3.181e-05  
   6.5   1.566e-05   3.968e-05  
   6.6   2.105e-05   4.951e-05  
   6.7   2.828e-05   6.179e-05  
   6.8   3.800e-05   7.716e-05  
   6.9   5.106e-05   9.641e-05  
   7.0   6.861e-05   1.205e-04  
   7.1   9.220e-05   1.509e-04  
   7.2   1.239e-04   1.891e-04  
   7.3   1.665e-04   2.374e-04  
   7.4   2.239e-04   2.986e-04  
   7.5   3.010e-04   3.768e-04  
   7.6   4.049e-04   4.772e-04  
   7.7   5.449e-04   6.071e-04  
   7.8   7.337e-04   7.770e-04  
   7.9   9.891e-04   1.002e-03  
   8.0   1.335e-03   1.304e-03  
   8.1   1.806e-03   1.716e-03  
   8.2   2.451e-03   2.288e-03  
   8.3   3.340e-03   3.101e-03  
   8.4   4.577e-03   4.277e-03  
   8.5   6.326e-03   6.019e-03  
   8.6   8.839e-03   8.650e-03  
   8.7   1.253e-02   1.271e-02  
   8.8   1.811e-02   1.906e-02  
   8.9   2.674e-02   2.917e-02  
   9.0   4.043e-02   4.538e-02  
   9.1   6.235e-02   7.137e-02  
   9.2   9.683e-02   1.126e-01  
   9.3   1.477e-01   1.761e-01  
   9.4   2.193e-01   2.682e-01  
   9.5   3.256e-01   3.897e-01  
   9.6   4.721e-01   5.296e-01  
   9.7   6.318e-01   6.663e-01  
   9.8   7.689e-01   7.797e-01  
   9.9   8.662e-01   8.614e-01  
  10.0   9.265e-01   9.148e-01  
  10.1   9.609e-01   9.475e-01  
  10.2   9.795e-01   9.669e-01  
  10.3   9.894e-01   9.782e-01  
  10.4   9.945e-01   9.848e-01  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
