# z=10.0: redshift
# eps=0.2: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   4.799e-05   1.719e-05  
   6.1   5.582e-05   2.015e-05  
   6.2   6.494e-05   2.363e-05  
   6.3   7.554e-05   2.771e-05  
   6.4   8.788e-05   3.249e-05  
   6.5   1.022e-04   3.809e-05  
   6.6   1.189e-04   4.466e-05  
   6.7   1.383e-04   5.236e-05  
   6.8   1.609e-04   6.140e-05  
   6.9   1.872e-04   7.199e-05  
   7.0   2.178e-04   8.442e-05  
   7.1   2.533e-04   9.899e-05  
   7.2   2.947e-04   1.161e-04  
   7.3   3.428e-04   1.361e-04  
   7.4   3.988e-04   1.597e-04  
   7.5   4.639e-04   1.873e-04  
   7.6   5.397e-04   2.197e-04  
   7.7   6.278e-04   2.578e-04  
   7.8   7.303e-04   3.025e-04  
   7.9   8.496e-04   3.551e-04  
   8.0   9.883e-04   4.170e-04  
   8.1   1.150e-03   4.898e-04  
   8.2   1.337e-03   5.757e-04  
   8.3   1.556e-03   6.772e-04  
   8.4   1.810e-03   7.973e-04  
   8.5   2.106e-03   9.397e-04  
   8.6   2.450e-03   1.109e-03  
   8.7   2.850e-03   1.312e-03  
   8.8   3.316e-03   1.555e-03  
   8.9   3.859e-03   1.849e-03  
   9.0   4.492e-03   2.207e-03  
   9.1   5.231e-03   2.648e-03  
   9.2   6.095e-03   3.197e-03  
   9.3   7.109e-03   3.892e-03  
   9.4   8.308e-03   4.787e-03  
   9.5   9.737e-03   5.962e-03  
   9.6   1.147e-02   7.541e-03  
   9.7   1.360e-02   9.711e-03  
   9.8   1.634e-02   1.275e-02  
   9.9   1.997e-02   1.710e-02  
  10.0   2.503e-02   2.337e-02  
  10.1   3.240e-02   3.239e-02  
  10.2   4.341e-02   4.510e-02  
  10.3   5.972e-02   6.222e-02  
  10.4   8.244e-02   8.345e-02  
  10.5   1.104e-01   1.068e-01  
  10.6   1.391e-01   1.288e-01  
  10.7   1.630e-01   1.466e-01  
  10.8   1.795e-01   1.597e-01  
  10.9   1.893e-01   1.697e-01  
  11.0   1.944e-01   1.794e-01  
  11.1   1.970e-01   1.905e-01  
  11.2   1.983e-01   2.026e-01  
  11.3   1.990e-01   2.128e-01  
  11.4   1.994e-01   2.193e-01  
  11.5   1.997e-01   2.221e-01  
  11.6   1.998e-01   2.224e-01  
  11.7   1.999e-01   2.212e-01  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
