# z=11.0: redshift
# eps=0.8: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   2.371e-05   1.494e-05  
   6.1   2.823e-05   1.770e-05  
   6.2   3.363e-05   2.097e-05  
   6.3   4.005e-05   2.484e-05  
   6.4   4.771e-05   2.943e-05  
   6.5   5.682e-05   3.486e-05  
   6.6   6.768e-05   4.130e-05  
   6.7   8.061e-05   4.894e-05  
   6.8   9.601e-05   5.799e-05  
   6.9   1.144e-04   6.873e-05  
   7.0   1.362e-04   8.146e-05  
   7.1   1.622e-04   9.658e-05  
   7.2   1.932e-04   1.145e-04  
   7.3   2.301e-04   1.359e-04  
   7.4   2.741e-04   1.613e-04  
   7.5   3.265e-04   1.916e-04  
   7.6   3.889e-04   2.278e-04  
   7.7   4.632e-04   2.711e-04  
   7.8   5.517e-04   3.232e-04  
   7.9   6.571e-04   3.859e-04  
   8.0   7.827e-04   4.619e-04  
   8.1   9.324e-04   5.545e-04  
   8.2   1.111e-03   6.682e-04  
   8.3   1.323e-03   8.090e-04  
   8.4   1.577e-03   9.852e-04  
   8.5   1.880e-03   1.209e-03  
   8.6   2.243e-03   1.496e-03  
   8.7   2.678e-03   1.873e-03  
   8.8   3.203e-03   2.375e-03  
   8.9   3.841e-03   3.059e-03  
   9.0   4.625e-03   4.010e-03  
   9.1   5.606e-03   5.362e-03  
   9.2   6.866e-03   7.326e-03  
   9.3   8.545e-03   1.024e-02  
   9.4   1.089e-02   1.463e-02  
   9.5   1.435e-02   2.136e-02  
   9.6   1.974e-02   3.180e-02  
   9.7   2.859e-02   4.805e-02  
   9.8   4.361e-02   7.326e-02  
   9.9   6.947e-02   1.118e-01  
  10.0   1.133e-01   1.685e-01  
  10.1   1.837e-01   2.471e-01  
  10.2   2.853e-01   3.458e-01  
  10.3   4.102e-01   4.541e-01  
  10.4   5.357e-01   5.556e-01  
  10.5   6.380e-01   6.378e-01  
  10.6   7.078e-01   6.977e-01  
  10.7   7.497e-01   7.399e-01  
  10.8   7.730e-01   7.700e-01  
  10.9   7.855e-01   7.907e-01  
  11.0   7.923e-01   8.034e-01  
  11.1   7.960e-01   8.100e-01  
  11.2   7.979e-01   8.126e-01  
  11.3   7.989e-01   8.131e-01  
  11.4   7.994e-01   8.124e-01  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
