# z=18.5: redshift
# eps=0.4: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.960e-05   9.559e-05  
   6.1   6.432e-05   1.288e-04  
   6.2   1.044e-04   1.734e-04  
   6.3   1.696e-04   2.331e-04  
   6.4   2.755e-04   3.127e-04  
   6.5   4.474e-04   4.182e-04  
   6.6   7.265e-04   5.564e-04  
   6.7   1.180e-03   7.347e-04  
   6.8   1.916e-03   9.587e-04  
   6.9   3.112e-03   1.230e-03  
   7.0   5.053e-03   1.538e-03  
   7.1   8.200e-03   1.862e-03  
   7.2   1.327e-02   2.160e-03  
   7.3   2.110e-02   2.389e-03  
   7.4   3.085e-02   2.514e-03  
   7.5   3.251e-02   2.532e-03  
   7.6   1.820e-02   2.472e-03  
   7.7   6.546e-03   2.387e-03  
   7.8   2.144e-03   2.345e-03  
   7.9   8.646e-04   2.433e-03  
   8.0   6.842e-04   2.774e-03  
   8.1   1.032e-03   3.564e-03  
   8.2   1.916e-03   5.131e-03  
   8.3   3.688e-03   8.037e-03  
   8.4   7.112e-03   1.323e-02  
   8.5   1.362e-02   2.225e-02  
   8.6   2.570e-02   3.738e-02  
   8.7   4.718e-02   6.160e-02  
   8.8   8.266e-02   9.759e-02  
   8.9   1.346e-01   1.456e-01  
   9.0   1.988e-01   2.008e-01  
   9.1   2.632e-01   2.545e-01  
   9.2   3.158e-01   2.988e-01  
   9.3   3.518e-01   3.309e-01  
   9.4   3.737e-01   3.520e-01  
   9.5   3.861e-01   3.654e-01  
   9.6         nan         nan  
   9.7         nan         nan  
   9.8         nan         nan  
   9.9         nan         nan  
  10.0         nan         nan  
  10.1         nan         nan  
  10.2         nan         nan  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
