# z=17.0: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   7.065e-06   3.140e-05  
   6.1   1.063e-05   4.104e-05  
   6.2   1.600e-05   5.364e-05  
   6.3   2.407e-05   7.010e-05  
   6.4   3.623e-05   9.160e-05  
   6.5   5.451e-05   1.197e-04  
   6.6   8.203e-05   1.564e-04  
   6.7   1.234e-04   2.042e-04  
   6.8   1.858e-04   2.665e-04  
   6.9   2.795e-04   3.476e-04  
   7.0   4.206e-04   4.529e-04  
   7.1   6.330e-04   5.890e-04  
   7.2   9.526e-04   7.638e-04  
   7.3   1.433e-03   9.864e-04  
   7.4   2.157e-03   1.266e-03  
   7.5   3.246e-03   1.610e-03  
   7.6   4.885e-03   2.020e-03  
   7.7   7.351e-03   2.489e-03  
   7.8   1.105e-02   2.990e-03  
   7.9   1.657e-02   3.482e-03  
   8.0   2.447e-02   3.910e-03  
   8.1   3.390e-02   4.234e-03  
   8.2   3.739e-02   4.447e-03  
   8.3   2.531e-02   4.603e-03  
   8.4   1.106e-02   4.819e-03  
   8.5   4.528e-03   5.283e-03  
   8.6   2.822e-03   6.273e-03  
   8.7   3.473e-03   8.194e-03  
   8.8   5.955e-03   1.162e-02  
   8.9   1.080e-02   1.729e-02  
   9.0   1.903e-02   2.588e-02  
   9.1   3.139e-02   3.753e-02  
   9.2   4.712e-02   5.120e-02  
   9.3   6.344e-02   6.475e-02  
   9.4   7.717e-02   7.611e-02  
   9.5   8.681e-02   8.437e-02  
   9.6   9.277e-02   8.983e-02  
   9.7   9.615e-02   9.321e-02  
   9.8   9.799e-02   9.526e-02  
   9.9         nan         nan  
  10.0         nan         nan  
  10.1         nan         nan  
  10.2         nan         nan  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
