# z=18.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.960e-05   9.558e-05  
   6.1   6.432e-05   1.288e-04  
   6.2   1.044e-04   1.733e-04  
   6.3   1.696e-04   2.330e-04  
   6.4   2.755e-04   3.126e-04  
   6.5   4.473e-04   4.180e-04  
   6.6   7.265e-04   5.561e-04  
   6.7   1.180e-03   7.341e-04  
   6.8   1.916e-03   9.577e-04  
   6.9   3.111e-03   1.228e-03  
   7.0   5.052e-03   1.535e-03  
   7.1   8.199e-03   1.856e-03  
   7.2   1.326e-02   2.150e-03  
   7.3   2.110e-02   2.371e-03  
   7.4   3.084e-02   2.483e-03  
   7.5   3.249e-02   2.476e-03  
   7.6   1.818e-02   2.373e-03  
   7.7   6.495e-03   2.211e-03  
   7.8   2.044e-03   2.034e-03  
   7.9   6.710e-04   1.884e-03  
   8.0   3.074e-04   1.804e-03  
   8.1   2.988e-04   1.850e-03  
   8.2   4.911e-04   2.106e-03  
   8.3   9.255e-04   2.714e-03  
   8.4   1.779e-03   3.910e-03  
   8.5   3.406e-03   6.076e-03  
   8.6   6.425e-03   9.784e-03  
   8.7   1.180e-02   1.577e-02  
   8.8   2.067e-02   2.472e-02  
   8.9   3.366e-02   3.666e-02  
   9.0   4.970e-02   5.043e-02  
   9.1   6.581e-02   6.383e-02  
   9.2   7.894e-02   7.488e-02  
   9.3   8.795e-02   8.285e-02  
   9.4   9.343e-02   8.812e-02  
   9.5   9.652e-02   9.144e-02  
   9.6         nan         nan  
   9.7         nan         nan  
   9.8         nan         nan  
   9.9         nan         nan  
  10.0         nan         nan  
  10.1         nan         nan  
  10.2         nan         nan  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
