# z=17.0: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   7.065e-06   3.141e-05  
   6.1   1.063e-05   4.107e-05  
   6.2   1.600e-05   5.369e-05  
   6.3   2.408e-05   7.019e-05  
   6.4   3.623e-05   9.176e-05  
   6.5   5.453e-05   1.200e-04  
   6.6   8.206e-05   1.568e-04  
   6.7   1.235e-04   2.050e-04  
   6.8   1.858e-04   2.680e-04  
   6.9   2.797e-04   3.502e-04  
   7.0   4.210e-04   4.574e-04  
   7.1   6.337e-04   5.968e-04  
   7.2   9.539e-04   7.774e-04  
   7.3   1.436e-03   1.010e-03  
   7.4   2.162e-03   1.307e-03  
   7.5   3.256e-03   1.680e-03  
   7.6   4.904e-03   2.142e-03  
   7.7   7.387e-03   2.699e-03  
   7.8   1.112e-02   3.354e-03  
   7.9   1.670e-02   4.111e-03  
   8.0   2.473e-02   4.999e-03  
   8.1   3.443e-02   6.117e-03  
   8.2   3.841e-02   7.707e-03  
   8.3   2.729e-02   1.025e-02  
   8.4   1.491e-02   1.459e-02  
   8.5   1.201e-02   2.217e-02  
   8.6   1.727e-02   3.534e-02  
   8.7   3.120e-02   5.786e-02  
   8.8   5.843e-02   9.527e-02  
   8.9   1.076e-01   1.548e-01  
   9.0   1.902e-01   2.432e-01  
   9.1   3.139e-01   3.620e-01  
   9.2   4.712e-01   5.006e-01  
   9.3   6.344e-01   6.378e-01  
   9.4   7.717e-01   7.528e-01  
   9.5   8.681e-01   8.367e-01  
   9.6   9.277e-01   8.922e-01  
   9.7   9.615e-01   9.270e-01  
   9.8   9.799e-01   9.483e-01  
   9.9         nan         nan  
  10.0         nan         nan  
  10.1         nan         nan  
  10.2         nan         nan  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
