# z=23.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   1.964e-08   8.102e-05  
   6.1   2.554e-08   6.899e-05  
   6.2   4.688e-08   5.877e-05  
   6.3   9.066e-08   5.010e-05  
   6.4   1.764e-07   4.280e-05  
   6.5   3.436e-07   3.672e-05  
   6.6   6.693e-07   3.180e-05  
   6.7   1.304e-06   2.810e-05  
   6.8   2.539e-06   2.587e-05  
   6.9   4.945e-06   2.572e-05  
   7.0   9.631e-06   2.887e-05  
   7.1   1.876e-05   3.773e-05  
   7.2   3.653e-05   5.689e-05  
   7.3   7.112e-05   9.504e-05  
   7.4   1.384e-04   1.685e-04  
   7.5   2.693e-04   3.076e-04  
   7.6   5.232e-04   5.687e-04  
   7.7   1.014e-03   1.055e-03  
   7.8   1.956e-03   1.950e-03  
   7.9   3.741e-03   3.572e-03  
   8.0   7.036e-03   6.422e-03  
   8.1   1.285e-02   1.119e-02  
   8.2   2.231e-02   1.857e-02  
   8.3   3.587e-02   2.868e-02  
   8.4   5.214e-02   4.054e-02  
   8.5         nan         nan  
   8.6         nan         nan  
   8.7         nan         nan  
   8.8         nan         nan  
   8.9         nan         nan  
   9.0         nan         nan  
   9.1         nan         nan  
   9.2         nan         nan  
   9.3         nan         nan  
   9.4         nan         nan  
   9.5         nan         nan  
   9.6         nan         nan  
   9.7         nan         nan  
   9.8         nan         nan  
   9.9         nan         nan  
  10.0         nan         nan  
  10.1         nan         nan  
  10.2         nan         nan  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
