# z=15.5: redshift
# eps=0.2: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.533e-06   1.635e-05  
   6.1   4.956e-06   2.076e-05  
   6.2   6.952e-06   2.635e-05  
   6.3   9.752e-06   3.345e-05  
   6.4   1.368e-05   4.246e-05  
   6.5   1.919e-05   5.391e-05  
   6.6   2.691e-05   6.843e-05  
   6.7   3.775e-05   8.688e-05  
   6.8   5.296e-05   1.103e-04  
   6.9   7.428e-05   1.401e-04  
   7.0   1.042e-04   1.779e-04  
   7.1   1.462e-04   2.259e-04  
   7.2   2.050e-04   2.869e-04  
   7.3   2.877e-04   3.644e-04  
   7.4   4.036e-04   4.630e-04  
   7.5   5.662e-04   5.882e-04  
   7.6   7.944e-04   7.474e-04  
   7.7   1.115e-03   9.495e-04  
   7.8   1.565e-03   1.206e-03  
   7.9   2.196e-03   1.531e-03  
   8.0   3.084e-03   1.941e-03  
   8.1   4.333e-03   2.456e-03  
   8.2   6.090e-03   3.100e-03  
   8.3   8.566e-03   3.899e-03  
   8.4   1.206e-02   4.886e-03  
   8.5   1.696e-02   6.104e-03  
   8.6   2.379e-02   7.636e-03  
   8.7   3.280e-02   9.642e-03  
   8.8   4.240e-02   1.246e-02  
   8.9   4.543e-02   1.670e-02  
   9.0   3.646e-02   2.338e-02  
   9.1   2.955e-02   3.385e-02  
   9.2   3.578e-02   4.960e-02  
   9.3   5.473e-02   7.137e-02  
   9.4   8.336e-02   9.791e-02  
   9.5   1.161e-01   1.255e-01  
   9.6   1.458e-01   1.497e-01  
   9.7   1.679e-01   1.680e-01  
   9.8   1.821e-01   1.802e-01  
   9.9   1.904e-01   1.878e-01  
  10.0   1.950e-01   1.924e-01  
  10.1   1.974e-01   1.950e-01  
  10.2   1.986e-01   1.965e-01  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
