# z=10.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.399e-05   1.605e-05  
   6.1   3.998e-05   1.891e-05  
   6.2   4.702e-05   2.227e-05  
   6.3   5.531e-05   2.624e-05  
   6.4   6.506e-05   3.092e-05  
   6.5   7.653e-05   3.643e-05  
   6.6   9.002e-05   4.292e-05  
   6.7   1.059e-04   5.056e-05  
   6.8   1.245e-04   5.957e-05  
   6.9   1.465e-04   7.019e-05  
   7.0   1.723e-04   8.269e-05  
   7.1   2.027e-04   9.743e-05  
   7.2   2.384e-04   1.148e-04  
   7.3   2.804e-04   1.353e-04  
   7.4   3.299e-04   1.594e-04  
   7.5   3.880e-04   1.879e-04  
   7.6   4.564e-04   2.214e-04  
   7.7   5.368e-04   2.609e-04  
   7.8   6.315e-04   3.076e-04  
   7.9   7.428e-04   3.627e-04  
   8.0   8.737e-04   4.277e-04  
   8.1   1.028e-03   5.046e-04  
   8.2   1.209e-03   5.954e-04  
   8.3   1.422e-03   7.030e-04  
   8.4   1.673e-03   8.305e-04  
   8.5   1.967e-03   9.819e-04  
   8.6   2.314e-03   1.162e-03  
   8.7   2.723e-03   1.377e-03  
   8.8   3.203e-03   1.635e-03  
   8.9   3.769e-03   1.945e-03  
   9.0   4.437e-03   2.320e-03  
   9.1   5.224e-03   2.778e-03  
   9.2   6.155e-03   3.342e-03  
   9.3   7.260e-03   4.046e-03  
   9.4   8.579e-03   4.936e-03  
   9.5   1.016e-02   6.080e-03  
   9.6   1.209e-02   7.578e-03  
   9.7   1.449e-02   9.575e-03  
   9.8   1.752e-02   1.228e-02  
   9.9   2.148e-02   1.596e-02  
  10.0   2.680e-02   2.098e-02  
  10.1   3.403e-02   2.764e-02  
  10.2   4.372e-02   3.603e-02  
  10.3   5.585e-02   4.571e-02  
  10.4   6.916e-02   5.553e-02  
  10.5   8.126e-02   6.415e-02  
  10.6   9.012e-02   7.105e-02  
  10.7   9.537e-02   7.698e-02  
  10.8   9.789e-02   8.357e-02  
  10.9   9.885e-02   9.218e-02  
  11.0   9.917e-02   1.023e-01  
  11.1   9.937e-02   1.115e-01  
  11.2   9.958e-02   1.175e-01  
  11.3   9.975e-02   1.201e-01  
  11.4   9.986e-02   1.204e-01  
  11.5   9.993e-02   1.193e-01  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
