# z=15.0: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.409e-06   1.439e-05  
   6.1   4.678e-06   1.810e-05  
   6.2   6.419e-06   2.276e-05  
   6.3   8.809e-06   2.864e-05  
   6.4   1.209e-05   3.603e-05  
   6.5   1.659e-05   4.534e-05  
   6.6   2.277e-05   5.706e-05  
   6.7   3.124e-05   7.183e-05  
   6.8   4.287e-05   9.045e-05  
   6.9   5.884e-05   1.140e-04  
   7.0   8.075e-05   1.436e-04  
   7.1   1.108e-04   1.812e-04  
   7.2   1.521e-04   2.287e-04  
   7.3   2.088e-04   2.891e-04  
   7.4   2.867e-04   3.660e-04  
   7.5   3.937e-04   4.643e-04  
   7.6   5.408e-04   5.904e-04  
   7.7   7.431e-04   7.534e-04  
   7.8   1.022e-03   9.652e-04  
   7.9   1.406e-03   1.243e-03  
   8.0   1.937e-03   1.612e-03  
   8.1   2.672e-03   2.106e-03  
   8.2   3.695e-03   2.780e-03  
   8.3   5.125e-03   3.714e-03  
   8.4   7.138e-03   5.032e-03  
   8.5   9.998e-03   6.933e-03  
   8.6   1.411e-02   9.738e-03  
   8.7   2.009e-02   1.398e-02  
   8.8   2.887e-02   2.054e-02  
   8.9   4.166e-02   3.090e-02  
   9.0   5.908e-02   4.747e-02  
   9.1   7.871e-02   7.390e-02  
   9.2   9.883e-02   1.151e-01  
   9.3   1.359e-01   1.757e-01  
   9.4   2.080e-01   2.573e-01  
   9.5   3.115e-01   3.536e-01  
   9.6   4.257e-01   4.504e-01  
   9.7   5.258e-01   5.329e-01  
   9.8   5.982e-01   5.936e-01  
   9.9   6.437e-01   6.338e-01  
  10.0   6.699e-01   6.587e-01  
  10.1   6.842e-01   6.735e-01  
  10.2   6.918e-01   6.822e-01  
  10.3   6.958e-01   6.874e-01  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
