# z=15.5: redshift
# eps=0.4: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.533e-06   1.636e-05  
   6.1   4.956e-06   2.076e-05  
   6.2   6.952e-06   2.636e-05  
   6.3   9.752e-06   3.346e-05  
   6.4   1.368e-05   4.248e-05  
   6.5   1.919e-05   5.394e-05  
   6.6   2.691e-05   6.849e-05  
   6.7   3.775e-05   8.698e-05  
   6.8   5.296e-05   1.105e-04  
   6.9   7.429e-05   1.403e-04  
   7.0   1.042e-04   1.783e-04  
   7.1   1.462e-04   2.267e-04  
   7.2   2.051e-04   2.882e-04  
   7.3   2.878e-04   3.667e-04  
   7.4   4.038e-04   4.669e-04  
   7.5   5.666e-04   5.948e-04  
   7.6   7.953e-04   7.585e-04  
   7.7   1.116e-03   9.683e-04  
   7.8   1.568e-03   1.238e-03  
   7.9   2.203e-03   1.584e-03  
   8.0   3.097e-03   2.031e-03  
   8.1   4.357e-03   2.608e-03  
   8.2   6.138e-03   3.356e-03  
   8.3   8.658e-03   4.332e-03  
   8.4   1.224e-02   5.618e-03  
   8.5   1.732e-02   7.346e-03  
   8.6   2.447e-02   9.742e-03  
   8.7   3.413e-02   1.322e-02  
   8.8   4.496e-02   1.851e-02  
   8.9   5.036e-02   2.689e-02  
   9.0   4.585e-02   4.036e-02  
   9.1   4.706e-02   6.163e-02  
   9.2   6.727e-02   9.358e-02  
   9.3   1.081e-01   1.376e-01  
   9.4   1.663e-01   1.913e-01  
   9.5   2.321e-01   2.471e-01  
   9.6   2.916e-01   2.960e-01  
   9.7   3.359e-01   3.330e-01  
   9.8   3.643e-01   3.579e-01  
   9.9   3.808e-01   3.735e-01  
  10.0   3.899e-01   3.829e-01  
  10.1   3.948e-01   3.884e-01  
  10.2   3.973e-01   3.917e-01  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
