# z=14.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.577e-06   1.315e-05  
   6.1   4.806e-06   1.639e-05  
   6.2   6.458e-06   2.043e-05  
   6.3   8.676e-06   2.547e-05  
   6.4   1.166e-05   3.175e-05  
   6.5   1.566e-05   3.959e-05  
   6.6   2.104e-05   4.935e-05  
   6.7   2.828e-05   6.153e-05  
   6.8   3.799e-05   7.671e-05  
   6.9   5.105e-05   9.565e-05  
   7.0   6.859e-05   1.193e-04  
   7.1   9.215e-05   1.487e-04  
   7.2   1.238e-04   1.855e-04  
   7.3   1.664e-04   2.314e-04  
   7.4   2.235e-04   2.886e-04  
   7.5   3.004e-04   3.601e-04  
   7.6   4.036e-04   4.494e-04  
   7.7   5.424e-04   5.611e-04  
   7.8   7.289e-04   7.008e-04  
   7.9   9.797e-04   8.755e-04  
   8.0   1.317e-03   1.094e-03  
   8.1   1.771e-03   1.369e-03  
   8.2   2.381e-03   1.713e-03  
   8.3   3.204e-03   2.146e-03  
   8.4   4.313e-03   2.690e-03  
   8.5   5.811e-03   3.374e-03  
   8.6   7.838e-03   4.236e-03  
   8.7   1.059e-02   5.327e-03  
   8.8   1.432e-02   6.712e-03  
   8.9   1.939e-02   8.493e-03  
   9.0   2.622e-02   1.083e-02  
   9.1   3.510e-02   1.399e-02  
   9.2   4.522e-02   1.843e-02  
   9.3   5.238e-02   2.486e-02  
   9.4   5.056e-02   3.406e-02  
   9.5   4.651e-02   4.615e-02  
   9.6   5.197e-02   5.993e-02  
   9.7   6.449e-02   7.318e-02  
   9.8   7.721e-02   8.395e-02  
   9.9   8.669e-02   9.149e-02  
  10.0   9.266e-02   9.617e-02  
  10.1   9.609e-02   9.883e-02  
  10.2   9.795e-02   1.002e-01  
  10.3   9.894e-02   1.008e-01  
  10.4   9.945e-02   1.011e-01  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
