# z=18.5: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.960e-05   9.560e-05  
   6.1   6.432e-05   1.288e-04  
   6.2   1.045e-04   1.734e-04  
   6.3   1.696e-04   2.331e-04  
   6.4   2.755e-04   3.128e-04  
   6.5   4.474e-04   4.184e-04  
   6.6   7.265e-04   5.568e-04  
   6.7   1.180e-03   7.353e-04  
   6.8   1.916e-03   9.597e-04  
   6.9   3.112e-03   1.231e-03  
   7.0   5.053e-03   1.542e-03  
   7.1   8.201e-03   1.867e-03  
   7.2   1.327e-02   2.171e-03  
   7.3   2.111e-02   2.407e-03  
   7.4   3.086e-02   2.546e-03  
   7.5   3.252e-02   2.589e-03  
   7.6   1.823e-02   2.572e-03  
   7.7   6.597e-03   2.562e-03  
   7.8   2.243e-03   2.655e-03  
   7.9   1.058e-03   2.982e-03  
   8.0   1.061e-03   3.745e-03  
   8.1   1.765e-03   5.278e-03  
   8.2   3.340e-03   8.155e-03  
   8.3   6.450e-03   1.336e-02  
   8.4   1.245e-02   2.255e-02  
   8.5   2.384e-02   3.842e-02  
   8.6   4.498e-02   6.498e-02  
   8.7   8.257e-02   1.074e-01  
   8.8   1.447e-01   1.705e-01  
   8.9   2.356e-01   2.544e-01  
   9.0   3.479e-01   3.512e-01  
   9.1   4.607e-01   4.452e-01  
   9.2   5.526e-01   5.228e-01  
   9.3   6.157e-01   5.788e-01  
   9.4   6.540e-01   6.159e-01  
   9.5   6.756e-01   6.393e-01  
   9.6         nan         nan  
   9.7         nan         nan  
   9.8         nan         nan  
   9.9         nan         nan  
  10.0         nan         nan  
  10.1         nan         nan  
  10.2         nan         nan  
  10.3         nan         nan  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
