# z=6.0: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   6.446e-05   1.194e-05  
   6.1   7.339e-05   1.384e-05  
   6.2   8.357e-05   1.605e-05  
   6.3   9.515e-05   1.862e-05  
   6.4   1.083e-04   2.159e-05  
   6.5   1.234e-04   2.504e-05  
   6.6   1.405e-04   2.903e-05  
   6.7   1.599e-04   3.367e-05  
   6.8   1.821e-04   3.904e-05  
   6.9   2.073e-04   4.528e-05  
   7.0   2.361e-04   5.251e-05  
   7.1   2.688e-04   6.090e-05  
   7.2   3.060e-04   7.064e-05  
   7.3   3.484e-04   8.193e-05  
   7.4   3.967e-04   9.503e-05  
   7.5   4.517e-04   1.102e-04  
   7.6   5.144e-04   1.279e-04  
   7.7   5.856e-04   1.483e-04  
   7.8   6.668e-04   1.721e-04  
   7.9   7.592e-04   1.997e-04  
   8.0   8.645e-04   2.318e-04  
   8.1   9.843e-04   2.691e-04  
   8.2   1.121e-03   3.124e-04  
   8.3   1.276e-03   3.628e-04  
   8.4   1.453e-03   4.215e-04  
   8.5   1.654e-03   4.898e-04  
   8.6   1.884e-03   5.694e-04  
   8.7   2.145e-03   6.622e-04  
   8.8   2.442e-03   7.705e-04  
   8.9   2.780e-03   8.972e-04  
   9.0   3.166e-03   1.045e-03  
   9.1   3.605e-03   1.219e-03  
   9.2   4.104e-03   1.423e-03  
   9.3   4.673e-03   1.662e-03  
   9.4   5.321e-03   1.945e-03  
   9.5   6.059e-03   2.279e-03  
   9.6   6.899e-03   2.675e-03  
   9.7   7.855e-03   3.146e-03  
   9.8   8.944e-03   3.710e-03  
   9.9   1.019e-02   4.388e-03  
  10.0   1.160e-02   5.210e-03  
  10.1   1.321e-02   6.212e-03  
  10.2   1.505e-02   7.448e-03  
  10.3   1.715e-02   8.988e-03  
  10.4   1.956e-02   1.093e-02  
  10.5   2.234e-02   1.343e-02  
  10.6   2.556e-02   1.668e-02  
  10.7   2.933e-02   2.101e-02  
  10.8   3.385e-02   2.688e-02  
  10.9   3.941e-02   3.499e-02  
  11.0   4.655e-02   4.639e-02  
  11.1   5.619e-02   6.261e-02  
  11.2   7.000e-02   8.586e-02  
  11.3   9.082e-02   1.190e-01  
  11.4   1.232e-01   1.653e-01  
  11.5   1.734e-01   2.272e-01  
  11.6   2.467e-01   3.039e-01  
  11.7   3.419e-01   3.886e-01  
  11.8   4.454e-01   4.695e-01  
  11.9   5.373e-01   5.352e-01  
  12.0   6.044e-01   5.816e-01  
  12.1   6.466e-01   6.120e-01  
  12.2   6.709e-01   6.334e-01  
  12.3   6.842e-01   6.518e-01  
  12.4   6.915e-01   6.706e-01  
  12.5   6.954e-01   6.894e-01  
  12.6   6.976e-01   7.060e-01  
  12.7   6.987e-01   7.185e-01  
  12.8   6.993e-01   7.261e-01  
  12.9   6.994e-01   7.297e-01  
  13.0   6.972e-01   7.301e-01  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
