# z=15.0: redshift
# eps=0.3: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   3.409e-06   1.438e-05  
   6.1   4.678e-06   1.809e-05  
   6.2   6.419e-06   2.275e-05  
   6.3   8.809e-06   2.862e-05  
   6.4   1.209e-05   3.600e-05  
   6.5   1.659e-05   4.529e-05  
   6.6   2.276e-05   5.697e-05  
   6.7   3.124e-05   7.168e-05  
   6.8   4.287e-05   9.020e-05  
   6.9   5.883e-05   1.135e-04  
   7.0   8.073e-05   1.429e-04  
   7.1   1.108e-04   1.799e-04  
   7.2   1.521e-04   2.266e-04  
   7.3   2.087e-04   2.856e-04  
   7.4   2.864e-04   3.601e-04  
   7.5   3.932e-04   4.544e-04  
   7.6   5.398e-04   5.739e-04  
   7.7   7.411e-04   7.257e-04  
   7.8   1.018e-03   9.190e-04  
   7.9   1.398e-03   1.166e-03  
   8.0   1.922e-03   1.483e-03  
   8.1   2.644e-03   1.890e-03  
   8.2   3.640e-03   2.419e-03  
   8.3   5.018e-03   3.108e-03  
   8.4   6.930e-03   4.015e-03  
   8.5   9.594e-03   5.224e-03  
   8.6   1.332e-02   6.860e-03  
   8.7   1.856e-02   9.129e-03  
   8.8   2.590e-02   1.237e-02  
   8.9   3.592e-02   1.716e-02  
   9.0   4.805e-02   2.448e-02  
   9.1   5.778e-02   3.589e-02  
   9.2   5.998e-02   5.350e-02  
   9.3   6.662e-02   7.936e-02  
   9.4   9.213e-02   1.141e-01  
   9.5   1.344e-01   1.550e-01  
   9.6   1.827e-01   1.962e-01  
   9.7   2.254e-01   2.312e-01  
   9.8   2.564e-01   2.568e-01  
   9.9   2.759e-01   2.737e-01  
  10.0   2.871e-01   2.841e-01  
  10.1   2.932e-01   2.902e-01  
  10.2   2.965e-01   2.937e-01  
  10.3   2.982e-01   2.957e-01  
  10.4         nan         nan  
  10.5         nan         nan  
  10.6         nan         nan  
  10.7         nan         nan  
  10.8         nan         nan  
  10.9         nan         nan  
  11.0         nan         nan  
  11.1         nan         nan  
  11.2         nan         nan  
  11.3         nan         nan  
  11.4         nan         nan  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
