# z=11.0: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   2.371e-05   1.494e-05  
   6.1   2.823e-05   1.770e-05  
   6.2   3.363e-05   2.097e-05  
   6.3   4.005e-05   2.484e-05  
   6.4   4.771e-05   2.943e-05  
   6.5   5.682e-05   3.487e-05  
   6.6   6.768e-05   4.131e-05  
   6.7   8.061e-05   4.895e-05  
   6.8   9.601e-05   5.801e-05  
   6.9   1.144e-04   6.876e-05  
   7.0   1.362e-04   8.152e-05  
   7.1   1.622e-04   9.667e-05  
   7.2   1.932e-04   1.147e-04  
   7.3   2.301e-04   1.361e-04  
   7.4   2.741e-04   1.617e-04  
   7.5   3.265e-04   1.922e-04  
   7.6   3.889e-04   2.287e-04  
   7.7   4.632e-04   2.725e-04  
   7.8   5.517e-04   3.253e-04  
   7.9   6.571e-04   3.891e-04  
   8.0   7.827e-04   4.669e-04  
   8.1   9.325e-04   5.623e-04  
   8.2   1.111e-03   6.803e-04  
   8.3   1.324e-03   8.277e-04  
   8.4   1.578e-03   1.014e-03  
   8.5   1.882e-03   1.254e-03  
   8.6   2.245e-03   1.566e-03  
   8.7   2.683e-03   1.981e-03  
   8.8   3.212e-03   2.542e-03  
   8.9   3.858e-03   3.319e-03  
   9.0   4.658e-03   4.416e-03  
   9.1   5.669e-03   5.998e-03  
   9.2   6.989e-03   8.326e-03  
   9.3   8.784e-03   1.182e-02  
   9.4   1.136e-02   1.714e-02  
   9.5   1.525e-02   2.537e-02  
   9.6   2.150e-02   3.821e-02  
   9.7   3.198e-02   5.831e-02  
   9.8   5.011e-02   8.964e-02  
   9.9   8.174e-02   1.377e-01  
  10.0   1.359e-01   2.087e-01  
  10.1   2.234e-01   3.072e-01  
  10.2   3.505e-01   4.312e-01  
  10.3   5.072e-01   5.675e-01  
  10.4   6.651e-01   6.955e-01  
  10.5   7.942e-01   7.989e-01  
  10.6   8.826e-01   8.737e-01  
  10.7   9.359e-01   9.255e-01  
  10.8   9.657e-01   9.613e-01  
  10.9   9.817e-01   9.855e-01  
  11.0   9.904e-01   1.000e+00  
  11.1   9.950e-01   1.008e+00  
  11.2   9.974e-01   1.011e+00  
  11.3   9.987e-01   1.012e+00  
  11.4   9.993e-01   1.011e+00  
  11.5         nan         nan  
  11.6         nan         nan  
  11.7         nan         nan  
  11.8         nan         nan  
  11.9         nan         nan  
  12.0         nan         nan  
  12.1         nan         nan  
  12.2         nan         nan  
  12.3         nan         nan  
  12.4         nan         nan  
  12.5         nan         nan  
  12.6         nan         nan  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
