# z=5.0: redshift
# eps=0.4: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   1.833e-05   6.333e-06  
   6.1   2.130e-05   7.402e-06  
   6.2   2.473e-05   8.652e-06  
   6.3   2.873e-05   1.011e-05  
   6.4   3.337e-05   1.182e-05  
   6.5   3.876e-05   1.382e-05  
   6.6   4.502e-05   1.615e-05  
   6.7   5.229e-05   1.887e-05  
   6.8   6.074e-05   2.206e-05  
   6.9   7.055e-05   2.579e-05  
   7.0   8.194e-05   3.014e-05  
   7.1   9.517e-05   3.523e-05  
   7.2   1.105e-04   4.119e-05  
   7.3   1.284e-04   4.814e-05  
   7.4   1.491e-04   5.628e-05  
   7.5   1.732e-04   6.579e-05  
   7.6   2.012e-04   7.691e-05  
   7.7   2.337e-04   8.992e-05  
   7.8   2.714e-04   1.051e-04  
   7.9   3.153e-04   1.229e-04  
   8.0   3.662e-04   1.437e-04  
   8.1   4.254e-04   1.681e-04  
   8.2   4.941e-04   1.966e-04  
   8.3   5.739e-04   2.299e-04  
   8.4   6.665e-04   2.689e-04  
   8.5   7.742e-04   3.146e-04  
   8.6   8.992e-04   3.681e-04  
   8.7   1.044e-03   4.307e-04  
   8.8   1.213e-03   5.041e-04  
   8.9   1.409e-03   5.901e-04  
   9.0   1.637e-03   6.910e-04  
   9.1   1.901e-03   8.093e-04  
   9.2   2.208e-03   9.480e-04  
   9.3   2.565e-03   1.111e-03  
   9.4   2.979e-03   1.302e-03  
   9.5   3.460e-03   1.527e-03  
   9.6   4.019e-03   1.791e-03  
   9.7   4.668e-03   2.103e-03  
   9.8   5.422e-03   2.469e-03  
   9.9   6.298e-03   2.902e-03  
  10.0   7.315e-03   3.412e-03  
  10.1   8.497e-03   4.016e-03  
  10.2   9.869e-03   4.732e-03  
  10.3   1.146e-02   5.583e-03  
  10.4   1.332e-02   6.597e-03  
  10.5   1.547e-02   7.809e-03  
  10.6   1.797e-02   9.266e-03  
  10.7   2.088e-02   1.103e-02  
  10.8   2.427e-02   1.317e-02  
  10.9   2.822e-02   1.579e-02  
  11.0   3.283e-02   1.904e-02  
  11.1   3.823e-02   2.311e-02  
  11.2   4.460e-02   2.827e-02  
  11.3   5.216e-02   3.490e-02  
  11.4   6.126e-02   4.354e-02  
  11.5   7.240e-02   5.494e-02  
  11.6   8.634e-02   7.007e-02  
  11.7   1.042e-01   9.011e-02  
  11.8   1.276e-01   1.162e-01  
  11.9   1.584e-01   1.488e-01  
  12.0   1.973e-01   1.867e-01  
  12.1   2.423e-01   2.264e-01  
  12.2   2.874e-01   2.628e-01  
  12.3   3.253e-01   2.925e-01  
  12.4   3.527e-01   3.159e-01  
  12.5   3.709e-01   3.359e-01  
  12.6   3.816e-01   3.550e-01  
  12.7   3.847e-01   3.732e-01  
  12.8   3.764e-01   3.888e-01  
  12.9   3.498e-01   3.993e-01  
  13.0   2.990e-01   4.015e-01  
  13.1   2.268e-01   3.926e-01  
  13.2   1.477e-01   3.717e-01  
  13.3   8.050e-02   3.406e-01  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
