# z=25.0: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -12.0   6.432e-05   6.396e-05    6.395e-05  
  -12.1   5.938e-05   5.903e-05    5.903e-05  
  -12.2   5.480e-05   5.446e-05    5.446e-05  
  -12.3   5.056e-05   5.023e-05    5.023e-05  
  -12.4   4.663e-05   4.631e-05    4.630e-05  
  -12.5   4.299e-05   4.268e-05    4.267e-05  
  -12.6   3.962e-05   3.931e-05    3.931e-05  
  -12.7   3.649e-05   3.620e-05    3.619e-05  
  -12.8   3.361e-05   3.332e-05    3.331e-05  
  -12.9   3.093e-05   3.066e-05    3.065e-05  
  -13.0   2.846e-05   2.819e-05    2.818e-05  
  -13.1   2.617e-05   2.591e-05    2.590e-05  
  -13.2   2.406e-05   2.381e-05    2.380e-05  
  -13.3   2.210e-05   2.186e-05    2.185e-05  
  -13.4   2.030e-05   2.006e-05    2.006e-05  
  -13.5   1.863e-05   1.841e-05    1.840e-05  
  -13.6   1.709e-05   1.688e-05    1.687e-05  
  -13.7   1.567e-05   1.546e-05    1.545e-05  
  -13.8   1.436e-05   1.416e-05    1.415e-05  
  -13.9   1.316e-05   1.296e-05    1.295e-05  
  -14.0   1.204e-05   1.185e-05    1.184e-05  
  -14.1   1.102e-05   1.083e-05    1.082e-05  
  -14.2   1.007e-05   9.892e-06    9.883e-06  
  -14.3   9.198e-06   9.027e-06    9.018e-06  
  -14.4   8.396e-06   8.230e-06    8.221e-06  
  -14.5   7.657e-06   7.497e-06    7.489e-06  
  -14.6   6.977e-06   6.822e-06    6.815e-06  
  -14.7   6.352e-06   6.202e-06    6.195e-06  
  -14.8   5.777e-06   5.631e-06    5.626e-06  
  -14.9   5.249e-06   5.107e-06    5.103e-06  
  -15.0   4.763e-06   4.625e-06    4.622e-06  
  -15.1   4.317e-06   4.183e-06    4.181e-06  
  -15.2   3.908e-06   3.777e-06    3.776e-06  
  -15.3   3.532e-06   3.404e-06    3.405e-06  
  -15.4   3.187e-06   3.062e-06    3.065e-06  
  -15.5   2.871e-06   2.749e-06    2.753e-06  
  -15.6   2.582e-06   2.462e-06    2.468e-06  
  -15.7   2.317e-06   2.200e-06    2.207e-06  
  -15.8   2.074e-06   1.960e-06    1.969e-06  
  -15.9   1.853e-06   1.742e-06    1.751e-06  
  -16.0   1.651e-06   1.542e-06    1.553e-06  
  -16.1   1.467e-06   1.361e-06    1.373e-06  
  -16.2   1.299e-06   1.197e-06    1.210e-06  
