# z=8.0: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   6.260e-02   6.099e-02    6.099e-02  
  -14.1   5.773e-02   5.616e-02    5.617e-02  
  -14.2   5.322e-02   5.169e-02    5.169e-02  
  -14.3   4.904e-02   4.755e-02    4.755e-02  
  -14.4   4.517e-02   4.372e-02    4.372e-02  
  -14.5   4.158e-02   4.018e-02    4.018e-02  
  -14.6   3.827e-02   3.690e-02    3.690e-02  
  -14.7   3.520e-02   3.387e-02    3.387e-02  
  -14.8   3.236e-02   3.108e-02    3.108e-02  
  -14.9   2.974e-02   2.849e-02    2.849e-02  
  -15.0   2.732e-02   2.611e-02    2.611e-02  
  -15.1   2.508e-02   2.391e-02    2.391e-02  
  -15.2   2.302e-02   2.188e-02    2.188e-02  
  -15.3   2.111e-02   2.001e-02    2.001e-02  
  -15.4   1.936e-02   1.829e-02    1.829e-02  
  -15.5   1.774e-02   1.670e-02    1.671e-02  
  -15.6   1.625e-02   1.525e-02    1.525e-02  
  -15.7   1.487e-02   1.391e-02    1.391e-02  
  -15.8   1.361e-02   1.268e-02    1.268e-02  
  -15.9   1.244e-02   1.155e-02    1.155e-02  
  -16.0   1.137e-02   1.051e-02    1.051e-02  
  -16.1   1.039e-02   9.556e-03    9.557e-03  
  -16.2   9.487e-03   8.684e-03    8.685e-03  
  -16.3   8.658e-03   7.885e-03    7.887e-03  
  -16.4   7.897e-03   7.154e-03    7.156e-03  
  -16.5   7.199e-03   6.486e-03    6.488e-03  
  -16.6   6.559e-03   5.875e-03    5.878e-03  
  -16.7   5.974e-03   5.318e-03    5.320e-03  
  -16.8   5.437e-03   4.809e-03    4.812e-03  
  -16.9   4.946e-03   4.345e-03    4.349e-03  
  -17.0   4.498e-03   3.923e-03    3.927e-03  
  -17.1   4.088e-03   3.538e-03    3.543e-03  
  -17.2   3.713e-03   3.189e-03    3.193e-03  
  -17.3   3.371e-03   2.871e-03    2.876e-03  
  -17.4   3.059e-03   2.583e-03    2.589e-03  
  -17.5   2.775e-03   2.322e-03    2.328e-03  
  -17.6   2.516e-03   2.085e-03    2.092e-03  
  -17.7   2.280e-03   1.870e-03    1.878e-03  
  -17.8   2.065e-03   1.677e-03    1.685e-03  
  -17.9   1.869e-03   1.501e-03    1.510e-03  
  -18.0   1.692e-03   1.343e-03    1.352e-03  
  -18.1   1.530e-03   1.201e-03    1.210e-03  
  -18.2   1.384e-03   1.073e-03    1.083e-03  
  -18.3   1.251e-03   9.570e-04    9.674e-04  
  -18.4   1.130e-03   8.531e-04    8.638e-04  
  -18.5   1.021e-03   7.599e-04    7.706e-04  
  -18.6   9.215e-04   6.762e-04    6.868e-04  
  -18.7   8.317e-04   6.011e-04    6.116e-04  
  -18.8   7.504e-04   5.339e-04    5.440e-04  
  -18.9   6.768e-04   4.738e-04    4.832e-04  
  -19.0   6.102e-04   4.200e-04    4.287e-04  
  -19.1   5.500e-04   3.720e-04    3.797e-04  
  -19.2   4.955e-04   3.292e-04    3.356e-04  
  -19.3   4.463e-04   2.910e-04    2.960e-04  
  -19.4   4.018e-04   2.570e-04    2.605e-04  
  -19.5   3.616e-04   2.267e-04    2.286e-04  
  -19.6   3.253e-04   1.998e-04    1.999e-04  
  -19.7   2.925e-04   1.758e-04    1.743e-04  
  -19.8   2.629e-04   1.546e-04    1.513e-04  
  -19.9   2.361e-04   1.357e-04    1.307e-04  
  -20.0   2.119e-04   1.190e-04    1.124e-04  
  -20.1   1.900e-04   1.042e-04    9.614e-05  
  -20.2   1.703e-04   9.104e-05    8.173e-05  
  -20.3   1.525e-04   7.944e-05    6.904e-05  
  -20.4   1.363e-04   6.920e-05    5.792e-05  
  -20.5   1.218e-04   6.016e-05    4.823e-05  
  -20.6   1.086e-04   5.220e-05    3.984e-05  
  -20.7   9.672e-05   4.519e-05    3.263e-05  
  -20.8   8.597e-05   3.903e-05    2.649e-05  
  -20.9   7.627e-05   3.362e-05    2.130e-05  
  -21.0   6.751e-05   2.888e-05    1.696e-05  
  -21.1   5.961e-05   2.474e-05    1.336e-05  
  -21.2   5.249e-05   2.112e-05    1.041e-05  
  -21.3   4.609e-05   1.796e-05    8.025e-06  
  -21.4   4.034e-05   1.522e-05    6.113e-06  
  -21.5   3.518e-05   1.285e-05    4.600e-06  
  -21.6   3.057e-05   1.079e-05    3.419e-06  
  -21.7   2.645e-05   9.019e-06    2.510e-06  
  -21.8   2.279e-05   7.497e-06    1.818e-06  
  -21.9   1.955e-05   6.195e-06    1.300e-06  
  -22.0   1.668e-05   5.087e-06    9.179e-07  
  -22.1   1.416e-05   4.148e-06    6.395e-07  
  -22.2   1.196e-05   3.358e-06    4.398e-07  
  -22.3   1.004e-05   2.697e-06    2.986e-07  
  -22.4   8.380e-06   2.148e-06    2.002e-07  
  -22.5   6.951e-06   1.696e-06    1.326e-07  
  -22.6   5.729e-06   1.326e-06    8.688e-08  
  -22.7   4.691e-06   1.028e-06    5.629e-08  
  -22.8   3.815e-06   7.883e-07    3.611e-08  
  -22.9   3.081e-06   5.985e-07    2.294e-08  
  -23.0   2.471e-06   4.496e-07    1.446e-08  
  -23.1   1.967e-06   3.341e-07    9.039e-09  
  -23.2   1.555e-06   2.456e-07    5.611e-09  
  -23.3   1.220e-06   1.785e-07    3.460e-09  
  -23.4   9.501e-07   1.282e-07    2.120e-09  
  -23.5   7.346e-07   9.106e-08    1.291e-09  
  -23.6   5.638e-07   6.392e-08    7.817e-10  
  -23.7   4.296e-07   4.435e-08    4.702e-10  
