# z=19.5: redshift
# eps=0.9: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -15.0   1.744e-04   1.692e-04    1.691e-04  
  -15.1   1.608e-04   1.557e-04    1.557e-04  
  -15.2   1.482e-04   1.433e-04    1.432e-04  
  -15.3   1.365e-04   1.318e-04    1.317e-04  
  -15.4   1.257e-04   1.211e-04    1.210e-04  
  -15.5   1.157e-04   1.113e-04    1.112e-04  
  -15.6   1.065e-04   1.022e-04    1.021e-04  
  -15.7   9.790e-05   9.375e-05    9.368e-05  
  -15.8   8.999e-05   8.598e-05    8.591e-05  
  -15.9   8.267e-05   7.880e-05    7.872e-05  
  -16.0   7.590e-05   7.216e-05    7.209e-05  
  -16.1   6.965e-05   6.603e-05    6.596e-05  
  -16.2   6.386e-05   6.037e-05    6.030e-05  
  -16.3   5.852e-05   5.515e-05    5.508e-05  
  -16.4   5.358e-05   5.033e-05    5.026e-05  
  -16.5   4.901e-05   4.588e-05    4.581e-05  
  -16.6   4.480e-05   4.177e-05    4.171e-05  
  -16.7   4.090e-05   3.798e-05    3.792e-05  
  -16.8   3.730e-05   3.448e-05    3.443e-05  
  -16.9   3.398e-05   3.125e-05    3.122e-05  
  -17.0   3.092e-05   2.828e-05    2.825e-05  
  -17.1   2.809e-05   2.554e-05    2.552e-05  
  -17.2   2.547e-05   2.301e-05    2.300e-05  
  -17.3   2.307e-05   2.069e-05    2.069e-05  
  -17.4   2.085e-05   1.855e-05    1.856e-05  
  -17.5   1.880e-05   1.659e-05    1.661e-05  
  -17.6   1.692e-05   1.478e-05    1.481e-05  
  -17.7   1.519e-05   1.313e-05    1.317e-05  
  -17.8   1.360e-05   1.162e-05    1.167e-05  
  -17.9   1.214e-05   1.025e-05    1.029e-05  
  -18.0   1.081e-05   8.995e-06    9.047e-06  
  -18.1   9.583e-06   7.860e-06    7.914e-06  
  -18.2   8.469e-06   6.835e-06    6.890e-06  
  -18.3   7.455e-06   5.913e-06    5.967e-06  
  -18.4   6.535e-06   5.087e-06    5.139e-06  
  -18.5   5.703e-06   4.351e-06    4.400e-06  
  -18.6   4.953e-06   3.699e-06    3.744e-06  
  -18.7   4.281e-06   3.124e-06    3.164e-06  
  -18.8   3.680e-06   2.621e-06    2.656e-06  
  -18.9   3.146e-06   2.184e-06    2.213e-06  
  -19.0   2.674e-06   1.806e-06    1.830e-06  
  -19.1   2.260e-06   1.483e-06    1.502e-06  
  -19.2   1.897e-06   1.208e-06    1.222e-06  
  -19.3   1.582e-06   9.756e-07    9.857e-07  
  -19.4   1.311e-06   7.816e-07    7.880e-07  
  -19.5   1.078e-06   6.209e-07    6.242e-07  
  -19.6   8.809e-07   4.889e-07    4.898e-07  
  -19.7   7.143e-07   3.814e-07    3.805e-07  
  -19.8   5.748e-07   2.948e-07    2.926e-07  
  -19.9   4.591e-07   2.257e-07    2.227e-07  
  -20.0   3.638e-07   1.712e-07    1.677e-07  
  -20.1   2.860e-07   1.285e-07    1.249e-07  
  -20.2   2.230e-07   9.545e-08    9.199e-08  
  -20.3   1.725e-07   7.017e-08    6.697e-08  
  -20.4   1.323e-07   5.103e-08    4.818e-08  
  -20.5   1.006e-07   3.671e-08    3.425e-08  
  -20.6   7.592e-08   2.611e-08    2.405e-08  
  -20.7   5.680e-08   1.836e-08    1.667e-08  
  -20.8   4.213e-08   1.276e-08    1.141e-08  
  -20.9   3.098e-08   8.765e-09    7.711e-09  
  -21.0   2.259e-08   5.947e-09    5.141e-09  
  -21.1   1.634e-08   3.985e-09    3.382e-09  
  -21.2   1.171e-08   2.637e-09    2.194e-09  
  -21.3   8.326e-09   1.723e-09    1.404e-09  
  -21.4   5.869e-09   1.111e-09    8.860e-10  
  -21.5   4.102e-09   7.073e-10    5.511e-10  
  -21.6   2.843e-09   4.442e-10    3.379e-10  
  -21.7   1.954e-09   2.752e-10    2.041e-10  
  -21.8   1.332e-09   1.682e-10    1.215e-10  
  -21.9   9.006e-10   1.014e-10    7.128e-11  
  -22.0   6.038e-10   6.026e-11    4.118e-11  
  -22.1   4.015e-10   3.531e-11    2.343e-11  
  -22.2   2.649e-10   2.040e-11    1.313e-11  
  -22.3   1.733e-10   1.162e-11    7.246e-12  
  -22.4   1.125e-10   6.519e-12    3.937e-12  
  -22.5   7.242e-11   3.606e-12    2.106e-12  
  -22.6   4.626e-11   1.965e-12    1.109e-12  
  -22.7   2.932e-11   1.055e-12    5.746e-13  
  -22.8   1.843e-11   5.579e-13    2.931e-13  
  -22.9   1.150e-11   2.907e-13    1.471e-13  
  -23.0   7.115e-12   1.492e-13    7.269e-14  
  -23.1   4.368e-12   7.538e-14    3.534e-14  
  -23.2   2.661e-12   3.751e-14    1.690e-14  
  -23.3   1.608e-12   1.838e-14    7.954e-15  
  -23.4   9.641e-13   8.869e-15    3.683e-15  
  -23.5   5.734e-13   4.213e-15    1.677e-15  
  -23.6   3.383e-13   1.970e-15    7.516e-16  
  -23.7   1.980e-13   9.069e-16    3.313e-16  
  -23.8   1.149e-13   4.109e-16    1.436e-16  
  -23.9   6.612e-14   1.832e-16    6.124e-17  
  -24.0   3.773e-14   8.042e-17    2.568e-17  
  -24.1   2.135e-14   3.473e-17    1.059e-17  
  -24.2   1.197e-14   1.476e-17    4.297e-18  
  -24.3   6.652e-15   6.173e-18    1.714e-18  
  -24.4   3.663e-15   2.540e-18    6.724e-19  
  -24.5   1.998e-15   1.028e-18    2.594e-19  
  -24.6   1.079e-15   4.096e-19    9.838e-20  
  -24.7   5.773e-16   1.605e-19    3.669e-20  
  -24.8   3.056e-16   6.187e-20    1.346e-20  
  -24.9   1.601e-16   2.346e-20    4.852e-21  
  -25.0   8.301e-17   8.750e-21    1.720e-21  
  -25.1   4.256e-17   3.210e-21    5.995e-22  
  -25.2   2.157e-17   1.158e-21    2.054e-22  
  -25.3   1.081e-17   4.111e-22    6.920e-23  
  -25.4   5.354e-18   1.435e-22    2.292e-23  
  -25.5   2.619e-18   4.925e-23    7.462e-24  
  -25.6   1.266e-18   1.662e-23    2.388e-24  
  -25.7   6.038e-19   5.518e-24    7.515e-25  
  -25.8   2.844e-19   1.801e-24    2.324e-25  
  -25.9   1.322e-19   5.782e-25    7.067e-26  
  -26.0   6.063e-20   1.825e-25    2.112e-26  
  -26.1   2.743e-20   5.663e-26    6.205e-27  
  -26.2   1.224e-20   1.728e-26    1.792e-27  
  -26.3   5.383e-21   5.185e-27    5.086e-28  
  -26.4   2.334e-21   1.529e-27    1.419e-28  
  -26.5   9.977e-22   4.435e-28    3.891e-29  
  -26.6   4.202e-22   1.265e-28    1.049e-29  
  -26.7   1.744e-22   3.545e-29    2.779e-30  
  -26.8   7.129e-23   9.769e-30    7.235e-31  
  -26.9   2.871e-23   2.647e-30    1.852e-31  
  -27.0   1.138e-23   7.049e-31    4.658e-32  
  -27.1   4.445e-24   1.846e-31    1.151e-32  
  -27.2   1.709e-24   4.750e-32    2.798e-33  
  -27.3   6.467e-25   1.202e-32    6.681e-34  
  -27.4   2.409e-25   2.989e-33    1.568e-34  
  -27.5   8.834e-26   7.307e-34    3.617e-35  
  -27.6   3.188e-26   1.756e-34    8.198e-36  
  -27.7   1.132e-26   4.148e-35    1.826e-36  
  -27.8   3.955e-27   9.630e-36    3.999e-37  
  -27.9   1.360e-27   2.198e-36    8.604e-38  
  -28.0   4.599e-28   4.930e-37    1.819e-38  
