# z=9.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   3.380e-02   3.289e-02    3.289e-02  
  -14.1   3.093e-02   3.005e-02    3.005e-02  
  -14.2   2.829e-02   2.744e-02    2.744e-02  
  -14.3   2.587e-02   2.504e-02    2.504e-02  
  -14.4   2.364e-02   2.284e-02    2.284e-02  
  -14.5   2.159e-02   2.082e-02    2.082e-02  
  -14.6   1.971e-02   1.897e-02    1.897e-02  
  -14.7   1.798e-02   1.727e-02    1.727e-02  
  -14.8   1.640e-02   1.571e-02    1.571e-02  
  -14.9   1.495e-02   1.429e-02    1.429e-02  
  -15.0   1.362e-02   1.299e-02    1.299e-02  
  -15.1   1.240e-02   1.179e-02    1.179e-02  
  -15.2   1.129e-02   1.070e-02    1.071e-02  
  -15.3   1.027e-02   9.710e-03    9.711e-03  
  -15.4   9.342e-03   8.802e-03    8.804e-03  
  -15.5   8.492e-03   7.974e-03    7.976e-03  
  -15.6   7.715e-03   7.220e-03    7.222e-03  
  -15.7   7.007e-03   6.533e-03    6.535e-03  
  -15.8   6.361e-03   5.907e-03    5.910e-03  
  -15.9   5.772e-03   5.339e-03    5.341e-03  
  -16.0   5.236e-03   4.822e-03    4.824e-03  
  -16.1   4.747e-03   4.352e-03    4.355e-03  
  -16.2   4.303e-03   3.926e-03    3.929e-03  
  -16.3   3.898e-03   3.539e-03    3.542e-03  
  -16.4   3.531e-03   3.189e-03    3.192e-03  
  -16.5   3.197e-03   2.872e-03    2.875e-03  
  -16.6   2.893e-03   2.585e-03    2.588e-03  
  -16.7   2.618e-03   2.325e-03    2.329e-03  
  -16.8   2.368e-03   2.090e-03    2.094e-03  
  -16.9   2.142e-03   1.878e-03    1.882e-03  
  -17.0   1.937e-03   1.686e-03    1.691e-03  
  -17.1   1.751e-03   1.513e-03    1.519e-03  
  -17.2   1.582e-03   1.358e-03    1.363e-03  
  -17.3   1.430e-03   1.217e-03    1.223e-03  
  -17.4   1.291e-03   1.091e-03    1.097e-03  
  -17.5   1.166e-03   9.772e-04    9.838e-04  
  -17.6   1.053e-03   8.749e-04    8.818e-04  
  -17.7   9.513e-04   7.829e-04    7.900e-04  
  -17.8   8.589e-04   7.002e-04    7.075e-04  
  -17.9   7.753e-04   6.259e-04    6.333e-04  
  -18.0   6.998e-04   5.592e-04    5.665e-04  
  -18.1   6.316e-04   4.993e-04    5.066e-04  
  -18.2   5.699e-04   4.456e-04    4.526e-04  
  -18.3   5.142e-04   3.975e-04    4.040e-04  
  -18.4   4.638e-04   3.543e-04    3.603e-04  
  -18.5   4.183e-04   3.156e-04    3.209e-04  
  -18.6   3.771e-04   2.808e-04    2.853e-04  
  -18.7   3.399e-04   2.498e-04    2.533e-04  
  -18.8   3.063e-04   2.219e-04    2.243e-04  
  -18.9   2.758e-04   1.969e-04    1.982e-04  
  -19.0   2.483e-04   1.746e-04    1.746e-04  
  -19.1   2.234e-04   1.546e-04    1.532e-04  
  -19.2   2.008e-04   1.367e-04    1.340e-04  
  -19.3   1.804e-04   1.206e-04    1.167e-04  
  -19.4   1.619e-04   1.063e-04    1.011e-04  
  -19.5   1.452e-04   9.350e-05    8.715e-05  
  -19.6   1.300e-04   8.206e-05    7.469e-05  
  -19.7   1.162e-04   7.185e-05    6.360e-05  
  -19.8   1.038e-04   6.276e-05    5.379e-05  
