# z=21.0: redshift
# eps=0.5: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -12.0   4.761e-04   4.732e-04    4.732e-04  
  -12.1   4.410e-04   4.382e-04    4.381e-04  
  -12.2   4.084e-04   4.057e-04    4.056e-04  
  -12.3   3.782e-04   3.755e-04    3.755e-04  
  -12.4   3.502e-04   3.476e-04    3.475e-04  
  -12.5   3.242e-04   3.216e-04    3.216e-04  
  -12.6   3.001e-04   2.976e-04    2.976e-04  
  -12.7   2.777e-04   2.753e-04    2.752e-04  
  -12.8   2.569e-04   2.546e-04    2.545e-04  
  -12.9   2.377e-04   2.354e-04    2.353e-04  
  -13.0   2.198e-04   2.175e-04    2.175e-04  
  -13.1   2.032e-04   2.010e-04    2.010e-04  
  -13.2   1.878e-04   1.857e-04    1.857e-04  
  -13.3   1.736e-04   1.715e-04    1.715e-04  
  -13.4   1.603e-04   1.583e-04    1.583e-04  
  -13.5   1.481e-04   1.461e-04    1.461e-04  
  -13.6   1.367e-04   1.348e-04    1.347e-04  
  -13.7   1.261e-04   1.243e-04    1.243e-04  
  -13.8   1.164e-04   1.146e-04    1.145e-04  
  -13.9   1.073e-04   1.056e-04    1.055e-04  
  -14.0   9.892e-05   9.722e-05    9.719e-05  
  -14.1   9.115e-05   8.950e-05    8.946e-05  
  -14.2   8.395e-05   8.235e-05    8.232e-05  
  -14.3   7.729e-05   7.573e-05    7.570e-05  
  -14.4   7.112e-05   6.961e-05    6.958e-05  
  -14.5   6.540e-05   6.395e-05    6.392e-05  
  -14.6   6.012e-05   5.871e-05    5.868e-05  
  -14.7   5.523e-05   5.387e-05    5.384e-05  
  -14.8   5.071e-05   4.940e-05    4.936e-05  
  -14.9   4.653e-05   4.526e-05    4.522e-05  
  -15.0   4.266e-05   4.144e-05    4.140e-05  
  -15.1   3.909e-05   3.791e-05    3.787e-05  
  -15.2   3.579e-05   3.465e-05    3.461e-05  
  -15.3   3.274e-05   3.164e-05    3.160e-05  
  -15.4   2.992e-05   2.886e-05    2.882e-05  
  -15.5   2.732e-05   2.630e-05    2.626e-05  
  -15.6   2.492e-05   2.393e-05    2.389e-05  
  -15.7   2.271e-05   2.175e-05    2.171e-05  
  -15.8   2.066e-05   1.973e-05    1.970e-05  
  -15.9   1.878e-05   1.788e-05    1.785e-05  
  -16.0   1.704e-05   1.617e-05    1.614e-05  
  -16.1   1.544e-05   1.459e-05    1.457e-05  
  -16.2   1.396e-05   1.314e-05    1.312e-05  
  -16.3   1.260e-05   1.180e-05    1.179e-05  
  -16.4   1.135e-05   1.058e-05    1.057e-05  
  -16.5   1.020e-05   9.448e-06    9.443e-06  
  -16.6   9.147e-06   8.413e-06    8.414e-06  
  -16.7   8.179e-06   7.467e-06    7.471e-06  
  -16.8   7.293e-06   6.601e-06    6.610e-06  
  -16.9   6.482e-06   5.813e-06    5.825e-06  
  -17.0   5.742e-06   5.096e-06    5.112e-06  
  -17.1   5.068e-06   4.446e-06    4.465e-06  
  -17.2   4.456e-06   3.859e-06    3.880e-06  
  -17.3   3.901e-06   3.332e-06    3.355e-06  
  -17.4   3.401e-06   2.860e-06    2.884e-06  
  -17.5   2.951e-06   2.440e-06    2.464e-06  
  -17.6   2.548e-06   2.068e-06    2.092e-06  
  -17.7   2.188e-06   1.741e-06    1.764e-06  
  -17.8   1.869e-06   1.456e-06    1.478e-06  
  -17.9   1.587e-06   1.208e-06    1.228e-06  
  -18.0   1.340e-06   9.942e-07    1.013e-06  
  -18.1   1.124e-06   8.119e-07    8.288e-07  
  -18.2   9.368e-07   6.574e-07    6.724e-07  
  -18.3   7.756e-07   5.278e-07    5.407e-07  
  -18.4   6.377e-07   4.199e-07    4.310e-07  
  -18.5   5.205e-07   3.311e-07    3.403e-07  
  -18.6   4.218e-07   2.585e-07    2.661e-07  
  -18.7   3.393e-07   2.000e-07    2.060e-07  
  -18.8   2.708e-07   1.531e-07    1.579e-07  
  -18.9   2.145e-07   1.161e-07    1.198e-07  
  -19.0   1.685e-07   8.707e-08    8.988e-08  
  -19.1   1.314e-07   6.463e-08    6.671e-08  
  -19.2   1.015e-07   4.746e-08    4.896e-08  
  -19.3   7.786e-08   3.447e-08    3.553e-08  
