# z=9.0: redshift
# eps=0.2: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -24.8   2.727e-08   7.749e-10    7.790e-12  
  -24.9   1.918e-08   4.722e-10    4.335e-12  
  -25.0   1.337e-08   2.843e-10    2.386e-12  
  -25.1   9.234e-09   1.691e-10    1.298e-12  
  -25.2   6.324e-09   9.932e-11    6.988e-13  
  -25.3   4.293e-09   5.765e-11    3.718e-13  
  -25.4   2.888e-09   3.306e-11    1.956e-13  
  -25.5   1.926e-09   1.873e-11    1.018e-13  
  -25.6   1.273e-09   1.048e-11    5.237e-14  
  -25.7   8.341e-10   5.798e-12    2.664e-14  
  -25.8   5.416e-10   3.168e-12    1.340e-14  
  -25.9   3.486e-10   1.711e-12    6.663e-15  
  -26.0   2.223e-10   9.126e-13    3.277e-15  
  -26.1   1.405e-10   4.810e-13    1.593e-15  
  -26.2   8.803e-11   2.506e-13    7.660e-16  
  -26.3   5.464e-11   1.290e-13    3.642e-16  
  -26.4   3.361e-11   6.559e-14    1.712e-16  
  -26.5   2.048e-11   3.297e-14    7.957e-17  
  -26.6   1.237e-11   1.637e-14    3.657e-17  
  -26.7   7.397e-12   8.037e-15    1.662e-17  
  -26.8   4.383e-12   3.898e-15    7.468e-18  
  -26.9   2.572e-12   1.869e-15    3.318e-18  
  -27.0   1.495e-12   8.853e-16    1.458e-18  
  -27.1   8.610e-13   4.145e-16    6.334e-19  
  -27.2   4.909e-13   1.918e-16    2.721e-19  
  -27.3   2.772e-13   8.771e-17    1.156e-19  
  -27.4   1.550e-13   3.964e-17    4.854e-20  
  -27.5   8.579e-14   1.771e-17    2.016e-20  
  -27.6   4.702e-14   7.819e-18    8.278e-21  
  -27.7   2.551e-14   3.412e-18    3.361e-21  
  -27.8   1.370e-14   1.472e-18    1.350e-21  
  -27.9   7.287e-15   6.274e-19    5.358e-22  
  -28.0   3.835e-15   2.644e-19    2.103e-22  
