# z=11.0: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   2.025e-02   1.976e-02    1.976e-02  
  -14.1   1.866e-02   1.819e-02    1.819e-02  
  -14.2   1.719e-02   1.674e-02    1.674e-02  
  -14.3   1.584e-02   1.541e-02    1.541e-02  
  -14.4   1.460e-02   1.418e-02    1.418e-02  
  -14.5   1.346e-02   1.305e-02    1.305e-02  
  -14.6   1.241e-02   1.201e-02    1.201e-02  
  -14.7   1.144e-02   1.106e-02    1.106e-02  
  -14.8   1.055e-02   1.018e-02    1.018e-02  
  -14.9   9.732e-03   9.373e-03    9.373e-03  
  -15.0   8.978e-03   8.630e-03    8.630e-03  
  -15.1   8.283e-03   7.946e-03    7.946e-03  
  -15.2   7.643e-03   7.317e-03    7.318e-03  
  -15.3   7.053e-03   6.738e-03    6.739e-03  
  -15.4   6.510e-03   6.206e-03    6.206e-03  
  -15.5   6.010e-03   5.716e-03    5.716e-03  
  -15.6   5.550e-03   5.265e-03    5.265e-03  
  -15.7   5.125e-03   4.849e-03    4.850e-03  
  -15.8   4.734e-03   4.467e-03    4.468e-03  
  -15.9   4.373e-03   4.115e-03    4.116e-03  
  -16.0   4.041e-03   3.791e-03    3.792e-03  
  -16.1   3.734e-03   3.492e-03    3.493e-03  
  -16.2   3.451e-03   3.217e-03    3.218e-03  
  -16.3   3.190e-03   2.964e-03    2.965e-03  
  -16.4   2.950e-03   2.731e-03    2.732e-03  
  -16.5   2.727e-03   2.516e-03    2.516e-03  
  -16.6   2.522e-03   2.317e-03    2.318e-03  
  -16.7   2.333e-03   2.135e-03    2.136e-03  
  -16.8   2.158e-03   1.966e-03    1.967e-03  
  -16.9   1.997e-03   1.811e-03    1.812e-03  
  -17.0   1.847e-03   1.668e-03    1.669e-03  
  -17.1   1.709e-03   1.535e-03    1.537e-03  
  -17.2   1.582e-03   1.414e-03    1.415e-03  
  -17.3   1.464e-03   1.301e-03    1.303e-03  
  -17.4   1.355e-03   1.198e-03    1.199e-03  
  -17.5   1.254e-03   1.102e-03    1.103e-03  
  -17.6   1.161e-03   1.014e-03    1.015e-03  
  -17.7   1.075e-03   9.324e-04    9.341e-04  
  -17.8   9.949e-04   8.573e-04    8.591e-04  
  -17.9   9.210e-04   7.880e-04    7.899e-04  
  -18.0   8.526e-04   7.241e-04    7.261e-04  
  -18.1   7.892e-04   6.651e-04    6.673e-04  
  -18.2   7.305e-04   6.107e-04    6.130e-04  
  -18.3   6.762e-04   5.606e-04    5.630e-04  
  -18.4   6.259e-04   5.143e-04    5.169e-04  
  -18.5   5.792e-04   4.716e-04    4.743e-04  
  -18.6   5.360e-04   4.323e-04    4.351e-04  
  -18.7   4.960e-04   3.960e-04    3.990e-04  
  -18.8   4.588e-04   3.626e-04    3.657e-04  
  -18.9   4.244e-04   3.318e-04    3.351e-04  
  -19.0   3.925e-04   3.034e-04    3.068e-04  
  -19.1   3.629e-04   2.773e-04    2.807e-04  
  -19.2   3.354e-04   2.532e-04    2.567e-04  
  -19.3   3.100e-04   2.311e-04    2.346e-04  
  -19.4   2.863e-04   2.107e-04    2.142e-04  
  -19.5   2.644e-04   1.919e-04    1.953e-04  
  -19.6   2.441e-04   1.747e-04    1.779e-04  
  -19.7   2.252e-04   1.588e-04    1.618e-04  
  -19.8   2.076e-04   1.442e-04    1.470e-04  
  -19.9   1.913e-04   1.308e-04    1.332e-04  
  -20.0   1.762e-04   1.185e-04    1.204e-04  
  -20.1   1.622e-04   1.072e-04    1.086e-04  
  -20.2   1.491e-04   9.689e-05    9.766e-05  
  -20.3   1.370e-04   8.740e-05    8.751e-05  
  -20.4   1.257e-04   7.870e-05    7.811e-05  
  -20.5   1.152e-04   7.073e-05    6.941e-05  
  -20.6   1.055e-04   6.345e-05    6.139e-05  
  -20.7   9.644e-05   5.679e-05    5.400e-05  
  -20.8   8.803e-05   5.070e-05    4.722e-05  
  -20.9   8.021e-05   4.515e-05    4.104e-05  
  -21.0   7.295e-05   4.009e-05    3.542e-05  
  -21.1   6.621e-05   3.549e-05    3.035e-05  
  -21.2   5.996e-05   3.130e-05    2.581e-05  
  -21.3   5.416e-05   2.751e-05    2.177e-05  
  -21.4   4.879e-05   2.408e-05    1.821e-05  
  -21.5   4.383e-05   2.098e-05    1.510e-05  
  -21.6   3.925e-05   1.819e-05    1.241e-05  
  -21.7   3.503e-05   1.569e-05    1.010e-05  
  -21.8   3.115e-05   1.345e-05    8.147e-06  
  -21.9   2.759e-05   1.146e-05    6.507e-06  
  -22.0   2.433e-05   9.703e-06    5.146e-06  
  -22.1   2.136e-05   8.156e-06    4.030e-06  
  -22.2   1.867e-05   6.803e-06    3.124e-06  
  -22.3   1.623e-05   5.628e-06    2.398e-06  
  -22.4   1.404e-05   4.617e-06    1.822e-06  
  -22.5   1.208e-05   3.754e-06    1.371e-06  
  -22.6   1.033e-05   3.023e-06    1.021e-06  
  -22.7   8.774e-06   2.410e-06    7.523e-07  
  -22.8   7.408e-06   1.902e-06    5.489e-07  
  -22.9   6.212e-06   1.485e-06    3.964e-07  
  -23.0   5.173e-06   1.147e-06    2.834e-07  
  -23.1   4.277e-06   8.759e-07    2.005e-07  
  -23.2   3.509e-06   6.611e-07    1.403e-07  
  -23.3   2.857e-06   4.931e-07    9.719e-08  
  -23.4   2.307e-06   3.634e-07    6.659e-08  
  -23.5   1.848e-06   2.645e-07    4.513e-08  
  -23.6   1.467e-06   1.901e-07    3.025e-08  
  -23.7   1.155e-06   1.350e-07    2.005e-08  
  -23.8   9.013e-07   9.459e-08    1.314e-08  
  -23.9   6.969e-07   6.545e-08    8.510e-09  
  -24.0   5.338e-07   4.470e-08    5.449e-09  
  -24.1   4.050e-07   3.013e-08    3.448e-09  
  -24.2   3.044e-07   2.005e-08    2.156e-09  
  -24.3   2.265e-07   1.317e-08    1.333e-09  
  -24.4   1.669e-07   8.534e-09    8.137e-10  
  -24.5   1.218e-07   5.458e-09    4.909e-10  
  -24.6   8.798e-08   3.445e-09    2.927e-10  
  -24.7   6.291e-08   2.146e-09    1.724e-10  
  -24.8   4.452e-08   1.319e-09    1.003e-10  
  -24.9   3.119e-08   8.005e-10    5.767e-11  
  -25.0   2.163e-08   4.793e-10    3.276e-11  
  -25.1   1.485e-08   2.832e-10    1.838e-11  
  -25.2   1.009e-08   1.652e-10    1.019e-11  
  -25.3   6.783e-09   9.505e-11    5.585e-12  
  -25.4   4.515e-09   5.399e-11    3.023e-12  
  -25.5   2.976e-09   3.027e-11    1.617e-12  
  -25.6   1.942e-09   1.675e-11    8.542e-13  
  -25.7   1.255e-09   9.149e-12    4.459e-13  
  -25.8   8.028e-10   4.933e-12    2.300e-13  
  -25.9   5.088e-10   2.625e-12    1.172e-13  
  -26.0   3.194e-10   1.379e-12    5.904e-14  
  -26.1   1.987e-10   7.153e-13    2.938e-14  
  -26.2   1.225e-10   3.662e-13    1.444e-14  
  -26.3   7.483e-11   1.851e-13    7.018e-15  
  -26.4   4.532e-11   9.240e-14    3.369e-15  
  -26.5   2.721e-11   4.553e-14    1.598e-15  
  -26.6   1.620e-11   2.215e-14    7.490e-16  
  -26.7   9.569e-12   1.064e-14    3.469e-16  
  -26.8   5.605e-12   5.050e-15    1.588e-16  
  -26.9   3.257e-12   2.366e-15    7.181e-17  
  -27.0   1.878e-12   1.095e-15    3.209e-17  
  -27.1   1.074e-12   5.002e-16    1.417e-17  
  -27.2   6.098e-13   2.257e-16    6.185e-18  
  -27.3   3.435e-13   1.006e-16    2.667e-18  
  -27.4   1.920e-13   4.429e-17    1.137e-18  
  -27.5   1.065e-13   1.926e-17    4.788e-19  
  -27.6   5.857e-14   8.273e-18    1.993e-19  
  -27.7   3.198e-14   3.510e-18    8.198e-20  
  -27.8   1.732e-14   1.471e-18    3.332e-20  
  -27.9   9.301e-15   6.092e-19    1.339e-20  
  -28.0   4.955e-15   2.492e-19    5.315e-21  
