# z=7.0: redshift
# eps=0.6: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -12.0   3.602e-01   3.572e-01    3.572e-01  
  -12.1   3.358e-01   3.328e-01    3.328e-01  
  -12.2   3.130e-01   3.101e-01    3.101e-01  
  -12.3   2.916e-01   2.888e-01    2.888e-01  
  -12.4   2.717e-01   2.689e-01    2.689e-01  
  -12.5   2.531e-01   2.504e-01    2.504e-01  
  -12.6   2.357e-01   2.330e-01    2.330e-01  
  -12.7   2.195e-01   2.169e-01    2.169e-01  
  -12.8   2.044e-01   2.017e-01    2.017e-01  
  -12.9   1.902e-01   1.876e-01    1.876e-01  
  -13.0   1.770e-01   1.745e-01    1.745e-01  
  -13.1   1.647e-01   1.622e-01    1.622e-01  
  -13.2   1.532e-01   1.508e-01    1.508e-01  
  -13.3   1.425e-01   1.401e-01    1.401e-01  
  -13.4   1.325e-01   1.301e-01    1.301e-01  
  -13.5   1.231e-01   1.208e-01    1.208e-01  
  -13.6   1.144e-01   1.122e-01    1.122e-01  
  -13.7   1.063e-01   1.041e-01    1.041e-01  
  -13.8   9.876e-02   9.660e-02    9.660e-02  
  -13.9   9.171e-02   8.960e-02    8.960e-02  
  -14.0   8.515e-02   8.309e-02    8.309e-02  
  -14.1   7.904e-02   7.702e-02    7.702e-02  
  -14.2   7.335e-02   7.137e-02    7.137e-02  
  -14.3   6.805e-02   6.611e-02    6.611e-02  
  -14.4   6.312e-02   6.122e-02    6.122e-02  
  -14.5   5.853e-02   5.667e-02    5.667e-02  
  -14.6   5.426e-02   5.245e-02    5.245e-02  
  -14.7   5.029e-02   4.852e-02    4.852e-02  
  -14.8   4.659e-02   4.486e-02    4.486e-02  
  -14.9   4.316e-02   4.147e-02    4.147e-02  
  -15.0   3.997e-02   3.832e-02    3.832e-02  
  -15.1   3.700e-02   3.539e-02    3.539e-02  
  -15.2   3.425e-02   3.268e-02    3.268e-02  
  -15.3   3.169e-02   3.016e-02    3.016e-02  
  -15.4   2.932e-02   2.783e-02    2.783e-02  
  -15.5   2.711e-02   2.566e-02    2.566e-02  
  -15.6   2.507e-02   2.365e-02    2.365e-02  
  -15.7   2.317e-02   2.180e-02    2.180e-02  
  -15.8   2.141e-02   2.007e-02    2.007e-02  
  -15.9   1.978e-02   1.848e-02    1.848e-02  
  -16.0   1.827e-02   1.701e-02    1.701e-02  
  -16.1   1.687e-02   1.564e-02    1.564e-02  
  -16.2   1.557e-02   1.438e-02    1.438e-02  
  -16.3   1.437e-02   1.322e-02    1.322e-02  
  -16.4   1.326e-02   1.214e-02    1.214e-02  
  -16.5   1.224e-02   1.115e-02    1.115e-02  
  -16.6   1.128e-02   1.023e-02    1.023e-02  
  -16.7   1.041e-02   9.385e-03    9.386e-03  
  -16.8   9.593e-03   8.606e-03    8.606e-03  
  -16.9   8.842e-03   7.887e-03    7.888e-03  
  -17.0   8.148e-03   7.225e-03    7.226e-03  
  -17.1   7.507e-03   6.616e-03    6.616e-03  
  -17.2   6.915e-03   6.055e-03    6.056e-03  
  -17.3   6.369e-03   5.539e-03    5.540e-03  
  -17.4   5.866e-03   5.065e-03    5.066e-03  
  -17.5   5.401e-03   4.629e-03    4.630e-03  
  -17.6   4.972e-03   4.229e-03    4.230e-03  
  -17.7   4.577e-03   3.862e-03    3.863e-03  
  -17.8   4.213e-03   3.525e-03    3.526e-03  
  -17.9   3.877e-03   3.216e-03    3.217e-03  
  -18.0   3.568e-03   2.933e-03    2.934e-03  
  -18.1   3.283e-03   2.674e-03    2.675e-03  
  -18.2   3.021e-03   2.436e-03    2.438e-03  
  -18.3   2.779e-03   2.219e-03    2.221e-03  
  -18.4   2.557e-03   2.020e-03    2.022e-03  
  -18.5   2.353e-03   1.838e-03    1.841e-03  
  -18.6   2.164e-03   1.672e-03    1.675e-03  
  -18.7   1.991e-03   1.521e-03    1.523e-03  
  -18.8   1.832e-03   1.382e-03    1.385e-03  
  -18.9   1.686e-03   1.256e-03    1.259e-03  
  -19.0   1.551e-03   1.141e-03    1.144e-03  
  -19.1   1.427e-03   1.036e-03    1.040e-03  
  -19.2   1.313e-03   9.397e-04    9.444e-04  
  -19.3   1.208e-03   8.525e-04    8.577e-04  
  -19.4   1.112e-03   7.731e-04    7.788e-04  
  -19.5   1.024e-03   7.007e-04    7.070e-04  
  -19.6   9.422e-04   6.350e-04    6.417e-04  
  -19.7   8.673e-04   5.751e-04    5.824e-04  
  -19.8   7.985e-04   5.207e-04    5.286e-04  
  -19.9   7.352e-04   4.712e-04    4.796e-04  
  -20.0   6.770e-04   4.263e-04    4.352e-04  
  -20.1   6.234e-04   3.855e-04    3.948e-04  
  -20.2   5.742e-04   3.484e-04    3.581e-04  
  -20.3   5.289e-04   3.148e-04    3.247e-04  
  -20.4   4.872e-04   2.843e-04    2.943e-04  
  -20.5   4.489e-04   2.566e-04    2.667e-04  
  -20.6   4.136e-04   2.315e-04    2.414e-04  
  -20.7   3.811e-04   2.088e-04    2.184e-04  
  -20.8   3.511e-04   1.882e-04    1.973e-04  
  -20.9   3.236e-04   1.696e-04    1.781e-04  
  -21.0   2.982e-04   1.527e-04    1.604e-04  
  -21.1   2.748e-04   1.375e-04    1.441e-04  
  -21.2   2.533e-04   1.237e-04    1.292e-04  
