# z=9.5: redshift
# eps=1.0: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   3.892e-02   3.798e-02    3.798e-02  
  -14.1   3.595e-02   3.504e-02    3.504e-02  
  -14.2   3.320e-02   3.232e-02    3.232e-02  
  -14.3   3.067e-02   2.981e-02    2.981e-02  
  -14.4   2.833e-02   2.749e-02    2.749e-02  
  -14.5   2.616e-02   2.535e-02    2.535e-02  
  -14.6   2.417e-02   2.338e-02    2.338e-02  
  -14.7   2.232e-02   2.156e-02    2.156e-02  
  -14.8   2.062e-02   1.988e-02    1.988e-02  
  -14.9   1.905e-02   1.833e-02    1.833e-02  
  -15.0   1.760e-02   1.691e-02    1.691e-02  
  -15.1   1.627e-02   1.559e-02    1.559e-02  
  -15.2   1.503e-02   1.438e-02    1.438e-02  
  -15.3   1.389e-02   1.326e-02    1.326e-02  
  -15.4   1.284e-02   1.222e-02    1.222e-02  
  -15.5   1.187e-02   1.127e-02    1.127e-02  
  -15.6   1.097e-02   1.039e-02    1.039e-02  
  -15.7   1.014e-02   9.584e-03    9.585e-03  
  -15.8   9.381e-03   8.838e-03    8.839e-03  
  -15.9   8.676e-03   8.150e-03    8.151e-03  
  -16.0   8.025e-03   7.516e-03    7.517e-03  
  -16.1   7.424e-03   6.931e-03    6.932e-03  
  -16.2   6.869e-03   6.392e-03    6.392e-03  
  -16.3   6.357e-03   5.895e-03    5.895e-03  
  -16.4   5.884e-03   5.436e-03    5.436e-03  
  -16.5   5.447e-03   5.013e-03    5.013e-03  
  -16.6   5.043e-03   4.623e-03    4.623e-03  
  -16.7   4.669e-03   4.263e-03    4.263e-03  
  -16.8   4.325e-03   3.931e-03    3.931e-03  
  -16.9   4.006e-03   3.624e-03    3.625e-03  
  -17.0   3.711e-03   3.342e-03    3.343e-03  
  -17.1   3.438e-03   3.081e-03    3.082e-03  
  -17.2   3.186e-03   2.840e-03    2.841e-03  
  -17.3   2.953e-03   2.618e-03    2.619e-03  
  -17.4   2.737e-03   2.413e-03    2.414e-03  
  -17.5   2.538e-03   2.224e-03    2.225e-03  
  -17.6   2.353e-03   2.049e-03    2.051e-03  
  -17.7   2.182e-03   1.888e-03    1.890e-03  
  -17.8   2.024e-03   1.739e-03    1.741e-03  
  -17.9   1.877e-03   1.602e-03    1.603e-03  
  -18.0   1.741e-03   1.475e-03    1.477e-03  
  -18.1   1.615e-03   1.358e-03    1.360e-03  
  -18.2   1.499e-03   1.250e-03    1.252e-03  
  -18.3   1.390e-03   1.150e-03    1.152e-03  
  -18.4   1.290e-03   1.058e-03    1.060e-03  
  -18.5   1.197e-03   9.726e-04    9.750e-04  
  -18.6   1.111e-03   8.941e-04    8.966e-04  
  -18.7   1.031e-03   8.216e-04    8.243e-04  
  -18.8   9.569e-04   7.546e-04    7.576e-04  
  -18.9   8.881e-04   6.929e-04    6.960e-04  
  -19.0   8.242e-04   6.359e-04    6.393e-04  
  -19.1   7.649e-04   5.833e-04    5.870e-04  
