# z=12.5: redshift
# eps=0.5: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   1.043e-02   1.018e-02    1.018e-02  
  -14.1   9.582e-03   9.343e-03    9.344e-03  
  -14.2   8.806e-03   8.576e-03    8.576e-03  
  -14.3   8.094e-03   7.872e-03    7.872e-03  
  -14.4   7.441e-03   7.226e-03    7.227e-03  
  -14.5   6.841e-03   6.634e-03    6.635e-03  
  -14.6   6.290e-03   6.091e-03    6.091e-03  
  -14.7   5.785e-03   5.592e-03    5.593e-03  
  -14.8   5.321e-03   5.135e-03    5.136e-03  
  -14.9   4.895e-03   4.715e-03    4.716e-03  
  -15.0   4.503e-03   4.330e-03    4.331e-03  
  -15.1   4.144e-03   3.977e-03    3.978e-03  
  -15.2   3.814e-03   3.653e-03    3.653e-03  
  -15.3   3.510e-03   3.355e-03    3.356e-03  
  -15.4   3.232e-03   3.082e-03    3.082e-03  
  -15.5   2.975e-03   2.831e-03    2.831e-03  
  -15.6   2.740e-03   2.600e-03    2.601e-03  
  -15.7   2.523e-03   2.389e-03    2.389e-03  
  -15.8   2.324e-03   2.194e-03    2.195e-03  
  -15.9   2.141e-03   2.016e-03    2.016e-03  
  -16.0   1.973e-03   1.852e-03    1.852e-03  
  -16.1   1.818e-03   1.701e-03    1.702e-03  
  -16.2   1.675e-03   1.563e-03    1.563e-03  
  -16.3   1.544e-03   1.435e-03    1.436e-03  
  -16.4   1.423e-03   1.318e-03    1.319e-03  
  -16.5   1.312e-03   1.211e-03    1.211e-03  
  -16.6   1.209e-03   1.112e-03    1.112e-03  
  -16.7   1.115e-03   1.021e-03    1.022e-03  
  -16.8   1.028e-03   9.369e-04    9.379e-04  
  -16.9   9.479e-04   8.599e-04    8.609e-04  
  -17.0   8.739e-04   7.891e-04    7.902e-04  
  -17.1   8.058e-04   7.240e-04    7.251e-04  
  -17.2   7.430e-04   6.641e-04    6.652e-04  
  -17.3   6.850e-04   6.090e-04    6.102e-04  
  -17.4   6.315e-04   5.583e-04    5.595e-04  
  -17.5   5.822e-04   5.116e-04    5.129e-04  
  -17.6   5.367e-04   4.687e-04    4.700e-04  
  -17.7   4.947e-04   4.292e-04    4.306e-04  
  -17.8   4.559e-04   3.929e-04    3.943e-04  
  -17.9   4.201e-04   3.595e-04    3.609e-04  
  -18.0   3.870e-04   3.287e-04    3.302e-04  
  -18.1   3.565e-04   3.004e-04    3.020e-04  
  -18.2   3.282e-04   2.744e-04    2.760e-04  
  -18.3   3.022e-04   2.505e-04    2.521e-04  
  -18.4   2.781e-04   2.285e-04    2.301e-04  
  -18.5   2.558e-04   2.083e-04    2.099e-04  
  -18.6   2.352e-04   1.897e-04    1.912e-04  
  -18.7   2.162e-04   1.726e-04    1.741e-04  
  -18.8   1.986e-04   1.568e-04    1.582e-04  
  -18.9   1.823e-04   1.424e-04    1.437e-04  
  -19.0   1.672e-04   1.291e-04    1.302e-04  
  -19.1   1.533e-04   1.169e-04    1.178e-04  
  -19.2   1.404e-04   1.057e-04    1.064e-04  
  -19.3   1.285e-04   9.537e-05    9.580e-05  
  -19.4   1.174e-04   8.592e-05    8.604e-05  
  -19.5   1.072e-04   7.724e-05    7.702e-05  
  -19.6   9.770e-05   6.928e-05    6.869e-05  
  -19.7   8.893e-05   6.199e-05    6.101e-05  
  -19.8   8.081e-05   5.531e-05    5.394e-05  
  -19.9   7.330e-05   4.920e-05    4.744e-05  
  -20.0   6.635e-05   4.362e-05    4.149e-05  
  -20.1   5.992e-05   3.853e-05    3.606e-05  
  -20.2   5.399e-05   3.389e-05    3.113e-05  
  -20.3   4.851e-05   2.969e-05    2.668e-05  
  -20.4   4.346e-05   2.588e-05    2.269e-05  
  -20.5   3.881e-05   2.245e-05    1.913e-05  
  -20.6   3.454e-05   1.936e-05    1.600e-05  
  -20.7   3.062e-05   1.660e-05    1.325e-05  
  -20.8   2.704e-05   1.415e-05    1.087e-05  
  -20.9   2.378e-05   1.197e-05    8.834e-06  
  -21.0   2.081e-05   1.006e-05    7.104e-06  
  -21.1   1.812e-05   8.390e-06    5.653e-06  
  -21.2   1.570e-05   6.941e-06    4.450e-06  
  -21.3   1.352e-05   5.694e-06    3.464e-06  
  -21.4   1.158e-05   4.629e-06    2.667e-06  
  -21.5   9.856e-06   3.729e-06    2.031e-06  
  -21.6   8.334e-06   2.975e-06    1.528e-06  
  -21.7   7.000e-06   2.349e-06    1.137e-06  
  -21.8   5.837e-06   1.836e-06    8.364e-07  
  -21.9   4.832e-06   1.420e-06    6.080e-07  
  -22.0   3.969e-06   1.085e-06    4.369e-07  
  -22.1   3.235e-06   8.201e-07    3.102e-07  
  -22.2   2.615e-06   6.124e-07    2.177e-07  
  -22.3   2.096e-06   4.517e-07    1.509e-07  
  -22.4   1.666e-06   3.291e-07    1.034e-07  
  -22.5   1.312e-06   2.367e-07    7.000e-08  
  -22.6   1.024e-06   1.680e-07    4.681e-08  
  -22.7   7.921e-07   1.177e-07    3.092e-08  
  -22.8   6.069e-07   8.132e-08    2.017e-08  
  -22.9   4.607e-07   5.543e-08    1.299e-08  
  -23.0   3.463e-07   3.726e-08    8.261e-09  
  -23.1   2.578e-07   2.470e-08    5.187e-09  
  -23.2   1.901e-07   1.614e-08    3.215e-09  
  -23.3   1.388e-07   1.040e-08    1.967e-09  
  -23.4   1.003e-07   6.606e-09    1.187e-09  
  -23.5   7.180e-08   4.136e-09    7.074e-10  
  -23.6   5.089e-08   2.552e-09    4.159e-10  
  -23.7   3.571e-08   1.552e-09    2.413e-10  
  -23.8   2.482e-08   9.301e-10    1.382e-10  
  -23.9   1.708e-08   5.493e-10    7.804e-11  
  -24.0   1.164e-08   3.197e-10    4.350e-11  
  -24.1   7.859e-09   1.834e-10    2.392e-11  
  -24.2   5.256e-09   1.037e-10    1.298e-11  
  -24.3   3.483e-09   5.774e-11    6.952e-12  
  -24.4   2.287e-09   3.170e-11    3.673e-12  
  -24.5   1.488e-09   1.715e-11    1.915e-12  
  -24.6   9.599e-10   9.140e-12    9.855e-13  
  -24.7   6.138e-10   4.802e-12    5.004e-13  
  -24.8   3.892e-10   2.486e-12    2.507e-13  
  -24.9   2.447e-10   1.269e-12    1.240e-13  
  -25.0   1.527e-10   6.381e-13    6.051e-14  
  -25.1   9.446e-11   3.163e-13    2.915e-14  
  -25.2   5.799e-11   1.546e-13    1.386e-14  
  -25.3   3.533e-11   7.445e-14    6.502e-15  
  -25.4   2.136e-11   3.535e-14    3.011e-15  
  -25.5   1.281e-11   1.655e-14    1.377e-15  
  -25.6   7.632e-12   7.636e-15    6.212e-16  
  -25.7   4.511e-12   3.474e-15    2.767e-16  
  -25.8   2.647e-12   1.559e-15    1.217e-16  
  -25.9   1.541e-12   6.896e-16    5.283e-17  
  -26.0   8.908e-13   3.009e-16    2.264e-17  
  -26.1   5.110e-13   1.295e-16    9.581e-18  
  -26.2   2.909e-13   5.494e-17    4.003e-18  
  -26.3   1.643e-13   2.300e-17    1.651e-18  
  -26.4   9.208e-14   9.498e-18    6.724e-19  
  -26.5   5.120e-14   3.869e-18    2.704e-19  
  -26.6   2.824e-14   1.555e-18    1.074e-19  
  -26.7   1.545e-14   6.168e-19    4.209e-20  
  -26.8   8.379e-15   2.414e-19    1.630e-20  
  -26.9   4.506e-15   9.322e-20    6.232e-21  
  -27.0   2.403e-15   3.553e-20    2.353e-21  
  -27.1   1.270e-15   1.337e-20    8.774e-22  
  -27.2   6.651e-16   4.964e-21    3.231e-22  
  -27.3   3.452e-16   1.820e-21    1.175e-22  
  -27.4   1.775e-16   6.585e-22    4.222e-23  
  -27.5   9.040e-17   2.353e-22    1.498e-23  
  -27.6   4.560e-17   8.300e-23    5.248e-24  
  -27.7   2.277e-17   2.891e-23    1.817e-24  
  -27.8   1.126e-17   9.946e-24    6.210e-25  
  -27.9   5.510e-18   3.379e-24    2.097e-25  
  -28.0   2.669e-18   1.134e-24    6.996e-26  
