# z=7.5: redshift
# eps=0.1: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   7.339e-02   7.155e-02    7.155e-02  
  -14.1   6.786e-02   6.606e-02    6.606e-02  
  -14.2   6.273e-02   6.097e-02    6.097e-02  
  -14.3   5.796e-02   5.625e-02    5.625e-02  
  -14.4   5.354e-02   5.186e-02    5.186e-02  
  -14.5   4.943e-02   4.780e-02    4.780e-02  
  -14.6   4.562e-02   4.403e-02    4.403e-02  
  -14.7   4.209e-02   4.054e-02    4.054e-02  
  -14.8   3.881e-02   3.730e-02    3.730e-02  
  -14.9   3.577e-02   3.431e-02    3.431e-02  
  -15.0   3.296e-02   3.153e-02    3.153e-02  
  -15.1   3.036e-02   2.897e-02    2.897e-02  
  -15.2   2.795e-02   2.659e-02    2.659e-02  
  -15.3   2.571e-02   2.440e-02    2.440e-02  
  -15.4   2.365e-02   2.238e-02    2.238e-02  
  -15.5   2.174e-02   2.051e-02    2.051e-02  
  -15.6   1.998e-02   1.878e-02    1.878e-02  
  -15.7   1.835e-02   1.719e-02    1.719e-02  
  -15.8   1.684e-02   1.572e-02    1.572e-02  
  -15.9   1.545e-02   1.436e-02    1.437e-02  
  -16.0   1.417e-02   1.312e-02    1.312e-02  
  -16.1   1.299e-02   1.197e-02    1.197e-02  
  -16.2   1.190e-02   1.092e-02    1.092e-02  
  -16.3   1.090e-02   9.948e-03    9.949e-03  
  -16.4   9.974e-03   9.057e-03    9.059e-03  
  -16.5   9.123e-03   8.240e-03    8.242e-03  
  -16.6   8.341e-03   7.490e-03    7.492e-03  
  -16.7   7.622e-03   6.803e-03    6.805e-03  
  -16.8   6.961e-03   6.173e-03    6.175e-03  
  -16.9   6.353e-03   5.597e-03    5.600e-03  
  -17.0   5.796e-03   5.070e-03    5.073e-03  
  -17.1   5.285e-03   4.588e-03    4.592e-03  
  -17.2   4.816e-03   4.149e-03    4.152e-03  
  -17.3   4.386e-03   3.748e-03    3.752e-03  
  -17.4   3.993e-03   3.382e-03    3.387e-03  
  -17.5   3.633e-03   3.049e-03    3.054e-03  
  -17.6   3.303e-03   2.746e-03    2.752e-03  
  -17.7   3.002e-03   2.471e-03    2.477e-03  
  -17.8   2.727e-03   2.221e-03    2.228e-03  
  -17.9   2.476e-03   1.994e-03    2.002e-03  
  -18.0   2.247e-03   1.789e-03    1.797e-03  
  -18.1   2.038e-03   1.603e-03    1.612e-03  
  -18.2   1.847e-03   1.435e-03    1.444e-03  
  -18.3   1.673e-03   1.283e-03    1.293e-03  
  -18.4   1.515e-03   1.146e-03    1.157e-03  
  -18.5   1.372e-03   1.023e-03    1.033e-03  
  -18.6   1.241e-03   9.114e-04    9.226e-04  
  -18.7   1.122e-03   8.114e-04    8.227e-04  
  -18.8   1.014e-03   7.216e-04    7.329e-04  
  -18.9   9.164e-04   6.411e-04    6.521e-04  
  -19.0   8.275e-04   5.689e-04    5.794e-04  
  -19.1   7.470e-04   5.042e-04    5.142e-04  
  -19.2   6.740e-04   4.465e-04    4.556e-04  
  -19.3   6.078e-04   3.949e-04    4.029e-04  
  -19.4   5.480e-04   3.488e-04    3.556e-04  
  -19.5   4.938e-04   3.078e-04    3.132e-04  
  -19.6   4.447e-04   2.713e-04    2.751e-04  
  -19.7   4.004e-04   2.388e-04    2.410e-04  
  -19.8   3.603e-04   2.100e-04    2.104e-04  
  -19.9   3.240e-04   1.844e-04    1.831e-04  
  -20.0   2.912e-04   1.617e-04    1.586e-04  
  -20.1   2.616e-04   1.417e-04    1.368e-04  
  -20.2   2.349e-04   1.239e-04    1.174e-04  
  -20.3   2.107e-04   1.082e-04    1.003e-04  
  -20.4   1.889e-04   9.439e-05    8.510e-05  
  -20.5   1.692e-04   8.219e-05    7.177e-05  
  -20.6   1.514e-04   7.146e-05    6.011e-05  
  -20.7   1.353e-04   6.202e-05    4.997e-05  
  -20.8   1.207e-04   5.374e-05    4.121e-05  
  -20.9   1.076e-04   4.647e-05    3.370e-05  
  -21.0   9.578e-05   4.011e-05    2.731e-05  
  -21.1   8.509e-05   3.455e-05    2.192e-05  
  -21.2   7.545e-05   2.969e-05    1.742e-05  
  -21.3   6.675e-05   2.545e-05    1.370e-05  
  -21.4   5.891e-05   2.176e-05    1.065e-05  
  -21.5   5.185e-05   1.855e-05    8.186e-06  
  -21.6   4.551e-05   1.576e-05    6.217e-06  
  -21.7   3.981e-05   1.335e-05    4.663e-06  
  -21.8   3.471e-05   1.126e-05    3.453e-06  
  -21.9   3.015e-05   9.455e-06    2.524e-06  
  -22.0   2.608e-05   7.901e-06    1.820e-06  
  -22.1   2.247e-05   6.568e-06    1.294e-06  
  -22.2   1.927e-05   5.427e-06    9.076e-07  
  -22.3   1.644e-05   4.456e-06    6.277e-07  
  -22.4   1.396e-05   3.633e-06    4.282e-07  
  -22.5   1.178e-05   2.939e-06    2.881e-07  
  -22.6   9.893e-06   2.359e-06    1.912e-07  
  -22.7   8.256e-06   1.878e-06    1.253e-07  
  -22.8   6.848e-06   1.481e-06    8.108e-08  
  -22.9   5.644e-06   1.157e-06    5.185e-08  
  -23.0   4.621e-06   8.954e-07    3.280e-08  
  -23.1   3.758e-06   6.857e-07    2.054e-08  
  -23.2   3.035e-06   5.197e-07    1.275e-08  
  -23.3   2.433e-06   3.897e-07    7.852e-09  
  -23.4   1.937e-06   2.890e-07    4.802e-09  
  -23.5   1.530e-06   2.120e-07    2.918e-09  
  -23.6   1.200e-06   1.537e-07    1.764e-09  
  -23.7   9.346e-07   1.102e-07    1.061e-09  
  -23.8   7.222e-07   7.810e-08    6.348e-10  
  -23.9   5.540e-07   5.471e-08    3.779e-10  
  -24.0   4.218e-07   3.788e-08    2.238e-10  
  -24.1   3.189e-07   2.592e-08    1.317e-10  
  -24.2   2.393e-07   1.753e-08    7.705e-11  
  -24.3   1.784e-07   1.172e-08    4.474e-11  
  -24.4   1.321e-07   7.741e-09    2.578e-11  
  -24.5   9.718e-08   5.053e-09    1.473e-11  
  -24.6   7.106e-08   3.260e-09    8.338e-12  
  -24.7   5.165e-08   2.078e-09    4.677e-12  
  -24.8   3.733e-08   1.310e-09    2.597e-12  
  -24.9   2.684e-08   8.155e-10    1.428e-12  
  -25.0   1.920e-08   5.019e-10    7.771e-13  
  -25.1   1.367e-08   3.053e-10    4.184e-13  
  -25.2   9.691e-09   1.835e-10    2.229e-13  
  -25.3   6.838e-09   1.091e-10    1.175e-13  
  -25.4   4.803e-09   6.404e-11    6.125e-14  
