# z=6.5: redshift
# eps=0.4: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   9.322e-02   9.099e-02    9.099e-02  
  -14.1   8.669e-02   8.450e-02    8.450e-02  
  -14.2   8.060e-02   7.845e-02    7.845e-02  
  -14.3   7.492e-02   7.281e-02    7.281e-02  
  -14.4   6.962e-02   6.756e-02    6.756e-02  
  -14.5   6.468e-02   6.266e-02    6.266e-02  
  -14.6   6.008e-02   5.809e-02    5.809e-02  
  -14.7   5.578e-02   5.384e-02    5.384e-02  
  -14.8   5.178e-02   4.988e-02    4.988e-02  
  -14.9   4.806e-02   4.620e-02    4.620e-02  
  -15.0   4.459e-02   4.277e-02    4.277e-02  
  -15.1   4.135e-02   3.958e-02    3.958e-02  
  -15.2   3.835e-02   3.661e-02    3.661e-02  
  -15.3   3.555e-02   3.385e-02    3.385e-02  
  -15.4   3.294e-02   3.128e-02    3.128e-02  
  -15.5   3.052e-02   2.890e-02    2.890e-02  
  -15.6   2.826e-02   2.668e-02    2.668e-02  
  -15.7   2.617e-02   2.462e-02    2.462e-02  
  -15.8   2.422e-02   2.271e-02    2.271e-02  
  -15.9   2.241e-02   2.094e-02    2.094e-02  
  -16.0   2.073e-02   1.930e-02    1.930e-02  
  -16.1   1.917e-02   1.777e-02    1.777e-02  
  -16.2   1.772e-02   1.636e-02    1.636e-02  
  -16.3   1.637e-02   1.505e-02    1.505e-02  
  -16.4   1.512e-02   1.384e-02    1.384e-02  
  -16.5   1.397e-02   1.272e-02    1.272e-02  
  -16.6   1.289e-02   1.168e-02    1.168e-02  
  -16.7   1.190e-02   1.073e-02    1.073e-02  
  -16.8   1.098e-02   9.839e-03    9.840e-03  
  -16.9   1.012e-02   9.021e-03    9.021e-03  
  -17.0   9.332e-03   8.265e-03    8.266e-03  
  -17.1   8.600e-03   7.568e-03    7.569e-03  
  -17.2   7.924e-03   6.925e-03    6.926e-03  
  -17.3   7.298e-03   6.333e-03    6.333e-03  
  -17.4   6.719e-03   5.787e-03    5.788e-03  
  -17.5   6.185e-03   5.285e-03    5.286e-03  
  -17.6   5.691e-03   4.823e-03    4.824e-03  
  -17.7   5.235e-03   4.398e-03    4.400e-03  
  -17.8   4.814e-03   4.008e-03    4.010e-03  
  -17.9   4.425e-03   3.651e-03    3.652e-03  
