# z=18.5: redshift
# eps=0.9: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   7.148e-04   7.008e-04    7.007e-04  
  -14.1   6.579e-04   6.444e-04    6.444e-04  
  -14.2   6.059e-04   5.929e-04    5.929e-04  
  -14.3   5.583e-04   5.458e-04    5.458e-04  
  -14.4   5.146e-04   5.025e-04    5.025e-04  
  -14.5   4.744e-04   4.628e-04    4.628e-04  
  -14.6   4.375e-04   4.263e-04    4.262e-04  
  -14.7   4.035e-04   3.926e-04    3.926e-04  
  -14.8   3.721e-04   3.616e-04    3.616e-04  
  -14.9   3.432e-04   3.330e-04    3.330e-04  
  -15.0   3.165e-04   3.066e-04    3.066e-04  
  -15.1   2.918e-04   2.823e-04    2.822e-04  
  -15.2   2.690e-04   2.598e-04    2.598e-04  
  -15.3   2.480e-04   2.391e-04    2.390e-04  
  -15.4   2.286e-04   2.199e-04    2.198e-04  
  -15.5   2.106e-04   2.022e-04    2.021e-04  
  -15.6   1.939e-04   1.858e-04    1.858e-04  
  -15.7   1.786e-04   1.707e-04    1.707e-04  
  -15.8   1.644e-04   1.568e-04    1.567e-04  
  -15.9   1.512e-04   1.439e-04    1.438e-04  
  -16.0   1.391e-04   1.320e-04    1.319e-04  
  -16.1   1.279e-04   1.210e-04    1.210e-04  
  -16.2   1.175e-04   1.109e-04    1.108e-04  
  -16.3   1.079e-04   1.015e-04    1.015e-04  
  -16.4   9.904e-05   9.290e-05    9.281e-05  
  -16.5   9.085e-05   8.492e-05    8.484e-05  
  -16.6   8.328e-05   7.757e-05    7.749e-05  
  -16.7   7.629e-05   7.078e-05    7.070e-05  
  -16.8   6.983e-05   6.452e-05    6.445e-05  
  -16.9   6.387e-05   5.875e-05    5.868e-05  
  -17.0   5.836e-05   5.343e-05    5.336e-05  
  -17.1   5.327e-05   4.852e-05    4.846e-05  
  -17.2   4.857e-05   4.399e-05    4.394e-05  
  -17.3   4.423e-05   3.982e-05    3.978e-05  
  -17.4   4.023e-05   3.598e-05    3.595e-05  
  -17.5   3.654e-05   3.244e-05    3.242e-05  
  -17.6   3.313e-05   2.918e-05    2.917e-05  
  -17.7   2.999e-05   2.618e-05    2.618e-05  
  -17.8   2.709e-05   2.343e-05    2.344e-05  
  -17.9   2.442e-05   2.090e-05    2.092e-05  
  -18.0   2.196e-05   1.858e-05    1.861e-05  
  -18.1   1.970e-05   1.647e-05    1.650e-05  
  -18.2   1.763e-05   1.453e-05    1.457e-05  
  -18.3   1.572e-05   1.277e-05    1.281e-05  
  -18.4   1.398e-05   1.118e-05    1.122e-05  
  -18.5   1.238e-05   9.732e-06    9.771e-06  
  -18.6   1.093e-05   8.431e-06    8.467e-06  
  -18.7   9.609e-06   7.265e-06    7.296e-06  
  -18.8   8.410e-06   6.224e-06    6.250e-06  
  -18.9   7.328e-06   5.300e-06    5.320e-06  
  -19.0   6.353e-06   4.485e-06    4.498e-06  
  -19.1   5.480e-06   3.770e-06    3.776e-06  
  -19.2   4.701e-06   3.147e-06    3.146e-06  
  -19.3   4.010e-06   2.608e-06    2.601e-06  
  -19.4   3.401e-06   2.145e-06    2.133e-06  
  -19.5   2.866e-06   1.751e-06    1.735e-06  
  -19.6   2.400e-06   1.418e-06    1.398e-06  
  -19.7   1.996e-06   1.138e-06    1.116e-06  
  -19.8   1.649e-06   9.062e-07    8.832e-07  
  -19.9   1.352e-06   7.151e-07    6.918e-07  
  -20.0   1.101e-06   5.591e-07    5.364e-07  
  -20.1   8.899e-07   4.332e-07    4.116e-07  
  -20.2   7.138e-07   3.323e-07    3.124e-07  
  -20.3   5.681e-07   2.525e-07    2.345e-07  
  -20.4   4.485e-07   1.899e-07    1.741e-07  
  -20.5   3.513e-07   1.413e-07    1.277e-07  
  -20.6   2.730e-07   1.041e-07    9.257e-08  
  -20.7   2.104e-07   7.578e-08    6.629e-08  
  -20.8   1.608e-07   5.458e-08    4.688e-08  
  -20.9   1.219e-07   3.886e-08    3.273e-08  
  -21.0   9.158e-08   2.734e-08    2.256e-08  
  -21.1   6.825e-08   1.901e-08    1.534e-08  
  -21.2   5.044e-08   1.306e-08    1.029e-08  
  -21.3   3.696e-08   8.858e-09    6.813e-09  
  -21.4   2.685e-08   5.933e-09    4.447e-09  
  -21.5   1.935e-08   3.923e-09    2.861e-09  
  -21.6   1.382e-08   2.560e-09    1.815e-09  
  -21.7   9.790e-09   1.649e-09    1.135e-09  
