# z=18.5: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -15.0   2.604e-04   2.522e-04    2.521e-04  
  -15.1   2.398e-04   2.319e-04    2.318e-04  
  -15.2   2.208e-04   2.131e-04    2.131e-04  
  -15.3   2.032e-04   1.959e-04    1.958e-04  
  -15.4   1.871e-04   1.799e-04    1.799e-04  
  -15.5   1.721e-04   1.652e-04    1.652e-04  
  -15.6   1.583e-04   1.517e-04    1.516e-04  
  -15.7   1.456e-04   1.391e-04    1.391e-04  
  -15.8   1.338e-04   1.276e-04    1.275e-04  
  -15.9   1.229e-04   1.169e-04    1.169e-04  
  -16.0   1.129e-04   1.071e-04    1.070e-04  
  -16.1   1.036e-04   9.805e-05    9.797e-05  
  -16.2   9.504e-05   8.968e-05    8.961e-05  
  -16.3   8.713e-05   8.197e-05    8.190e-05  
  -16.4   7.983e-05   7.486e-05    7.478e-05  
  -16.5   7.308e-05   6.830e-05    6.822e-05  
  -16.6   6.685e-05   6.225e-05    6.217e-05  
  -16.7   6.111e-05   5.667e-05    5.660e-05  
  -16.8   5.580e-05   5.152e-05    5.146e-05  
  -16.9   5.090e-05   4.678e-05    4.672e-05  
  -17.0   4.638e-05   4.241e-05    4.235e-05  
  -17.1   4.220e-05   3.838e-05    3.833e-05  
  -17.2   3.835e-05   3.467e-05    3.462e-05  
  -17.3   3.480e-05   3.125e-05    3.121e-05  
  -17.4   3.152e-05   2.810e-05    2.807e-05  
  -17.5   2.850e-05   2.521e-05    2.518e-05  
  -17.6   2.572e-05   2.254e-05    2.253e-05  
  -17.7   2.316e-05   2.010e-05    2.009e-05  
  -17.8   2.080e-05   1.786e-05    1.785e-05  
  -17.9   1.863e-05   1.581e-05    1.581e-05  
  -18.0   1.664e-05   1.394e-05    1.394e-05  
  -18.1   1.482e-05   1.224e-05    1.224e-05  
  -18.2   1.315e-05   1.069e-05    1.070e-05  
  -18.3   1.163e-05   9.292e-06    9.298e-06  
