# z=24.0: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -12.0   9.594e-05   9.539e-05    9.538e-05  
  -12.1   8.866e-05   8.813e-05    8.812e-05  
  -12.2   8.191e-05   8.139e-05    8.139e-05  
  -12.3   7.565e-05   7.514e-05    7.514e-05  
  -12.4   6.984e-05   6.935e-05    6.934e-05  
  -12.5   6.445e-05   6.397e-05    6.396e-05  
  -12.6   5.946e-05   5.899e-05    5.898e-05  
  -12.7   5.483e-05   5.438e-05    5.437e-05  
  -12.8   5.054e-05   5.010e-05    5.009e-05  
  -12.9   4.657e-05   4.614e-05    4.613e-05  
  -13.0   4.289e-05   4.248e-05    4.246e-05  
  -13.1   3.948e-05   3.908e-05    3.907e-05  
  -13.2   3.633e-05   3.594e-05    3.593e-05  
  -13.3   3.342e-05   3.304e-05    3.303e-05  
  -13.4   3.072e-05   3.036e-05    3.035e-05  
  -13.5   2.823e-05   2.788e-05    2.787e-05  
  -13.6   2.593e-05   2.559e-05    2.557e-05  
  -13.7   2.380e-05   2.347e-05    2.346e-05  
  -13.8   2.183e-05   2.152e-05    2.150e-05  
  -13.9   2.002e-05   1.971e-05    1.970e-05  
  -14.0   1.834e-05   1.805e-05    1.803e-05  
  -14.1   1.680e-05   1.651e-05    1.650e-05  
  -14.2   1.537e-05   1.510e-05    1.508e-05  
  -14.3   1.406e-05   1.379e-05    1.378e-05  
  -14.4   1.285e-05   1.259e-05    1.258e-05  
  -14.5   1.173e-05   1.148e-05    1.147e-05  
  -14.6   1.070e-05   1.046e-05    1.045e-05  
  -14.7   9.752e-06   9.520e-06    9.509e-06  
  -14.8   8.879e-06   8.655e-06    8.644e-06  
  -14.9   8.076e-06   7.859e-06    7.849e-06  
  -15.0   7.337e-06   7.127e-06    7.118e-06  
  -15.1   6.657e-06   6.453e-06    6.446e-06  
  -15.2   6.033e-06   5.834e-06    5.829e-06  
  -15.3   5.459e-06   5.265e-06    5.262e-06  
  -15.4   4.931e-06   4.743e-06    4.741e-06  
  -15.5   4.447e-06   4.264e-06    4.264e-06  
  -15.6   4.004e-06   3.824e-06    3.826e-06  
  -15.7   3.597e-06   3.421e-06    3.425e-06  
  -15.8   3.224e-06   3.052e-06    3.058e-06  
  -15.9   2.883e-06   2.715e-06    2.723e-06  
  -16.0   2.572e-06   2.408e-06    2.418e-06  
  -16.1   2.287e-06   2.128e-06    2.139e-06  
  -16.2   2.028e-06   1.873e-06    1.886e-06  
  -16.3   1.793e-06   1.642e-06    1.657e-06  
  -16.4   1.579e-06   1.433e-06    1.449e-06  
  -16.5   1.386e-06   1.245e-06    1.262e-06  
  -16.6   1.211e-06   1.077e-06    1.094e-06  
  -16.7   1.054e-06   9.257e-07    9.432e-07  
  -16.8   9.132e-07   7.915e-07    8.089e-07  
  -16.9   7.874e-07   6.727e-07    6.899e-07  
  -17.0   6.755e-07   5.682e-07    5.849e-07  
  -17.1   5.764e-07   4.767e-07    4.927e-07  
  -17.2   4.891e-07   3.972e-07    4.123e-07  
  -17.3   4.126e-07   3.286e-07    3.426e-07  
  -17.4   3.459e-07   2.698e-07    2.827e-07  
  -17.5   2.882e-07   2.198e-07    2.314e-07  
  -17.6   2.386e-07   1.776e-07    1.880e-07  
  -17.7   1.961e-07   1.423e-07    1.515e-07  
  -17.8   1.601e-07   1.131e-07    1.211e-07  
  -17.9   1.298e-07   8.904e-08    9.595e-08  
  -18.0   1.044e-07   6.948e-08    7.535e-08  
