# eps=0.3: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   4.000   1.340e+07   1.304e+07   1.248e+07   1.163e+07   1.043e+07   8.827e+06    6.854e+06    4.657e+06    2.530e+06    9.123e+05    1.487e+05  
   4.500   9.809e+06   9.441e+06   8.898e+06   8.134e+06   7.118e+06   5.861e+06    4.419e+06    2.902e+06    1.484e+06    4.718e+05    6.442e+04  
   5.000   7.331e+06   6.973e+06   6.471e+06   5.804e+06   4.972e+06   4.001e+06    2.936e+06    1.840e+06    8.445e+05    2.148e+05    2.152e+04  
   5.500   5.554e+06   5.218e+06   4.772e+06   4.209e+06   3.543e+06   2.796e+06    1.991e+06    1.167e+06    4.593e+05    8.797e+04    6.028e+03  
   6.000   4.232e+06   3.930e+06   3.546e+06   3.086e+06   2.560e+06   1.981e+06    1.356e+06    7.246e+05    2.349e+05    3.270e+04    1.508e+03  
   6.500   3.470e+06   3.190e+06   2.849e+06   2.452e+06   2.007e+06   1.513e+06    9.774e+05    4.581e+05    1.156e+05    1.101e+04    3.175e+02  
   7.000   2.648e+06   2.412e+06   2.134e+06   1.818e+06   1.465e+06   1.071e+06    6.439e+05    2.593e+05    5.025e+04    3.341e+03    6.526e+01  
   7.500   2.015e+06   1.821e+06   1.598e+06   1.348e+06   1.066e+06   7.486e+05    4.115e+05    1.386e+05    2.013e+04    9.323e+02    1.250e+01  
   8.000   1.529e+06   1.373e+06   1.196e+06   9.971e+05   7.709e+05   5.144e+05    2.535e+05    6.954e+04    7.440e+03    2.408e+02    2.232e+00  
   8.500   1.157e+06   1.033e+06   8.932e+05   7.347e+05   5.519e+05   3.459e+05    1.496e+05    3.268e+04    2.547e+03    5.779e+01    3.708e-01  
   9.000   8.742e+05   7.763e+05   6.656e+05   5.384e+05   3.904e+05   2.268e+05    8.441e+04    1.438e+04    8.100e+02    1.290e+01    5.761e-02  
   9.500   6.599e+05   5.826e+05   4.944e+05   3.918e+05   2.722e+05   1.445e+05    4.536e+04    5.929e+03    2.395e+02    2.679e+00    8.481e-03  
  10.000   4.977e+05   4.364e+05   3.658e+05   2.828e+05   1.867e+05   8.929e+04    2.318e+04    2.286e+03    6.565e+01    5.209e-01    1.205e-03  
  10.500   3.750e+05   3.261e+05   2.693e+05   2.022e+05   1.257e+05   5.330e+04    1.122e+04    8.201e+02    1.665e+01    9.635e-02    1.680e-04  
  11.000   2.821e+05   2.430e+05   1.971e+05   1.429e+05   8.286e+04   3.066e+04    5.121e+03    2.718e+02    3.943e+00    1.736e-02    2.323e-05  
  11.500   2.119e+05   1.804e+05   1.432e+05   9.981e+04   5.339e+04   1.691e+04    2.183e+03    8.309e+01    8.912e-01    3.111e-03    3.187e-06  
  12.000   1.589e+05   1.333e+05   1.033e+05   6.874e+04   3.350e+04   8.871e+03    8.611e+02    2.367e+01    1.981e-01    5.594e-04    4.307e-07  
