# eps=0.2: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   4.000   1.198e+07   1.162e+07   1.106e+07   1.022e+07   9.032e+06   7.455e+06    5.535e+06    3.448e+06    1.571e+06    4.105e+05    4.138e+04  
   4.500   8.537e+06   8.171e+06   7.632e+06   6.876e+06   5.877e+06   4.655e+06    3.286e+06    1.916e+06    7.862e+05    1.760e+05    1.534e+04  
   5.000   6.235e+06   5.879e+06   5.382e+06   4.725e+06   3.915e+06   2.990e+06    2.016e+06    1.090e+06    3.857e+05    6.744e+04    4.548e+03  
   5.500   4.626e+06   4.293e+06   3.852e+06   3.302e+06   2.663e+06   1.971e+06    1.269e+06    6.237e+05    1.820e+05    2.346e+04    1.136e+03  
   6.000   3.456e+06   3.157e+06   2.780e+06   2.335e+06   1.842e+06   1.324e+06    8.063e+05    3.507e+05    8.116e+04    7.537e+03    2.566e+02  
   6.500   2.782e+06   2.506e+06   2.173e+06   1.795e+06   1.387e+06   9.629e+05    5.425e+05    1.996e+05    3.458e+04    2.171e+03    4.684e+01  
   7.000   2.084e+06   1.852e+06   1.584e+06   1.289e+06   9.758e+05   6.500e+05    3.335e+05    1.018e+05    1.320e+04    5.920e+02    8.927e+00  
   7.500   1.557e+06   1.368e+06   1.156e+06   9.278e+05   6.861e+05   4.338e+05    1.983e+05    4.887e+04    4.696e+03    1.521e+02    1.584e+00  
   8.000   1.160e+06   1.009e+06   8.443e+05   6.680e+05   4.800e+05   2.842e+05    1.131e+05    2.204e+04    1.567e+03    3.670e+01    2.584e-01  
   8.500   8.623e+05   7.442e+05   6.167e+05   4.800e+05   3.327e+05   1.817e+05    6.164e+04    9.354e+03    4.925e+02    8.236e+00    3.847e-02  
   9.000   6.408e+05   5.491e+05   4.504e+05   3.436e+05   2.277e+05   1.129e+05    3.203e+04    3.751e+03    1.456e+02    1.699e+00    5.263e-03  
   9.500   4.763e+05   4.052e+05   3.285e+05   2.444e+05   1.535e+05   6.802e+04    1.587e+04    1.423e+03    4.006e+01    3.208e-01    6.745e-04  
  10.000   3.543e+05   2.991e+05   2.390e+05   1.726e+05   1.016e+05   3.963e+04    7.509e+03    5.079e+02    1.013e+01    5.589e-02    8.304e-05  
  10.500   2.638e+05   2.206e+05   1.732e+05   1.207e+05   6.590e+04   2.231e+04    3.377e+03    1.682e+02    2.340e+00    9.198e-03    1.003e-05  
  11.000   1.966e+05   1.626e+05   1.250e+05   8.343e+04   4.183e+04   1.210e+04    1.429e+03    5.096e+01    5.007e-01    1.473e-03    1.203e-06  
  11.500   1.465e+05   1.195e+05   8.961e+04   5.697e+04   2.592e+04   6.284e+03    5.604e+02    1.410e+01    1.023e-01    2.351e-04    1.429e-07  
  12.000   1.091e+05   8.757e+04   6.379e+04   3.834e+04   1.561e+04   3.078e+03    2.007e+02    3.631e+00    2.066e-02    3.768e-05    1.662e-08  
  12.500   8.108e+04   6.384e+04   4.496e+04   2.532e+04   9.033e+03   1.396e+03    6.571e+01    9.016e-01    4.209e-03    6.079e-06    1.937e-09  
  13.000   5.999e+04   4.615e+04   3.125e+04   1.629e+04   4.939e+03   5.797e+02    2.016e+01    2.236e-01    8.669e-04    9.656e-07    2.092e-10  
  13.500   4.402e+04   3.294e+04   2.129e+04   1.008e+04   2.511e+03   2.225e+02    6.029e+00    5.629e-02    1.794e-04    1.526e-07    2.285e-11  
  14.000   3.187e+04   2.307e+04   1.409e+04   5.916e+03   1.187e+03   8.143e+01    1.811e+00    1.432e-02    3.695e-05    2.360e-08    2.393e-12  
  14.500   2.261e+04   1.575e+04   8.985e+03   3.287e+03   5.330e+02   2.940e+01    5.509e-01    3.649e-03    7.459e-06    3.363e-09    2.097e-13  
  15.000   1.563e+04   1.045e+04   5.523e+03   1.752e+03   2.334e+02   1.064e+01    1.685e-01    9.248e-04    1.486e-06    4.780e-10    1.913e-14  
  15.500   1.051e+04   6.758e+03   3.308e+03   9.126e+02   1.012e+02   3.857e+00    5.141e-02    2.318e-04    2.885e-07    6.477e-11    1.512e-15  
  16.000   6.926e+03   4.313e+03   1.954e+03   4.686e+02   4.355e+01   1.393e+00    1.555e-02    5.725e-05    5.421e-08    8.304e-12    3.311e-28  
