# eps=0.7: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   4.000   1.909e+07   1.872e+07   1.814e+07   1.727e+07   1.602e+07   1.432e+07    1.214e+07    9.543e+06    6.662e+06    3.736e+06    1.304e+06  
   4.500   1.490e+07   1.452e+07   1.396e+07   1.317e+07   1.209e+07   1.069e+07    8.987e+06    6.990e+06    4.749e+06    2.463e+06    7.306e+05  
   5.000   1.172e+07   1.135e+07   1.083e+07   1.012e+07   9.206e+06   8.069e+06    6.699e+06    5.083e+06    3.249e+06    1.457e+06    3.284e+05  
   5.500   9.265e+06   8.920e+06   8.451e+06   7.840e+06   7.075e+06   6.139e+06    5.008e+06    3.656e+06    2.135e+06    7.879e+05    1.269e+05  
   6.000   7.333e+06   7.019e+06   6.609e+06   6.092e+06   5.456e+06   4.677e+06    3.724e+06    2.577e+06    1.335e+06    3.893e+05    4.338e+04  
   6.500   6.224e+06   5.930e+06   5.556e+06   5.092e+06   4.520e+06   3.811e+06    2.929e+06    1.876e+06    8.265e+05    1.800e+05    1.306e+04  
   7.000   4.905e+06   4.653e+06   4.339e+06   3.951e+06   3.469e+06   2.865e+06    2.110e+06    1.233e+06    4.528e+05    7.268e+04    3.499e+03  
   7.500   3.848e+06   3.636e+06   3.374e+06   3.050e+06   2.644e+06   2.127e+06    1.485e+06    7.763e+05    2.308e+05    2.661e+04    8.464e+02  
   8.000   3.005e+06   2.829e+06   2.612e+06   2.341e+06   1.996e+06   1.556e+06    1.018e+06    4.657e+05    1.090e+05    8.833e+03    1.863e+02  
   8.500   2.336e+06   2.191e+06   2.011e+06   1.784e+06   1.492e+06   1.120e+06    6.766e+05    2.649e+05    4.748e+04    2.665e+03    3.777e+01  
   9.000   1.809e+06   1.690e+06   1.541e+06   1.350e+06   1.103e+06   7.907e+05    4.351e+05    1.423e+05    1.906e+04    7.345e+02    7.167e+00  
   9.500   1.396e+06   1.298e+06   1.174e+06   1.013e+06   8.059e+05   5.471e+05    2.696e+05    7.187e+04    7.038e+03    1.864e+02    1.297e+00  
