# eps=0.6: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   4.000   1.767e+07   1.730e+07   1.673e+07   1.586e+07   1.462e+07   1.294e+07    1.082e+07    8.314e+06    5.601e+06    2.956e+06    9.215e+05  
   4.500   1.362e+07   1.325e+07   1.270e+07   1.191e+07   1.084e+07   9.483e+06    7.840e+06    5.952e+06    3.891e+06    1.884e+06    4.959e+05  
   5.000   1.062e+07   1.026e+07   9.740e+06   9.043e+06   8.147e+06   7.048e+06    5.748e+06    4.248e+06    2.597e+06    1.073e+06    2.115e+05  
   5.500   8.337e+06   7.994e+06   7.531e+06   6.932e+06   6.190e+06   5.298e+06    4.240e+06    3.004e+06    1.662e+06    5.557e+05    7.711e+04  
   6.000   6.557e+06   6.247e+06   5.843e+06   5.340e+06   4.729e+06   3.996e+06    3.116e+06    2.081e+06    1.009e+06    2.622e+05    2.484e+04  
   6.500   5.536e+06   5.245e+06   4.879e+06   4.431e+06   3.888e+06   3.227e+06    2.421e+06    1.485e+06    6.037e+05    1.150e+05    6.998e+03  
   7.000   4.341e+06   4.093e+06   3.787e+06   3.416e+06   2.963e+06   2.405e+06    1.722e+06    9.557e+05    3.189e+05    4.410e+04    1.773e+03  
   7.500   3.390e+06   3.182e+06   2.929e+06   2.622e+06   2.243e+06   1.771e+06    1.196e+06    5.873e+05    1.563e+05    1.533e+04    4.073e+02  
   8.000   2.636e+06   2.464e+06   2.257e+06   2.002e+06   1.684e+06   1.285e+06    8.074e+05    3.428e+05    7.072e+04    4.835e+03    8.563e+01  
   8.500   2.041e+06   1.901e+06   1.730e+06   1.518e+06   1.251e+06   9.153e+05    5.276e+05    1.892e+05    2.948e+04    1.389e+03    1.667e+01  
   9.000   1.575e+06   1.461e+06   1.320e+06   1.144e+06   9.190e+05   6.396e+05    3.327e+05    9.830e+04    1.131e+04    3.657e+02    3.050e+00  
   9.500   1.212e+06   1.118e+06   1.002e+06   8.548e+05   6.669e+05   4.373e+05    2.017e+05    4.792e+04    3.996e+03    8.899e+01    5.338e-01  
  10.000   9.290e+05   8.526e+05   7.564e+05   6.335e+05   4.774e+05   2.918e+05    1.171e+05    2.183e+04    1.299e+03    2.024e+01    9.095e-02  
  10.500   7.099e+05   6.471e+05   5.673e+05   4.652e+05   3.365e+05   1.895e+05    6.475e+04    9.255e+03    3.899e+02    4.376e+00    1.532e-02  
  11.000   5.406e+05   4.888e+05   4.227e+05   3.381e+05   2.333e+05   1.194e+05    3.396e+04    3.638e+03    1.087e+02    9.196e-01    2.574e-03  
  11.500   4.102e+05   3.674e+05   3.127e+05   2.431e+05   1.588e+05   7.267e+04    1.680e+04    1.324e+03    2.868e+01    1.922e-01    4.319e-04  
  12.000   3.100e+05   2.746e+05   2.295e+05   1.728e+05   1.059e+05   4.253e+04    7.786e+03    4.482e+02    7.332e+00    4.043e-02    7.201e-05  
  12.500   2.333e+05   2.040e+05   1.670e+05   1.211e+05   6.885e+04   2.376e+04    3.365e+03    1.431e+02    1.866e+00    8.565e-03    1.194e-05  
  13.000   1.746e+05   1.505e+05   1.203e+05   8.352e+04   4.346e+04   1.257e+04    1.359e+03    4.423e+01    4.789e-01    1.813e-03    1.921e-06  
  13.500   1.298e+05   1.100e+05   8.555e+04   5.647e+04   2.644e+04   6.267e+03    5.208e+02    1.356e+01    1.239e-01    3.810e-04    3.054e-07  
  14.000   9.566e+04   7.950e+04   5.992e+04   3.726e+04   1.541e+04   2.959e+03    1.935e+02    4.174e+00    3.205e-02    7.901e-05    4.712e-08  
  14.500   6.972e+04   5.667e+04   4.121e+04   2.389e+04   8.605e+03   1.343e+03    7.113e+01    1.290e+00    8.225e-03    1.594e-05    6.625e-09  
  15.000   5.012e+04   3.977e+04   2.779e+04   1.489e+04   4.641e+03   5.950e+02    2.605e+01    3.974e-01    2.087e-03    3.158e-06    9.137e-10  
  15.500   3.549e+04   2.748e+04   1.840e+04   9.064e+03   2.442e+03   2.599e+02    9.497e+00    1.214e-01    5.216e-04    6.079e-07    1.069e-10  
  16.000   2.477e+04   1.875e+04   1.201e+04   5.418e+03   1.261e+03   1.122e+02    3.432e+00    3.665e-02    1.280e-04    1.129e-07    3.132e-23  
  16.500   1.714e+04   1.270e+04   7.760e+03   3.190e+03   6.405e+02   4.779e+01    1.225e+00    1.090e-02    3.075e-05    2.009e-08          nan  
  17.000   1.181e+04   8.547e+03   4.967e+03   1.852e+03   3.201e+02   2.004e+01    4.309e-01    3.191e-03    7.189e-06    3.389e-09          nan  
  17.500   8.121e+03   5.727e+03   3.151e+03   1.059e+03   1.570e+02   8.259e+00    1.490e-01    9.163e-04    1.625e-06    5.280e-10          nan  
  18.000   5.574e+03   3.817e+03   1.978e+03   5.957e+02   7.551e+01   3.338e+00    5.057e-02    2.574e-04    3.525e-07    6.875e-11          nan  
  18.500   3.814e+03   2.529e+03   1.227e+03   3.288e+02   3.554e+01   1.322e+00    1.684e-02    7.043e-05    7.270e-08    2.039e-23          nan  
  19.000   2.600e+03   1.662e+03   7.506e+02   1.778e+02   1.636e+01   5.126e-01    5.493e-03    1.868e-05    1.413e-08          nan          nan  
  19.500   1.763e+03   1.082e+03   4.519e+02   9.409e+01   7.357e+00   1.946e-01    1.752e-03    4.769e-06    2.557e-09          nan          nan  
  20.000   1.187e+03   6.971e+02   2.672e+02   4.866e+01   3.230e+00   7.221e-02    5.451e-04    1.161e-06    4.209e-10          nan          nan  
